Technology,2025,2030,2035,2040,2045,2050
offshore_f,3800,3500,3350,3200,3050,2900
offshore_g,3150,2700,2600,2500,2400,2300
onshore,1250,1200,1125,1050,975,900
onshore_V110,1250,1200,1125,1050,975,900
pv_g,672,597,557,517,497,477
pv_g_ns,672,597,557,517,497,477
pv_c,967,867,812,757,717,677
river,2970,2970,2970,2970,2970,2970
lake,1000,1000,1000,1000,1000,1000
nuclear,10000,10000,5391,5035,4505,4500
ocgt,600,600,600,600,600,600
ccgt,900,900,900,900,900,900
phs,1000,1000,1000,1000,1000,1000
electrolysis,1000,641,600,574,540,507
hydrogen,0,0,0,0,0,0
h2_ccgt,1100,1100,1100,1100,1100,1100
methanization,370,370,370,370,370,370
battery1,0,0,0,0,0,0
battery4,0,0,0,0,0,0
methane,0,0,0,0,0,0
methanation,1700,1341,1300,1274,1240,1207
pyrogazification,2500,2500,2500,2500,2500,2500
natural_gas,0,0,0,0,0,0
heat_pump,1050,1050,1050,1050,1050,1050
resistive,100,100,100,100,100,100
gas_boiler,175,175,175,175,175,175
fuel_boiler,175,175,175,175,175,175
wood_boiler,175,175,175,175,175,175
