,2020,2025,2030,2035,2040,2045,2050
river,9.66,9.66,9.66,9.66,9.66,9.66,9.66
lake,8.8,8.8,8.8,8.8,8.8,8.8,8.8
phs,5.2,5.2,5.2,6.7,7.2,7.7,8.2
offshore_f,0.0,0.0,0.0,3.0830739669229583,3.0830739669229583,11.344508861498847,26.0
offshore_g,0.0,0.0,1.066780537254107,4.5,7.3,10.1,13.0
onshore,9.49,11.6,23.2,31.7,40.099999999999994,48.6,56.4
onshore_V110,,,,,,,
pv_g,6.62,14.416840070152258,23.990000000000002,43.989999999999995,60.70339423623207,59.673848458317835,98.7
pv_g_ns,,,,,,,
pv_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0
methanization,0.0,0.0,2.1691973969631233,2.939833314305286,3.710469231647448,4.48110514898961,5.251741066331773
ocgt,7.17063904416999,7.17063904416999,5.17063904416999,15.806729548170944,20.389592254726168,26.977292581356824,29.24881635251176
ccgt,6.5,6.5,5.5,8.631152886707744,16.931316084213254,23.369151161558666,34.377455769415185
coal,2.9,0.0,0.0,0.0,0.0,0.0,0.0
nuclear,61.5,61.5,59.5,52.2,49.6,45.0,29.0
h2_ccgt,0.0,0.0,0.0,0.0,0.0,0.0,3.5685735315248994
battery1,0.0,0.0,0.0,0.9475297418744318,1.3762985708165698,1.8156238021621867,1.8558457088126687
battery4,0.0,0.0,0.0,0.0,0.0,0.0,3.5593484268994517
electrolysis,0.0,0.5479452054794524,2.428709847909448,3.124445452549666,4.539061231089246,5.936590426213739,10.966210045662102
hydrogen,0.0,0.0,2.2831050228310503,2.6484018264840183,3.0136986301369864,3.835616438356164,10.826865364126837
methane,80.0,80.0,80.0,80.0,80.0,80.0,80.0
methanation,0.0,0.0,0.0,0.4781245479813986,1.254859326887035,1.5720528277181807,1.8918383282580944
pyrogazification,0.0,0.0,0.0,0.0,0.2105192488616311,0.605515031748546,2.192031053773262
natural_gas,113.56897808185441,113.56897808185441,113.56897808185441,113.56897808185441,113.56897808185441,114.49802982678459,132.641058702086
geothermal,0.583,0.583,0.583,0.583,0.583,0.583,0.5913298572916652
central_gas_boiler,6.120997320073552,8.250647875894057,9.000433198811105,10.843953848002382,12.630432526040241,14.366507195138373,14.366507195138373
central_wood_boiler,0.911,0.911,2.267325519256338,2.267325519256338,2.267325519256338,2.267325519256338,4.993447097503925
uiom,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTES,0.0,0.0,0.0,0.0,0.0,0.0,0.0
