,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049
Stock (Million),28.335360105687446,28.618146824143217,28.900085182493576,29.181177725812706,29.461426991453944,29.74083550936926,30.019405802448894,30.297140384679906,30.5740417631876,30.85011243762247,31.12535490004233,31.567950435135437,32.009218183640435,32.449162128899495,32.887786242344575,33.32509448346169,33.76109079985526,34.19577912730413,34.62916338977578,35.061247499476664,35.49203535686025,35.90963945068615,36.32599073222878,36.74109295992508,37.15494988093673,37.567565231193946,37.97894273541014,38.389086107133316,38.79799904874117,39.20568525152403,39.61214839569829
Stock existing (Million),27.599774505687446,27.514768424143217,27.428913982493572,27.3422137258127,27.254670191453947,27.166285909369257,27.077063402448896,26.987005184679905,26.896113763187607,26.804391637622476,26.71184130004233,26.618465235135435,26.52376138364043,26.42773372889949,26.330386242344574,26.231722883461693,26.131747599855263,26.030464327304124,25.927876989775783,25.823989499476664,25.71880575686025,25.61232965068615,25.504600732228774,25.395622759925086,25.28539948093673,25.17393463119394,25.061231935410145,24.947295107133314,24.832127848741166,24.715733851524032,24.598116795698292
Stock new (Million),0.7355856000000001,1.1033784000000002,1.4711712000000001,1.8389640000000005,2.2067568,2.5745496000000005,2.9423424000000002,3.3101352000000004,3.677928,4.045720800000001,4.4135136,4.9494852,5.485456800000001,6.0214284,6.5574,7.093371600000001,7.6293432,8.165314799999999,8.7012864,9.237258,9.773229599999999,10.2973098,10.82139,11.3454702,11.8695504,12.3936306,12.9177108,13.441791,13.965871199999999,14.489951399999999,15.0140316
Surface (Million m2),2420.462333664581,2447.462456181436,2474.3870224214193,2501.2363148409427,2528.0106004548234,2554.710152642005,2581.3352488020932,2607.883660133837,2634.3552537861524,2660.7498993358104,2687.0674761673704,2729.099271424128,2771.009693741105,2812.7987601586274,2854.46646202818,2896.012787219449,2937.4377171470255,2978.7417460075935,3019.9248361771383,3060.986944567887,3101.9250072895366,3141.622197454484,3181.1983583823453,3220.653363651776,3259.9872024081806,3299.1997756895717,3338.290997784353,3377.2607754040196,3416.1090521469973,3454.835765961458,3493.4408489697585
Surface existing (Million m2),2351.393446647467,2343.859125655765,2336.249248387191,2328.5640972981587,2320.8039394034818,2312.9690480821064,2305.0597007336382,2297.073668556825,2289.010818700583,2280.8710207416834,2272.654154064687,2264.360111125616,2255.9446952467647,2247.407923468458,2238.7497871421815,2229.9702741376213,2221.069365869368,2212.047556534108,2202.904808507825,2193.6410787027435,2184.253303228564,2174.7412156130517,2165.1080987604523,2155.353826249424,2145.4783872253674,2135.481682726299,2125.36362704062,2115.1241268798267,2104.7631258423444,2094.280561876345,2083.6763671041854
Surface new (Million m2),69.06888701711385,103.60333052567076,138.13777403422768,172.6722175427846,207.20666105134154,241.74110455989845,276.27554806845535,310.8099915770122,345.3444350855692,379.8788785941261,414.4133221026831,464.739160298512,515.0649984943408,565.3908366901699,615.7166748859987,666.0425130818277,716.3683512776565,766.6941894734855,817.0200276693143,867.3458658651433,917.6717040609722,966.8809818414323,1016.0902596218924,1065.2995374023524,1114.5088151828127,1163.7180929632727,1212.927370743733,1262.136648524193,1311.3459263046532,1360.5552040851132,1409.7644818655733
Surface Electricity-Heat pump water (Million m2),151.1830869937499,177.84432418987166,204.53329002520658,231.25161955807042,258.0000962807061,284.77982507251187,323.5713210444965,362.2700316250474,400.8794253734136,439.40299688254214,477.92647238592724,531.5351995206196,585.1516232439509,638.7779716448048,692.416316479088,746.0685709145644,800.3004749182804,854.5556269737302,908.8309573446695,960.2670701767098,1012.8736438070268,1066.1147582516724,1119.253953171443,1172.2885197523503,1225.2163520336437,1278.0352355222674,1319.209670850319,1360.3856652763582,1401.5617020569318,1442.7364861692938,1483.930748626952
Surface Electricity-Performance boiler (Million m2),734.4004119261236,732.4553204737872,730.4467647302721,728.3750649004696,726.2402584843617,724.0428136879451,750.6982464447299,777.3833574988881,804.1039619989085,830.8659161903408,857.8362860353437,884.7411876071535,911.8426597803458,939.1400675704588,966.632049467346,994.3166076970681,1020.075872958404,1046.04396901598,1072.1939506368765,1088.8989861760424,1107.3228883657787,1124.1634514576654,1140.9687926933304,1157.7145856864624,1174.3780837648574,1190.9359352265412,1175.494058303766,1160.1192474121187,1144.8080666189826,1129.5567209448407,1114.324191187183
Surface Heating-District heating (Million m2),80.25965256682358,86.47330549682601,92.67919046131895,98.87720056612595,105.06722849786223,111.24916279284243,117.42288869791838,123.59385320577161,129.76188183541979,135.926827821528,142.08839528865582,148.33248138781002,154.57227009820747,160.80772181527212,167.03881783209337,173.26555760978886,179.48795865222618,185.70554870507485,191.91830505033974,198.13025057195824,204.33668022820837,210.53428821814225,216.72765418728108,222.916874299551,229.10203792964225,235.28325625464242,241.37308918381845,247.45588993231414,253.53161179345062,259.60020770662766,265.66162996563327
Surface Natural gas-Performance boiler (Million m2),996.2156979584131,1001.8320566628504,1007.1896584206523,1012.2909338724103,1017.1395841089612,1021.7388189161201,975.007323576126,928.5966716107254,882.4988050795755,836.7054300449824,791.0363644056142,744.1485307310099,697.3492873289634,650.626454126993,603.9675857904051,557.3599364517212,510.79042670622306,464.2572871054511,417.7748765002727,372.4676428276824,323.9011091865591,274.1637650737885,224.87622102862233,176.0543994030862,127.71214309873511,79.86367365208197,79.86367365208197,79.86367365208197,79.86367365208197,79.86367365208197,79.86367365208197
