,2020,2025,2030,2035,2040,2045,2050
river,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lake,0.0,0.0,0.0,0.0,0.0,0.0,0.0
phs,0.0,0.0,0.0,1.5,0.5,0.5,0.4999999999999991
offshore_f,0.0,0.0,0.0,0.0,2.3763759701013103,9.83236335137098,17.89126067852771
offshore_g,0.0,0.0,0.21561128669177324,4.884388713308226,3.4000000000000004,3.4000000000000004,3.4000000000000004
onshore,0.0,0.0,11.6,11.600000000000001,11.59999999999999,11.600000000000001,11.600000000000001
onshore_V110,,,,,,,
pv_g,0.0,5.589182498968874,10.210817501031128,18.36546718522183,21.63453281477816,0.0,40.00000000000001
pv_g_ns,,,,,,,
pv_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0
methanization,0.0,0.0,0.9532952806942274,1.4053231556054253,1.3518507953477958,0.7706359173421617,0.7706359173421626
ocgt,1.1706390441699899,0.0,0.0,12.45444687701143,8.721317409903694,6.238301087553527,3.5267354487182097
ccgt,0.0,0.0,0.0,2.4657861508391683,9.57271613252678,8.670286022050673,10.72788164416814
coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nuclear,0.0,0.0,0.0,0.0,3.25,1.75,1.75
h2_ccgt,0.0,0.0,0.0,0.0,0.0,0.0,4.8918866452854965
battery1,0.0,0.0,0.0,0.6460160212412727,0.36800230422228597,0.3099241099791128,0.0974668516533661
battery4,0.0,0.0,0.0,0.0,0.0,0.0,3.776724953651449
electrolysis,0.0,0.5479452054794521,1.8182645626365224,0.7494490891633538,0.7199865169332211,2.251103850765877,4.879460820683676
hydrogen,0.0,0.0,1.9713305519532787,0.6770712745307397,0.365296803652968,0.8219178082191778,9.312850879736633
methane,0.0,0.0,0.0,0.0,0.0,0.0,0.0
methanation,0.0,0.0,0.0,0.0,1.1270286039904707,0.44210902259155493,0.3373812815467805
pyrogazification,0.0,0.0,0.0,0.0,0.0,0.40744457765166286,1.784586476121599
natural_gas,109.70626803450139,0.0,0.0,0.0,0.0,8.3661292476054,22.126161465337944
geothermal,0.0,0.0,0.0,0.0,0.0,0.0,0.02706065733008156
central_gas_boiler,4.6784340199356995,2.0595129649535053,1.9487407466533408,1.6377497684720268,1.4410189736860293,1.4356188085987451,0.0
central_wood_boiler,0.0,0.0,0.0,0.0,0.0,0.0,2.1164726377360963
uiom,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTES,0.0,0.0,0.0,0.0,0.0,0.0,0.0
