,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049
Stock (Million),28.33536010601379,28.61814682477888,28.900085183403576,29.18117772707653,29.46142699316439,29.740835511614645,30.01940580489616,30.297140387417443,30.574041766217768,30.850112440880284,31.125354903529452,31.567950438791662,32.00921818745923,32.449162132881995,32.88778624646951,33.32509448771717,33.761090804241796,34.19577913181755,34.62916339441118,35.06124750421772,35.492035361696125,35.90963945560245,36.325990737227634,36.741092965008455,37.15494988607152,37.567565236411525,37.97894274070076,38.389086112477344,38.79799905413879,39.20568525697542,39.612148401203676
Stock existing (Million),27.599774506013787,27.51476842477888,27.428913983403575,27.342213727076526,27.254670193164394,27.16628591161464,27.07706340489616,26.987005187417438,26.89611376621777,26.804391640880283,26.711841303529457,26.618465238791668,26.523761387459235,26.42773373288199,26.33038624646951,26.231722887717172,26.1317476042418,26.030464331817548,25.927876994411182,25.82398950421772,25.718805761696114,25.612329655602455,25.504600737227634,25.395622765008454,25.285399486071512,25.173934636411516,25.061231940700754,24.947295112477338,24.832127854138786,24.715733856975415,24.598116801203677
Stock new (Million),0.7355856000000001,1.1033784000000002,1.4711712000000001,1.8389640000000005,2.2067568,2.5745496000000005,2.9423424000000002,3.3101352000000004,3.677928,4.045720800000001,4.4135136,4.9494852,5.485456800000001,6.0214284,6.5574,7.093371600000001,7.6293432,8.165314799999999,8.7012864,9.237258,9.773229599999999,10.2973098,10.82139,11.3454702,11.8695504,12.3936306,12.9177108,13.441791,13.965871199999999,14.489951399999999,15.0140316
Surface (Million m2),2420.462333685543,2447.4746885165905,2474.42490556541,2501.311505500774,2528.1353589220516,2554.894582119642,2581.5898936671056,2608.203988390942,2634.736309252256,2661.1873764576167,2687.538968762322,2729.5835904448877,2771.486782547546,2813.249403804074,2854.8724803291198,2896.3567898398796,2937.660359874048,2978.7867336718236,3019.7390935497688,3060.5206606032198,3101.127933265909,3140.447090454577,3179.60101698075,3218.592571755331,3257.42457110442,3296.099922847094,3334.621254914876,3372.9796709282846,3411.177455507811,3449.216600673347,3487.099055480896
Surface existing (Million m2),2351.393446668429,2343.871357990919,2336.287131531183,2328.6392879579894,2320.9286978707096,2313.153477559744,2305.3143455986506,2297.3939968139293,2289.3918741666866,2281.308497863491,2273.125646659639,2264.8444301463755,2256.4217840532056,2247.8585671139044,2239.155805443121,2230.3142767580516,2221.2920085963915,2212.092544198338,2202.7190658804534,2193.1747947380763,2183.456229204937,2173.5661086131445,2163.510757358857,2153.293034352979,2142.9157559216073,2132.381829883821,2121.693884171144,2110.843022404092,2099.8315292031584,2088.661396588233,2077.3345736153233
Surface new (Million m2),69.06888701711385,103.60333052567076,138.13777403422768,172.6722175427846,207.20666105134154,241.74110455989845,276.27554806845535,310.8099915770122,345.3444350855692,379.8788785941261,414.4133221026831,464.739160298512,515.0649984943408,565.3908366901699,615.7166748859987,666.0425130818277,716.3683512776565,766.6941894734855,817.0200276693143,867.3458658651433,917.6717040609722,966.8809818414323,1016.0902596218924,1065.2995374023524,1114.5088151828127,1163.7180929632727,1212.927370743733,1262.136648524193,1311.3459263046532,1360.5552040851132,1409.7644818655733
Surface Electricity-Heat pump water (Million m2),160.03228659009685,195.74498875398237,232.78718303108616,270.1692000578144,307.6817068511024,345.6384618594909,401.1236580470686,447.18088420287626,493.166451654683,539.0799809502887,585.0798945483507,646.3083306964351,707.6100445676316,768.9768691516083,830.4010914349705,891.8742872211478,953.8034782197443,1015.7214286167813,1077.6245997281483,1134.6694538872662,1188.7425235611752,1243.1930807403758,1297.3347334120426,1351.0550747930122,1404.6280531513469,1457.7641779498822,1499.0101052004682,1541.907631023767,1584.8228489710332,1627.7537833695333,1670.7317762348248
Surface Electricity-Performance boiler (Million m2),723.0269322803252,709.6736229890391,698.4605127542724,687.3800928686061,676.3272459175008,665.5450648561491,665.9005532758484,682.7314807550989,699.7767721742817,717.0265604234368,734.5763529045796,752.1574039420934,770.0057501077391,788.108390774326,806.4538035148994,825.0289508848493,842.4467064520358,860.1246684146888,878.0209648859203,888.7714509471665,897.8222206868978,906.0423495768713,913.6208378525283,920.788474183624,927.8855173751815,934.4534989808633,920.6773177249015,904.4950343903986,888.3321403975004,872.1870621222414,856.0115117329204
Surface Heating-District heating (Million m2),80.25965256756275,86.47106652498448,92.67215075174728,98.86279872510926,105.04265272943202,111.21166536967063,117.36953971746146,123.5157185399698,129.65418996891248,135.78493410368029,141.9050602612474,148.10169822969368,154.28671911739602,160.46006170697575,166.62164442463765,172.77143790298268,178.91806414737542,185.06109796360457,191.20064518082282,197.34140614770268,203.48427335122733,209.6209404315152,215.7531209743736,221.88295514273753,228.0114633235288,234.13774083852772,240.15786868313106,246.17445836212397,252.18656156714218,258.19407427918344,264.1968799810557
Surface Natural gas-Performance boiler (Million m2),984.5493442486227,978.535480006394,971.4806257425818,963.3527667224224,955.0785081805586,945.6341820636205,899.8015499722147,854.2260391424671,808.9226902039452,763.8871628922236,718.9370974675818,672.7380432060825,626.6089400800255,580.5477374775444,534.5521686241768,488.61942087877054,442.74643856675857,396.94137280690956,351.2194165455633,306.69129758880666,268.11932116401573,228.39368815937112,189.88668931845382,152.51827248990068,115.57063312241928,79.86367365208197,79.86367365208197,79.86367365208197,79.86367365208197,79.86367365208197,79.86367365208197
