,hour,elec_spot_price_2020,CH4_spot_price_2020,hour,elec_spot_price_2025,CH4_spot_price_2025,hour,elec_spot_price_2030,CH4_spot_price_2030,hour,elec_spot_price_2035,CH4_spot_price_2035,hour,elec_spot_price_2040,CH4_spot_price_2040,hour,elec_spot_price_2045,CH4_spot_price_2045,hour,elec_spot_price_2050,CH4_spot_price_2050
0,0,34.75000000000001,13.9,0,32.5177021487511,22.499999999999996,0,36.57079955468564,76.50245269966925,0,31.07190658848255,79.5600135572684,0,17.430283015066063,97.932504455549,0,6.0,106.0733749048212,0,5.999999999999999,241.03447878982269
1,1,30.10612952133421,13.9,1,32.5177021487511,22.499999999999996,1,36.57079955468564,76.50245269966925,1,31.07190658848255,79.5600135572684,1,17.430283015066063,97.93250445554897,1,6.0,106.0733749048212,1,6.0,241.03447878982269
2,2,30.10612952133421,13.9,2,32.5177021487511,22.499999999999996,2,36.57079955468564,76.50245269966925,2,31.07190658848255,79.5600135572684,2,14.11852924220351,97.932504455549,2,6.0,106.07337490482121,2,6.0,241.03447878982269
3,3,24.385964912280706,13.9,3,32.5177021487511,22.499999999999996,3,36.57079955468564,76.50245269966925,3,31.07190658848255,79.5600135572684,3,14.11852924220351,97.932504455549,3,6.0,106.0733749048212,3,6.0,241.03447878982269
4,4,24.385964912280706,13.9,4,32.5177021487511,22.499999999999996,4,36.57079955468564,76.50245269966925,4,31.07190658848255,79.5600135572684,4,14.11852924220351,97.93250445554897,4,6.0,106.07337490482121,4,6.0,241.03447878982269
5,5,24.385964912280706,13.9,5,32.5177021487511,22.499999999999996,5,36.57079955468564,76.50245269966925,5,31.07190658848255,79.5600135572684,5,14.11852924220351,97.93250445554901,5,6.0,106.0733749048212,5,6.0,241.03447878982269
6,6,24.385964912280706,13.9,6,32.5177021487511,22.499999999999996,6,36.57079955468564,76.50245269966925,6,31.07190658848255,79.5600135572684,6,14.11852924220351,97.932504455549,6,6.0,106.0733749048212,6,6.0,241.03447878982269
7,7,24.385964912280706,13.9,7,32.5177021487511,22.499999999999996,7,36.57079955468564,76.50245269966925,7,31.07190658848255,79.5600135572684,7,14.11852924220351,97.93250445554897,7,6.0,106.0733749048212,7,6.0,241.03447878982269
8,8,24.385964912280706,13.9,8,32.5177021487511,22.499999999999996,8,36.57079955468564,76.50245269966925,8,31.07190658848255,79.5600135572684,8,14.11852924220351,97.932504455549,8,6.0,106.0733749048212,8,6.0,241.03447878982269
9,9,24.385964912280706,13.9,9,32.5177021487511,22.499999999999996,9,36.57079955468564,76.50245269966925,9,31.07190658848255,79.5600135572684,9,14.11852924220351,97.93250445554897,9,6.0,106.0733749048212,9,5.53099730458221,241.03447878982269
10,10,24.385964912280706,13.9,10,32.5177021487511,22.499999999999996,10,36.57079955468564,76.50245269966925,10,31.07190658848255,79.5600135572684,10,14.11852924220351,97.93250445554901,10,6.0,106.07337490482121,10,5.13,241.03447878982269
11,11,24.385964912280706,13.9,11,32.5177021487511,22.499999999999996,11,36.57079955468564,76.50245269966925,11,31.07190658848255,79.5600135572684,11,14.11852924220351,97.93250445554897,11,6.0,106.0733749048212,11,5.13,241.03447878982269
12,12,24.385964912280706,13.9,12,32.5177021487511,22.499999999999996,12,36.57079955468564,76.50245269966925,12,31.07190658848255,79.5600135572684,12,14.11852924220351,97.93250445554901,12,6.0,106.07337490482121,12,5.13,241.03447878982269
13,13,24.385964912280706,13.9,13,32.5177021487511,22.499999999999996,13,36.57079955468564,76.50245269966925,13,31.07190658848255,79.5600135572684,13,14.11852924220351,97.93250445554897,13,6.0,106.0733749048212,13,5.530997304582209,241.03447878982269
14,14,24.385964912280706,13.9,14,32.5177021487511,22.499999999999996,14,36.57079955468564,76.50245269966925,14,31.07190658848255,79.5600135572684,14,14.11852924220351,97.932504455549,14,6.0,106.0733749048212,14,6.0,241.03447878982269
15,15,24.385964912280706,13.9,15,32.5177021487511,22.499999999999996,15,36.57079955468564,76.50245269966925,15,31.07190658848255,79.5600135572684,15,14.11852924220351,97.93250445554901,15,6.0,106.0733749048212,15,6.0,241.03447878982269
16,16,24.385964912280706,13.9,16,32.5177021487511,22.499999999999996,16,36.57079955468564,76.50245269966925,16,31.07190658848255,79.5600135572684,16,14.11852924220351,97.93250445554901,16,6.0,106.0733749048212,16,6.0,241.03447878982269
17,17,24.385964912280706,13.9,17,32.5177021487511,22.499999999999996,17,36.57079955468564,76.50245269966925,17,31.07190658848255,79.5600135572684,17,28.244821356236145,97.932504455549,17,6.0,106.07337490482121,17,6.0,241.03447878982269
18,18,24.385964912280706,13.9,18,32.5177021487511,22.499999999999996,18,36.57079955468564,76.50245269966925,18,31.07190658848255,79.5600135572684,18,161.22073589192843,97.93250445554897,18,182.09364018389684,106.0733749048212,18,418.86750664881185,241.03447878982269
19,19,30.10612952133421,13.9,19,32.5177021487511,22.499999999999996,19,36.57079955468564,76.50245269966925,19,38.36037850429945,79.5600135572684,19,161.22073589192843,97.93250445554901,19,182.09364018389684,106.07337490482121,19,418.86750664881185,241.03447878982269
20,20,30.10612952133421,13.9,20,32.5177021487511,22.499999999999996,20,36.57079955468564,76.50245269966925,20,38.36037850429945,79.5600135572684,20,161.22073589192843,97.93250445554897,20,182.09364018389684,106.0733749048212,20,422.8675066488118,241.03447878982269
21,21,30.10612952133421,13.9,21,32.5177021487511,22.499999999999996,21,36.57079955468564,76.50245269966925,21,31.07190658848255,79.5600135572684,21,161.22073589192843,97.932504455549,21,182.09364018389684,106.07337490482121,21,418.86750664881174,241.03447878982269
22,22,24.385964912280706,13.9,22,32.5177021487511,22.499999999999996,22,36.57079955468564,76.50245269966925,22,31.07190658848255,79.5600135572684,22,157.22073589192843,97.93250445554897,22,182.09364018389684,106.07337490482121,22,418.86750664881174,241.03447878982269
23,23,30.10612952133421,13.9,23,32.5177021487511,22.499999999999996,23,36.57079955468564,76.50245269966925,23,31.07190658848255,79.5600135572684,23,161.22073589192843,97.93250445554901,23,182.09364018389684,106.0733749048212,23,422.8675066488118,241.03447878982269
24,24,30.10612952133421,13.9,24,32.5177021487511,22.499999999999996,24,36.57079955468564,76.50245269966925,24,31.07190658848255,79.5600135572684,24,161.22073589192843,97.93250445554897,24,182.09364018389684,106.0733749048212,24,422.8675066488118,241.03447878982269
25,25,24.385964912280706,13.9,25,32.5177021487511,22.499999999999996,25,36.57079955468564,76.50245269966925,25,31.07190658848255,79.5600135572684,25,161.22073589192843,97.932504455549,25,182.09364018389684,106.07337490482121,25,422.8675066488118,241.03447878982269
26,26,24.385964912280706,13.9,26,32.5177021487511,22.499999999999996,26,36.57079955468564,76.50245269966925,26,31.07190658848255,79.5600135572684,26,157.22073589192843,97.93250445554897,26,182.09364018389684,106.0733749048212,26,422.8675066488118,241.03447878982269
27,27,24.385964912280706,13.9,27,32.5177021487511,22.499999999999996,27,36.57079955468564,76.50245269966925,27,31.071906588482545,79.5600135572684,27,157.22073589192843,97.93250445554901,27,182.09364018389684,106.07337490482121,27,422.8675066488118,241.03447878982269
28,28,24.385964912280706,13.9,28,32.5177021487511,22.499999999999996,28,36.57079955468564,76.50245269966925,28,31.07190658848255,79.5600135572684,28,161.22073589192843,97.93250445554901,28,182.09364018389684,106.07337490482121,28,422.8675066488118,241.03447878982269
29,29,24.385964912280706,13.9,29,32.5177021487511,22.499999999999996,29,36.57079955468564,76.50245269966925,29,31.07190658848255,79.5600135572684,29,161.22073589192843,97.93250445554901,29,186.09364018389687,106.0733749048212,29,422.8675066488118,241.03447878982269
30,30,24.385964912280706,13.9,30,32.5177021487511,22.499999999999996,30,36.57079955468564,76.50245269966925,30,44.73600813436104,79.5600135572684,30,171.81141132552455,97.93250445554898,30,186.09364018389684,106.0733749048212,30,422.8675066488118,241.03447878982269
31,31,24.385964912280706,13.9,31,32.5177021487511,22.499999999999996,31,36.57079955468564,76.50245269966925,31,44.73600813436104,79.5600135572684,31,171.81141132552452,97.93250445554897,31,186.09364018389684,106.0733749048212,31,422.8675066488118,241.03447878982269
32,32,34.75000000000001,13.9,32,32.5177021487511,22.499999999999996,32,36.57079955468564,76.50245269966925,32,44.73600813436104,79.5600135572684,32,171.81141132552455,97.93250445554898,32,186.09364018389684,106.0733749048212,32,422.8675066488118,241.03447878982269
33,33,34.75000000000001,13.9,33,32.5177021487511,22.499999999999996,33,36.57079955468564,76.50245269966925,33,44.73600813436104,79.5600135572684,33,171.81141132552452,97.93250445554897,33,186.09364018389684,106.0733749048212,33,422.8675066488118,241.03447878982269
34,34,34.75000000000001,13.9,34,32.5177021487511,22.499999999999996,34,36.57079955468564,76.50245269966925,34,36.23616658883244,79.5600135572684,34,161.22073589192843,97.93250445554901,34,186.09364018389684,106.0733749048212,34,418.86750664881174,241.03447878982269
