,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049
Stock (Million),28.33536010601379,28.61814682477888,28.900085183403576,29.18117772707653,29.46142699316439,29.740835511593648,30.01940580483063,30.297140387251225,30.574041765947783,30.85011244050462,31.125354903070434,31.56795043826484,32.0092181868605,32.44916213221925,32.887786245750455,33.32509448694987,33.76109080342644,34.19577913095255,34.62916339349606,35.06124750325289,35.49203536068504,35.90963945454632,36.325990736127004,36.74109296386401,37.15494988488917,37.56756523516736,37.97894273945123,38.38908611122416,38.79799905288339,39.20568525571905,39.61214839994736
Stock existing (Million),27.599774506013787,27.51476842477888,27.428913983403575,27.342213727076526,27.254670193164394,27.166285911593647,27.077063404830632,26.98700518725122,26.89611376594778,26.804391640504623,26.71184130307044,26.61846523826484,26.523761386860503,26.42773373221925,26.33038624575045,26.231722886949875,26.131747603426447,26.03046433095255,25.927876993496053,25.823989503252893,25.71880576068504,25.612329654546325,25.504600736127,25.39562276386402,25.285399484889165,25.173934635167356,25.06123193945123,24.94729511122416,24.832127852883396,24.715733855719044,24.59811679994736
Stock new (Million),0.7355856000000001,1.1033784000000002,1.4711712000000001,1.8389640000000005,2.2067568,2.5745496000000005,2.9423424000000002,3.3101352000000004,3.677928,4.045720800000001,4.4135136,4.9494852,5.485456800000001,6.0214284,6.5574,7.093371600000001,7.6293432,8.165314799999999,8.7012864,9.237258,9.773229599999999,10.2973098,10.82139,11.3454702,11.8695504,12.3936306,12.9177108,13.441791,13.965871199999999,14.489951399999999,15.0140316
Surface (Million m2),2420.462333685543,2447.4746885165905,2474.42490556541,2501.311505500774,2528.1353589220516,2554.894582118524,2581.596396160456,2608.22256212853,2634.7737919169394,2661.2507887336883,2687.6350074366483,2729.719217871931,2771.668935646738,2813.485073202583,2855.1691666812394,2896.722036427925,2938.098668672862,2979.3023252074026,3020.335346498332,3061.2003195098896,3101.8854072551458,3141.277578151382,3180.499160247385,3219.5525525800176,3258.4416965428463,3297.169012236827,3335.737365624964,3374.1490221388913,3412.4060616159218,3450.5105339665065,3488.464449998856
Surface existing (Million m2),2351.393446668429,2343.871357990919,2336.287131531183,2328.6392879579894,2320.9286978707096,2313.1534775586256,2305.320848092001,2297.412570551518,2289.429356831369,2281.3719101395623,2273.2216853339646,2264.980057573419,2256.603937152396,2248.0942365124124,2239.452491795241,2230.6795233460975,2221.730317395205,2212.608135733917,2203.3153188290175,2193.8544536447453,2184.213703194173,2174.39659630995,2164.408900625492,2154.2530151776646,2143.932881360033,2133.4509192735545,2122.8099948812305,2112.0123736146975,2101.0601353112684,2089.955329881394,2078.6999681332827
Surface new (Million m2),69.06888701711385,103.60333052567076,138.13777403422768,172.6722175427846,207.20666105134154,241.74110455989845,276.27554806845535,310.8099915770122,345.3444350855692,379.8788785941261,414.4133221026831,464.739160298512,515.0649984943408,565.3908366901699,615.7166748859987,666.0425130818277,716.3683512776565,766.6941894734855,817.0200276693143,867.3458658651433,917.6717040609722,966.8809818414323,1016.0902596218924,1065.2995374023524,1114.5088151828127,1163.7180929632727,1212.927370743733,1262.136648524193,1311.3459263046532,1360.5552040851132,1409.7644818655733
Surface Electricity-Heat pump water (Million m2),160.03228659009685,195.74498875398237,232.78718303108616,270.1692000578144,307.6817068511024,347.14079437840553,405.0508502315455,463.0396603047841,521.0939280061791,579.2016857285199,637.6242946375621,711.5948547768744,785.84410180218,860.350811123287,935.0968554988683,1010.0602466487289,1085.4205219023356,1160.9153341998212,1236.5171424346388,1304.2512964079158,1367.2717570699217,1430.477060960727,1493.374870473354,1555.695864804852,1617.8190862027316,1678.4445392621853,1722.4315055430136,1766.4333646342807,1810.4513302082275,1854.487838394528,1898.5809351201272
Surface Electricity-Performance boiler (Million m2),723.0269322803252,709.6736229890391,698.4605127542724,687.3800928686061,676.3272459175008,663.1877772201706,659.4958291191037,656.2313578263722,653.3729071488984,650.9019499223583,648.755197825787,646.5985382317693,644.7389374535903,643.1675903238754,641.8767486245058,640.8573075113023,639.132068165066,637.7067779333178,636.5507546374299,633.293593940947,630.8694673733868,627.9304910922203,624.4441268751887,620.8573719062894,617.3659342486118,614.2283705389334,597.6692823087802,581.1609814010607,564.6984277069129,548.2754336819705,531.8374730770096
Surface Heating-District heating (Million m2),80.25965256756275,86.47106652498448,92.67215075174728,98.86279872510926,105.04265272943202,111.21166536965973,117.36857187017337,123.5122899935562,129.64252453223116,135.75894553614017,141.85806072976447,148.0275291779257,154.17747485374713,160.3070121198096,166.41505310548018,172.50053176458593,178.57249210457096,184.62963780512234,190.67133008710752,196.7020436175189,202.7261213203472,208.73553960044902,214.73128039064434,220.7157947555992,226.68992613486108,232.65586555977242,238.48512264800203,244.30342628294505,250.11033992801026,255.90538104003858,261.6880157520494
Surface Natural gas-Performance boiler (Million m2),984.5493442486227,978.535480006394,971.4806257425818,963.3527667224224,955.0785081805586,944.9183590632196,899.0952240920576,853.5301178461224,808.2210204114377,763.1654891196346,718.1826323522348,671.9398911736797,625.7587108193892,579.6397550141064,533.5838553569289,487.5915165474534,441.66369202876996,395.81561510558674,350.0680439853632,305.53373410438394,266.9702453854414,227.28442464595955,188.84792209102852,151.58138944159137,114.77089333316961,79.86367365208197,79.86367365208197,79.86367365208197,79.86367365208197,79.86367365208197,79.86367365208197
