,2020,2025,2030,2035,2040,2045,2050
offshore_f,0.0,0.0,0.0,0.16544313011119113,0.5570031168745074,1.120908082178742,1.6555
offshore_g,0.0,0.0,0.0,0.29579999999999995,0.4335,0.5593,0.6273000000000001
onshore,0.355875,0.435,0.8666661755503693,1.1445,1.3682499999999997,1.548,1.661
pv_g,0.06951,0.16398193652825488,0.25189500000000004,0.43989999999999996,0.533186859145316,0.5586320882635445,0.8389500000000001
pv_c,0.0,0.0,0.0,0.0,0.0,0.0,1.0528
river,0.143451,0.143451,0.143451,0.143451,0.143451,0.143451,0.143451
lake,0.132,0.132,0.132,0.132,0.132,0.132,0.132
methanization,0.0,0.0,1.0302603036876319,1.3962738326290371,1.762287361570704,2.1283008905123078,2.4943144194545828
ocgt,0.1434127808833998,0.1434127808833998,0.1034127808833998,0.3120833797634031,0.4113917232780113,0.582809374744907,0.582809374744907
ccgt,0.26,0.26,0.22,0.1850021712176924,0.5414699372327344,0.7150784486951994,1.1012546156051892
nuclear,8.413039576758258,8.413017763375889,8.139406213846751,7.140796771810223,6.267342635610007,5.320456710387627,2.6838258956825376
h2_ccgt,0.0,0.0,0.0,0.0,0.0,0.0,0.0
phs,0.078,0.078,0.078,0.1005,0.108,0.1155,0.12299999999999998
battery1,0.0,0.0,0.0,0.004245512106956047,0.007663473243353,0.010199636503191981,0.010199636503191981
battery4,0.0,0.0,0.0,0.0,0.0,0.0,0.9139410482136742
methanation,0.0,0.0,0.0,0.08822039912986349,0.11307937920168927,0.13673801322368784,0.16209539351507463
pyrogazification,0.0,0.0,0.0,0.11152345563867452,0.5538385660463396,0.8307052403241817,1.1076771320926793
electrolysis,0.0,0.006575342465753428,0.02794553364689587,0.040401016799391544,0.08123491175690736,0.09725120402760157,0.1315945205479452
natural_gas,2.176195271120311,3.030194462265967,2.21984006448878,1.9432437728810026,1.5500784976309927,0.9564901898344302,0.5681785925935176
coal,0.04548662420292112,0.0,0.0,0.0,0.0,0.0,0.0
hydrogen,0.0,0.0,0.006430018167957998,0.023276129891581065,0.030840242916454704,0.037056931442234375,0.10533861194682392
methane,0.0,0.0,0.01963955701255141,0.037668343548763875,0.05767981572681041,0.07738788004133401,0.10124021775504642
geothermal,8.450891093003728e-05,6.950954776251056e-05,0.12993999999999947,0.14016,0.15037999999999982,0.16059999999999997,0.17228000000001065
central_gas_boiler,0.011764846237456675,0.015850302296149903,0.01755231911785656,0.021053096763580026,0.021348165282486176,0.023433051666929498,0.02535511310147169
central_wood_boiler,0.0017308999999999998,0.0017308999999999998,0.004048987002859116,0.004048987002859116,0.00721149799817802,0.008361077247379098,0.009487565541429708
uiom,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTES,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oil,0.8460241583310747,1.328819163957823,0.7517876614590677,0.2541584002651291,0.0,0.0,0.0
wood,4.035958368284663,4.5813212387627225,5.913500413744338,6.858932161752588,8.083350674719172,8.877729235481857,9.59173116419719
health_costs,6.13055071220407,5.904062774566806,5.893171916435079,6.062635766155961,6.153361901663984,5.911052361090708,5.5040342984242105
