,2020,2025,2030,2035,2040,2045,2050
river,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lake,0.0,0.0,0.0,0.0,0.0,0.0,0.0
phs,0.0,0.0,0.0,1.5,0.5,0.5,0.4999999999999991
offshore_f,0.0,0.0,0.0,0.0,0.0,4.649627033605924,25.450372966394077
offshore_g,0.0,0.0,0.21561128669176102,4.884388713308239,3.4000000000000004,3.4000000000000004,3.4000000000000004
onshore,0.0,0.0,11.6,11.600000000000001,11.59999999999999,11.600000000000001,11.600000000000001
onshore_V110,,,,,,,
pv_g,0.0,5.589182498953269,10.210817501046733,18.365467185221434,21.63453281477856,4.188154758013582,4.520446264098744
pv_g_ns,,,,,,,
pv_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0
methanization,0.0,0.0,0.9532952806942175,1.4053231556054753,1.3518507953477554,0.7706359173421631,0.7706359173421617
ocgt,1.1706390441699899,0.0,0.0,12.454446877011426,7.593836061969135,4.630825347779304,12.838404221136305
ccgt,0.0,0.0,0.0,2.4657861508391905,8.955589221989506,7.738566011273008,6.378960216442092
coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nuclear,0.0,0.0,0.0,0.0,5.16927189227431,4.83072810772569,3.5
h2_ccgt,0.0,0.0,0.0,0.0,0.0,0.0,0.06494996174903012
battery1,0.0,0.0,0.0,0.646016021241269,0.3317313025733619,0.2310054975055994,0.2144991948690822
battery4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
electrolysis,0.0,0.5479452054794521,1.81826456263653,0.7494490891633334,0.6617691810929407,2.482521560335048,2.610896388074578
hydrogen,0.0,0.0,1.9713305519533315,0.6770712745306868,0.365296803652968,0.8219178082191778,0.8445409086200244
methane,0.0,0.0,0.0,0.0,0.0,0.0,0.0
methanation,0.0,0.0,0.0,0.0,1.0932847058254502,0.4610014230633819,0.32387944433162685
pyrogazification,0.0,0.0,0.0,0.0,0.0,0.0,2.192031053773262
natural_gas,109.70626803450139,0.0,0.0,0.0,0.0,0.09954159552862052,39.444217612111686
geothermal,0.0,0.0,0.0,0.0,0.0,0.0,0.0
central_gas_boiler,4.6784340199356995,2.0595129649535053,1.9487407466533408,1.6377497684720268,1.4410189736860293,1.4356222835400878,1.2240197024272685
central_wood_boiler,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uiom,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTES,0.0,0.0,0.0,0.0,0.0,0.0,0.0
