,2020,2025,2030,2035,2040,2045,2050
river,9.66,9.66,9.66,9.66,9.66,9.66,9.66
lake,8.8,8.8,8.8,8.8,8.8,8.8,8.8
phs,5.2,5.2,5.2,6.7,7.2,7.7,8.2
offshore_f,0.0,0.0,0.0,0.0,0.0,9.961286354219917,30.1
offshore_g,0.0,0.0,0.0,5.1,8.5,11.9,15.3
onshore,9.49,11.6,22.72300575671172,32.7,42.099999999999994,51.6,60.4
onshore_V110,,,,,,,
pv_g,6.62,13.690542189792131,23.990000000000002,40.589814511410296,62.25,65.4634285925862,97.50099950734453
pv_g_ns,,,,,,,
pv_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0
methanization,0.0,0.0,0.6502304957893741,1.553150086889696,3.7104692316474486,4.4811051489895615,5.251741066331773
ocgt,7.17063904416999,7.17063904416999,5.17063904416999,15.444723207116429,21.173135573303888,28.302077668649222,33.36954109127375
ccgt,6.5,6.5,5.5,5.640260941935083,15.058354820619893,21.3570278221128,30.250815980784722
coal,2.9,0.0,0.0,0.0,0.0,0.0,0.0
nuclear,61.5,61.5,59.5,52.2,46.35,40.0,22.25
h2_ccgt,0.0,0.0,0.0,0.0,0.0,0.0,4.536528162342537
battery1,0.0,0.0,0.0,0.46131857305586116,0.7430773810251953,1.034416444337283,1.1944019794614746
battery4,0.0,0.0,0.0,0.0,0.0,0.0,3.2458872362834468
electrolysis,0.0,0.5479452054794524,2.3295024495061156,3.102554541924668,3.8650249749387857,6.321015832437343,10.966210045662102
hydrogen,0.0,0.0,1.6817702343508767,2.6484018264840183,3.0136986301369864,3.835616438356164,12.52503138310515
methane,80.0,80.0,80.0,80.0,80.0,80.0,80.0
methanation,0.0,0.0,0.0,0.0,0.5623745492969929,1.563096026162635,1.9068489663920103
pyrogazification,0.0,0.0,0.0,0.0,0.0,0.0,2.192031053773262
natural_gas,109.70626803450139,109.70626803450139,109.70626803450139,109.70626803450139,109.70626803450139,114.41224088453748,132.66102612530125
geothermal,0.583,0.583,0.583,0.583,0.583,0.583,0.6167174839974671
central_gas_boiler,6.116434019935699,8.161471024377429,10.01689347486268,11.523054897003577,12.783984427934875,14.015697342515315,14.98594136094333
central_wood_boiler,0.911,0.911,0.911,0.911,0.911,0.911,0.911
uiom,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTES,0.0,0.0,0.0,0.0,0.0,0.0,0.0
