,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049
Stock (Million),28.33536010601379,28.61814682477888,28.900085183403576,29.18117772707653,29.46142699316439,29.740835511593648,30.01940580483063,30.297140387251225,30.574041765947783,30.85011244050462,31.125354903070434,31.56795043826484,32.0092181868605,32.44916213221925,32.88778624575045,33.32509448694987,33.76109080342644,34.19577913095255,34.62916339349606,35.06124750325289,35.49203536068504,35.90963945454626,36.32599073612685,36.74109296386379,37.15494988488885,37.56756523516696,37.97894273945083,38.38908611122374,38.797999052882986,39.20568525571863,39.612148399946925
Stock existing (Million),27.599774506013787,27.51476842477888,27.428913983403575,27.342213727076526,27.254670193164394,27.166285911593647,27.077063404830632,26.98700518725122,26.89611376594778,26.804391640504623,26.71184130307044,26.61846523826484,26.523761386860503,26.42773373221925,26.33038624575045,26.23172288694988,26.131747603426447,26.03046433095255,25.927876993496053,25.82398950325289,25.718805760685036,25.61232965454625,25.50460073612685,25.395622763863788,25.285399484888853,25.173934635166958,25.061231939450824,24.947295111223745,24.83212785288298,24.71573385571862,24.598116799946926
Stock new (Million),0.7355856000000001,1.1033784000000002,1.4711712000000001,1.8389640000000005,2.2067568,2.5745496000000005,2.9423424000000002,3.3101352000000004,3.677928,4.045720800000001,4.4135136,4.9494852,5.485456800000001,6.0214284,6.5574,7.093371600000001,7.6293432,8.165314799999999,8.7012864,9.237258,9.773229599999999,10.2973098,10.82139,11.3454702,11.8695504,12.3936306,12.9177108,13.441791,13.965871199999999,14.489951399999999,15.0140316
Surface (Million m2),2420.462333685543,2447.4746885165905,2474.42490556541,2501.311505500774,2528.1353589220516,2554.894582118524,2581.596396160456,2608.22256212853,2634.7737919169394,2661.2507887336883,2687.6350074366483,2729.719217871931,2771.668935646738,2813.485073202583,2855.1691666812394,2896.722036427925,2938.098668672862,2979.3023252074026,3020.335346498332,3061.200319509889,3101.8854072551458,3141.2775781513783,3180.499152842815,3219.5525347583844,3258.4416692403743,3297.1689818789428,3335.7373436912508,3374.1489177689596,3412.405788070032,3450.5100076972926,3488.463589715452
Surface existing (Million m2),2351.393446668429,2343.871357990919,2336.287131531183,2328.6392879579894,2320.9286978707096,2313.1534775586256,2305.320848092001,2297.412570551518,2289.429356831369,2281.3719101395623,2273.2216853339646,2264.980057573419,2256.603937152396,2248.0942365124124,2239.452491795241,2230.6795233460975,2221.7303173952055,2212.6081357339167,2203.3153188290175,2193.8544536447457,2184.213703194173,2174.396596309946,2164.4088932209224,2154.252997356031,2143.9328540575616,2133.45088891567,2122.809972947518,2112.0122692447667,2101.059861765379,2089.9548036121796,2078.699107849879
Surface new (Million m2),69.06888701711385,103.60333052567076,138.13777403422768,172.6722175427846,207.20666105134154,241.74110455989845,276.27554806845535,310.8099915770122,345.3444350855692,379.8788785941261,414.4133221026831,464.739160298512,515.0649984943408,565.3908366901699,615.7166748859987,666.0425130818277,716.3683512776565,766.6941894734855,817.0200276693143,867.3458658651433,917.6717040609722,966.8809818414323,1016.0902596218924,1065.2995374023524,1114.5088151828127,1163.7180929632727,1212.927370743733,1262.136648524193,1311.3459263046532,1360.5552040851132,1409.7644818655733
Surface Electricity-Heat pump water (Million m2),160.03228659009685,195.74498875398237,232.78718303108616,270.1692000578144,307.6817068511024,347.14079437840553,405.0508502315455,463.0396603047841,521.0939280061791,579.2016857285199,637.6242946375621,711.5948547768743,785.8441018021799,860.3508111232869,935.0968554988681,1010.0602466487287,1085.4205219023354,1160.915334199821,1236.5171424346386,1304.2512964079156,1367.2717570699215,1430.4629566884244,1493.3460950253746,1555.652270139506,1617.7604170485574,1678.3715604992278,1722.326924231522,1766.296758322354,1810.2822797397607,1854.285919428137,1898.3455310449242
Surface Electricity-Performance boiler (Million m2),723.0269322803252,709.6736229890391,698.4605127542724,687.3800928686061,676.3272459175008,663.1877772201706,659.4958291191037,656.2313578263722,653.3729071488984,650.9019499223583,648.755197825787,646.5985382317696,644.7389374535907,643.167590323876,641.8767486245065,640.8573075113034,639.1320681650669,637.7067779333188,636.5507546374309,633.2935939409479,630.8694673733877,627.9781627758564,624.5384328991696,620.9963078228674,617.5479867348766,614.4495022805451,597.9685602739015,581.5354487929188,565.1451797163791,548.7916174669647,532.4206573914817
Surface Heating-District heating (Million m2),80.25965256756275,86.47106652498448,92.67215075174728,98.86279872510926,105.04265272943202,111.21166536965973,117.36857187017337,123.5122899935562,129.64252453223116,135.75894553614017,141.85806072976447,148.0275291779257,154.17747485374713,160.3070121198096,166.41505310548018,172.50053176458593,178.57249210457096,184.62963780512237,190.67133008710752,196.7020436175189,202.7261213203472,208.73553960044902,214.7313260709752,220.71593541791347,226.6902144585193,232.65635753193652,238.48588194983526,244.3045681045814,250.11198450479802,255.90765422703046,261.6910497090523
Surface Natural gas-Performance boiler (Million m2),984.5493442486227,978.535480006394,971.4806257425818,963.3527667224224,955.0785081805586,944.9183590632196,899.0952240920576,853.5301178461224,808.2210204114377,763.1654891196346,718.1826323522348,671.9398911736797,625.7587108193892,579.6397550141064,533.5838553569289,487.5915165474534,441.66369202876996,395.81561510558674,350.0680439853632,305.53373410438394,266.9702453854414,227.28442464595958,188.84795739347075,151.58146103894123,114.77096480162109,79.86367365208197,79.86367365208197,79.86367365208197,79.86367365208197,79.86367365208197,79.86367365208197
