,hour,elec_spot_price_2020,CH4_spot_price_2020,hour,elec_spot_price_2025,CH4_spot_price_2025,hour,elec_spot_price_2030,CH4_spot_price_2030,hour,elec_spot_price_2035,CH4_spot_price_2035,hour,elec_spot_price_2040,CH4_spot_price_2040,hour,elec_spot_price_2045,CH4_spot_price_2045,hour,elec_spot_price_2050,CH4_spot_price_2050
0,0,34.75000000000001,13.9,0,32.517702148751106,22.499999999999996,0,52.913190388669484,77.83132445309043,0,27.615063732004863,75.11665665522837,0,15.768019811105559,79.7588604576042,0,7.721456846000616,78.82758620689657,0,7.017543859649122,189.66053979589873
1,1,30.10612952133421,13.9,1,32.517702148751106,22.499999999999996,1,52.913190388669484,77.83132445309043,1,27.615063732004863,75.11665665522837,1,15.768019811105559,79.7588604576042,1,7.721456846000616,78.82758620689657,1,7.017543859649122,189.66053979589873
2,2,30.10612952133421,13.9,2,32.517702148751106,22.499999999999996,2,52.913190388669484,77.83132445309043,2,27.615063732004863,75.11665665522837,2,12.7720960469955,79.7588604576042,2,6.254380045260498,78.82758620689657,2,7.017543859649122,189.66053979589873
3,3,24.385964912280706,13.9,3,32.517702148751106,22.499999999999996,3,52.913190388669484,77.83132445309043,3,27.615063732004863,75.11665665522834,3,12.7720960469955,79.7588604576042,3,6.254380045260498,78.82758620689657,3,7.017543859649122,189.66053979589873
4,4,24.385964912280706,13.9,4,32.517702148751106,22.499999999999996,4,52.913190388669484,77.83132445309043,4,27.615063732004863,75.11665665522834,4,12.7720960469955,79.7588604576042,4,6.254380045260498,79.96952118056325,4,7.017543859649122,189.66053979589873
5,5,24.385964912280706,13.9,5,32.517702148751106,22.499999999999996,5,52.913190388669484,77.83132445309043,5,27.615063732004863,75.11665665522837,5,12.7720960469955,79.7588604576042,5,6.254380045260498,79.96952118056325,5,7.017543859649122,189.66053979589873
6,6,24.385964912280706,13.9,6,32.517702148751106,22.499999999999996,6,52.913190388669484,77.83132445309043,6,27.615063732004863,75.11665665522834,6,12.7720960469955,79.7588604576042,6,6.254380045260498,79.96952118056325,6,7.017543859649122,189.66053979589873
7,7,24.385964912280706,13.9,7,32.517702148751106,22.499999999999996,7,52.913190388669484,77.83132445309043,7,27.615063732004863,75.11665665522834,7,12.7720960469955,79.7588604576042,7,6.254380045260498,79.96952118056325,7,7.017543859649122,189.66053979589873
8,8,24.385964912280706,13.9,8,32.517702148751106,22.499999999999996,8,52.913190388669484,77.83132445309043,8,27.615063732004863,75.11665665522834,8,12.7720960469955,79.7588604576042,8,6.254380045260498,79.96952118056325,8,6.0,189.66053979589873
9,9,24.385964912280706,13.9,9,32.517702148751106,22.499999999999996,9,52.913190388669484,77.83132445309043,9,27.615063732004863,75.11665665522834,9,12.7720960469955,79.7588604576042,9,6.254380045260498,79.96952118056325,9,6.0,189.66053979589873
10,10,24.385964912280706,13.9,10,32.517702148751106,22.499999999999996,10,52.913190388669484,77.83132445309043,10,27.615063732004863,75.11665665522834,10,12.7720960469955,79.7588604576042,10,6.254380045260498,79.96952118056325,10,6.0,189.66053979589873
11,11,24.385964912280706,13.9,11,32.517702148751106,22.499999999999996,11,52.913190388669484,77.83132445309043,11,27.615063732004863,75.11665665522834,11,12.7720960469955,79.7588604576042,11,6.254380045260498,78.82758620689657,11,6.0,189.66053979589873
12,12,24.385964912280706,13.9,12,32.517702148751106,22.499999999999996,12,52.913190388669484,77.83132445309043,12,27.615063732004863,75.11665665522837,12,12.7720960469955,79.7588604576042,12,6.254380045260498,78.82758620689657,12,6.0,189.66053979589873
13,13,24.385964912280706,13.9,13,32.517702148751106,22.499999999999996,13,52.913190388669484,77.83132445309043,13,27.615063732004863,75.11665665522834,13,12.7720960469955,79.7588604576042,13,6.254380045260498,77.96952118056325,13,6.0,189.66053979589873
14,14,24.385964912280706,13.9,14,32.517702148751106,22.499999999999996,14,52.913190388669484,77.83132445309043,14,27.615063732004863,75.11665665522837,14,12.772096046995498,79.7588604576042,14,6.254380045260498,77.96952118056325,14,6.0,189.66053979589873
15,15,24.385964912280706,13.9,15,32.517702148751106,22.499999999999996,15,52.913190388669484,77.83132445309043,15,27.615063732004863,75.11665665522834,15,12.7720960469955,79.7588604576042,15,6.254380045260498,77.96952118056325,15,18.54746881998721,189.66053979589873
16,16,24.385964912280706,13.9,16,32.517702148751106,22.499999999999996,16,52.913190388669484,77.83132445309043,16,27.615063732004863,75.11665665522834,16,27.777662210933123,79.7588604576042,16,6.254380045260498,78.82758620689657,16,332.2465610454364,189.66053979589873
17,17,24.385964912280706,13.9,17,32.517702148751106,22.499999999999996,17,52.913190388669484,77.83132445309043,17,27.615063732004863,75.11665665522837,17,139.9278253642179,79.7588604576042,17,136.2974055799355,79.96952118056323,17,332.7377891156118,189.66053979589873
18,18,24.385964912280706,13.9,18,32.517702148751106,22.499999999999996,18,52.913190388669484,77.83132445309043,18,131.78360816706729,75.11665665522834,18,139.9278253642179,79.7588604576042,18,140.2974055799355,79.96952118056325,18,336.2465610454364,191.66053979589873
19,19,30.10612952133421,13.9,19,32.517702148751106,22.499999999999996,19,52.913190388669484,77.83132445309043,19,131.7836081670673,75.11665665522834,19,139.92782536421788,79.7588604576042,19,140.2974055799355,79.96952118056325,19,336.2465610454364,191.66053979589873
20,20,30.10612952133421,13.9,20,32.517702148751106,22.499999999999996,20,52.913190388669484,77.83132445309043,20,131.78360816706729,75.11665665522837,20,139.9278253642179,79.7588604576042,20,140.29740557993549,79.96952118056323,20,336.2465610454364,191.66053979589873
21,21,30.10612952133421,13.9,21,32.517702148751106,22.499999999999996,21,52.913190388669484,77.83132445309043,21,127.78360816706729,75.11665665522834,21,139.9278253642179,79.7588604576042,21,140.2974055799355,79.96952118056325,21,336.2465610454364,191.66053979589873
22,22,24.385964912280706,13.9,22,32.517702148751106,22.499999999999996,22,52.913190388669484,77.83132445309043,22,106.74472261532449,75.11665665522834,22,139.92782536421788,79.7588604576042,22,140.2974055799355,79.96952118056325,22,336.2465610454364,191.66053979589873
23,23,30.10612952133421,13.9,23,32.517702148751106,22.499999999999996,23,52.913190388669484,77.83132445309043,23,131.78360816706729,75.11665665522834,23,139.9278253642179,79.7588604576042,23,140.2974055799355,79.96952118056325,23,336.2465610454364,191.66053979589873
24,24,30.10612952133421,13.9,24,32.517702148751106,22.499999999999996,24,52.913190388669484,77.83132445309043,24,131.7836081670673,75.11665665522837,24,139.9278253642179,79.7588604576042,24,140.2974055799355,79.96952118056325,24,336.2465610454364,191.66053979589873
25,25,24.385964912280706,13.9,25,32.517702148751106,22.499999999999996,25,52.913190388669484,77.83132445309043,25,131.78360816706729,75.11665665522834,25,139.9278253642179,79.7588604576042,25,140.2974055799355,79.96952118056325,25,336.2465610454364,191.66053979589873
26,26,24.385964912280706,13.9,26,32.517702148751106,22.499999999999996,26,52.913190388669484,77.83132445309043,26,106.7447226153245,75.11665665522834,26,139.9278253642179,79.7588604576042,26,140.2974055799355,79.96952118056325,26,336.2465610454364,191.66053979589873
27,27,24.385964912280706,13.9,27,32.517702148751106,22.499999999999996,27,52.913190388669484,77.83132445309043,27,106.7447226153245,75.11665665522834,27,139.92782536421788,79.7588604576042,27,140.2974055799355,79.96952118056325,27,336.2465610454364,191.66053979589873
28,28,24.385964912280706,13.9,28,32.517702148751106,22.499999999999996,28,52.913190388669484,77.83132445309043,28,127.78360816706729,75.11665665522837,28,139.9278253642179,79.7588604576042,28,140.2974055799355,79.96952118056325,28,336.2465610454364,191.66053979589873
29,29,24.385964912280706,13.9,29,32.517702148751106,22.499999999999996,29,52.913190388669484,77.83132445309043,29,131.78360816706729,75.11665665522834,29,139.9278253642179,79.7588604576042,29,140.2974055799355,79.96952118056325,29,336.2465610454364,191.66053979589873
30,30,24.385964912280706,13.9,30,32.517702148751106,22.499999999999996,30,52.913190388669484,77.83132445309043,30,131.78360816706729,75.11665665522834,30,139.9278253642179,79.7588604576042,30,140.2974055799355,79.96952118056325,30,336.2465610454364,191.66053979589873
31,31,24.385964912280706,13.9,31,32.517702148751106,22.499999999999996,31,65.32492640576478,77.83132445309043,31,131.78360816706729,75.11665665522834,31,139.92782536421788,79.7588604576042,31,140.2974055799355,79.96952118056325,31,336.2465610454364,191.66053979589873
32,32,34.75000000000001,13.9,32,32.517702148751106,22.499999999999996,32,61.7191534302355,77.83132445309043,32,131.78360816706729,75.11665665522834,32,139.9278253642179,79.7588604576042,32,140.29740557993549,79.96952118056323,32,336.2465610454364,191.66053979589873
33,33,34.75000000000001,13.9,33,32.517702148751106,22.499999999999996,33,65.32492640576478,77.83132445309043,33,131.78360816706729,75.11665665522834,33,139.92782536421788,79.7588604576042,33,140.2974055799355,79.96952118056325,33,336.2465610454364,191.66053979589873
34,34,34.75000000000001,13.9,34,32.517702148751106,22.499999999999996,34,52.913190388669484,77.83132445309043,34,131.7836081670673,75.11665665522837,34,139.9278253642179,79.7588604576042,34,140.2974055799355,79.96952118056323,34,332.7377891156118,189.66053979589873
35,35,34.75000000000001,13.9,35,32.517702148751106,22.499999999999996,35,52.913190388669484,77.83132445309043,35,127.78360816706729,75.11665665522834,35,139.9278253642179,79.7588604576042,35,140.2974055799355,79.96952118056325,35,287.4908096938482,189.66053979589873
36,36,34.75000000000001,13.9,36,32.517702148751106,22.499999999999996,36,52.913190388669484,77.83132445309043,36,127.78360816706729,75.11665665522834,36,139.92782536421788,79.7588604576042,36,140.29740557993549,79.96952118056323,36,287.4908096938482,189.66053979589873
37,37,34.75000000000001,13.9,37,32.517702148751106,22.499999999999996,37,52.913190388669484,77.83132445309043,37,131.78360816706729,75.11665665522834,37,139.92782536421788,79.7588604576042,37,140.2974055799355,79.96952118056325,37,332.7377891156118,189.66053979589873
38,38,34.75000000000001,13.9,38,32.517702148751106,22.499999999999996,38,65.71915343023551,77.83132445309043,38,131.7836081670673,75.11665665522837,38,139.92782536421788,79.7588604576042,38,140.2974055799355,79.96952118056325,38,336.2465610454364,191.66053979589873
39,39,34.75000000000001,13.9,39,32.517702148751106,22.499999999999996,39,65.7191534302355,77.83132445309043,39,157.75754094699667,75.11665665522834,39,166.92580187641337,79.7588604576042,39,161.93828039064053,79.96952118056323,39,384.14294255481985,191.66053979589873
40,40,34.75000000000001,13.9,40,32.517702148751106,22.499999999999996,40,65.7191534302355,77.83132445309043,40,157.75754094699667,75.11665665522834,40,166.92580187641337,79.7588604576042,40,161.93828039064053,79.96952118056325,40,479.1513494897468,191.66053979589873
41,41,34.75000000000001,13.9,41,32.5177021487516,22.499999999999996,41,65.7191534302355,77.83132445309043,41,187.79164163807084,75.11665665522834,41,199.3971511440105,79.7588604576042,41,199.92380295140802,79.96952118056325,41,479.1513494897468,191.66053979589873
42,42,34.75000000000001,13.9,42,32.5177021487516,22.499999999999996,42,81.13475732127839,77.83132445309043,42,187.79164163807084,75.11665665522834,42,199.39715114401048,79.7588604576042,42,199.9238029514081,79.96952118056325,42,479.1513494897468,191.66053979589873
43,43,34.75000000000001,13.9,43,32.5177021487516,22.499999999999996,43,81.13475732127839,77.83132445309043,43,187.79164163807084,75.11665665522834,43,199.3971511440105,79.7588604576042,43,199.92380295140808,79.96952118056323,43,479.1513494897468,191.66053979589873
44,44,34.75000000000001,13.9,44,32.5177021487516,22.499999999999996,44,81.13475732127839,77.83132445309043,44,187.79164163807087,75.11665665522834,44,199.39715114401048,79.7588604576042,44,199.9238029514081,79.96952118056325,44,479.1513494897468,191.66053979589873
45,45,34.75000000000001,13.9,45,32.517702148751106,22.499999999999996,45,65.71915343023551,77.83132445309043,45,187.79164163807084,75.11665665522834,45,199.3971511440105,79.7588604576042,45,199.9238029514081,79.96952118056325,45,479.1513494897468,191.66053979589873
46,46,34.75000000000001,13.9,46,32.517702148751106,22.499999999999996,46,65.7191534302355,77.83132445309043,46,187.79164163807084,75.11665665522837,46,199.3971511440105,79.7588604576042,46,199.92380295140808,79.96952118056323,46,479.1513494897468,191.66053979589873
47,47,34.75000000000001,13.9,47,32.5177021487516,22.499999999999996,47,65.7191534302355,77.83132445309043,47,187.79164163807087,75.11665665522834,47,199.3971511440105,79.7588604576042,47,199.9238029514081,79.96952118056325,47,479.1513494897468,191.66053979589873
