,2020,2025,2030,2035,2040,2045,2050
offshore_f,0.0,0.0,0.020765109893447764,0.48613639852405083,0.42536934870854454,0.997642202266658,1.6555
offshore_g,0.0,0.0,0.119,0.29579999999999995,0.4335,0.5593,0.6273000000000001
onshore,0.355875,0.435,0.87,1.1445,1.3682499999999997,1.548,1.661
pv_g,0.06951,0.1967792285713776,0.25189500000000004,0.43989999999999996,0.5608575411750069,0.5181166905762141,0.8389500000000001
pv_c,0.0,0.0,0.116,0.116,0.10729999999999999,0.0986,0.9068171844466633
river,0.143451,0.143451,0.143451,0.143451,0.143451,0.143451,0.143451
lake,0.132,0.132,0.132,0.132,0.132,0.132,0.132
methanization,0.0,0.0,1.0302603036876319,1.3962738326290371,1.762287361570704,2.1283008905123078,2.4943144194545828
ocgt,0.1434127808833998,0.1434127808833998,0.10553549006028697,0.36949944764517817,0.46732084984783134,0.6310716550100819,0.6310716550100819
ccgt,0.26,0.26,0.22,0.39464629603068385,0.7559506252650727,1.037739024042413,1.3764078673573819
nuclear,8.413039576758257,8.413020630413712,8.13941161382623,7.140810140126657,6.7851529817331375,6.155862302450068,3.7532845961034744
h2_ccgt,0.0,0.0,0.0,0.0,0.0,0.0,0.15546703134790757
phs,0.078,0.078,0.078,0.1005,0.108,0.1155,0.12299999999999998
battery1,0.0,0.0,0.0,0.009055814596399514,0.013044838814783721,0.017039682226219592,0.017039682226219592
battery4,0.0,0.0,0.0,0.0,0.0,0.0,0.3993613575435962
methanation,0.0,0.0,0.0,0.07523281998862388,0.11693788655415918,0.14374875061910747,0.16858281624572066
pyrogazification,0.0,0.0,0.0,0.0,0.3604968357425477,0.7042350138637729,1.1076771320926793
electrolysis,0.0,0.006575342465753424,0.02991331459698785,0.03845065159487102,0.05692892039148874,0.07130763283026983,0.1315945205479452
natural_gas,2.236191985680461,3.4056477244583063,2.159885699825468,1.9072807947811632,1.5498955837991126,0.9562072429632946,0.5679650766695166
coal,0.045486624202922904,0.0,0.0,0.0,0.0,0.0,0.0
hydrogen,0.0,0.0,0.012664311175648276,0.023949984166539515,0.029466710977718344,0.03437245296877749,0.11432177704950312
methane,0.0,0.0,0.01959823170869445,0.03442014577875813,0.05760979379568177,0.08434920074634182,0.1207270854693959
geothermal,8.529824641138684e-05,7.005104964615689e-05,0.12993999999999928,0.14016,0.15037999999999999,0.16059999999999997,0.1722799999999853
central_gas_boiler,0.01162989490813975,0.015676230964198706,0.016804800036359945,0.020307581777331937,0.023701686340626384,0.0269995454820419,0.0269995454820419
central_wood_boiler,0.0017308999999999998,0.0017308999999999998,0.004614221854632227,0.004614221854632227,0.004614221854632227,0.004614221854632227,0.009487872915825315
uiom,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTES,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oil,0.8735532368906423,1.4381663707634782,0.8507401665032192,0.3059231500827205,0.0,0.0,0.0
wood,4.031681381398589,4.272327324957988,6.108262460797159,7.400467309636625,8.585281621019009,9.354746271709164,10.570245441273208
health_costs,6.114948023077358,5.7459769693248255,6.492847359035072,7.161501396333355,7.525915179010561,7.553871726537278,6.601489525379173
