,2020,2025,2030,2035,2040,2045,2050
river,36.685589196542864,36.685589196542864,36.685589196542864,36.685589196542864,36.685589196542864,36.685589196542864,36.685589196542864
lake,15.302186369999953,15.3021863699996,15.302186369999633,15.302186369999735,15.30218636999971,15.30218636999975,15.302186369999717
phs,1.3709732133316135,0.0038329199999999996,0.7084802611389039,2.54004520075049,3.533790626781171,6.913443025468042,17.117787505129204
offshore_f,0.0,0.0,0.0,18.672892151029863,65.42296481614632,86.32446688874838,140.29570870000032
offshore_g,0.0,0.0,0.0,23.473497514333854,39.122495857222916,54.771494200112414,70.42049254300137
onshore,25.672679102256538,32.99567158507232,63.741687917075936,93.01366041654086,119.75153221823733,146.77384946463263,171.80504859813507
onshore_V110,,,,,,,
pv_g,9.524232366375484,19.59394340730704,34.1136857993546,54.408581834470915,67.97122222991077,87.10800356116698,140.35101243836178
pv_g_ns,,,,,,,
pv_c,0.0,0.0,0.0,0.0,0.0,0.0,69.8702638167719
methanization,0.0,0.0,18.999999999999922,25.749999999994827,32.49999999999497,39.24999999999385,46.00000000000614
ocgt,1.4320798373399664,0.0,0.0,0.03349966220089943,0.15202668501248484,0.3612795491143047,0.9197832570446897
ccgt,6.655054885698114,0.05675392730961469,0.021465700966908984,0.2341530502570949,0.3462393525854241,4.786245378006785,9.661420653000317
coal,6.8919127580179085,0.0,0.0,0.0,0.0,0.0,0.0
nuclear,377.17326279304336,377.1690723921942,364.90080735543813,314.1493203848265,254.58762510306187,219.5338450785598,88.13248329889737
h2_ccgt,0.0,0.0,0.0,0.8571559322538231,1.5067059993578373,0.7622549897415178,0.705574725595464
battery1,0.0,0.0,0.0,0.009730680792477688,0.23106326680224046,0.33039963555823076,0.41148780898014164
battery4,0.0,0.0,0.0,0.0,0.0,0.0,31.16078565444644
electrolysis,0.0,4.800000000001015,19.9999999999997,24.70378233729006,29.043343858521407,34.93728945568387,41.23785039578138
hydrogen,0.0,0.0,0.07216192630410717,4.09169293124876,5.274763574716004,5.385210745192611,19.563120142379375
methane,0.0,0.0,11.17591703902116,20.067831911089893,27.809747915547728,36.297985398238026,45.51242100257149
methanation,0.0,0.0,2.588422341433912,6.644381772053581,8.38610513837548,10.127864994011913,11.869620196575783
pyrogazification,0.0,0.0,0.0,4.799999999999803,9.60109601552649,14.399999999998242,19.20219203105298
natural_gas,154.14703483181663,131.3488359459962,94.31086740297036,71.97534561500443,47.99479058859912,30.564403790197975,17.48855196846407
geothermal,0.0011692863660480383,0.0009674883283603883,1.779999999999989,1.9199999999999962,2.059999999999998,2.2,2.3600000000001535
central_gas_boiler,12.891948965718182,15.972487934983066,7.093212492175948,7.481930553807506,7.464522564112699,7.4391924941005305,7.381668811536881
central_wood_boiler,0.02137894000165051,0.010260360590745437,10.100000000000568,11.790000000000235,13.489999999999403,15.189999999999529,16.81999999999935
uiom,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTES,0.0,0.0,0.0,0.0,0.0,0.0,0.0
