,hour,elec_spot_price_2020,CH4_spot_price_2020,hour,elec_spot_price_2025,CH4_spot_price_2025,hour,elec_spot_price_2030,CH4_spot_price_2030,hour,elec_spot_price_2035,CH4_spot_price_2035,hour,elec_spot_price_2040,CH4_spot_price_2040,hour,elec_spot_price_2045,CH4_spot_price_2045,hour,elec_spot_price_2050,CH4_spot_price_2050
0,0,34.75000000000001,13.9,0,6.0,22.499999999999996,0,36.53664665608103,58.33168072777821,0,21.925714618617786,58.353829374890125,0,16.993730770482774,58.304085606788874,0,17.291568419758654,63.25801272746919,0,7.407407407407407,77.98742246142523
1,1,30.10612952133421,13.9,1,6.0,22.499999999999996,1,36.53664665608103,58.33168072777821,1,21.925714618617786,58.353829374890125,1,16.993730770482774,58.304085606788874,1,17.291568419758654,63.25801272746919,1,7.407407407407407,79.98742246142523
2,2,30.10612952133421,13.9,2,6.0,22.499999999999996,2,36.53664665608103,58.33168072777821,2,21.925714618617786,58.353829374890125,2,16.993730770482774,58.304085606788874,2,17.291568419758654,63.25801272746919,2,6.0,79.98742246142523
3,3,24.385964912280706,13.9,3,6.0,22.499999999999996,3,36.53664665608103,58.33168072777821,3,21.925714618617786,58.353829374890125,3,16.993730770482774,58.30408560678887,3,14.78429099889365,63.25801272746921,3,6.0,79.98742246142523
4,4,24.385964912280706,13.9,4,6.0,22.499999999999996,4,36.53664665608103,58.33168072777821,4,21.925714618617786,58.353829374890125,4,16.993730770482774,58.304085606788874,4,14.78429099889365,63.25801272746919,4,6.0,79.98742246142523
5,5,24.385964912280706,13.9,5,6.0,22.499999999999996,5,36.53664665608103,58.33168072777821,5,21.925714618617786,58.353829374890125,5,16.993730770482774,58.304085606788874,5,14.78429099889365,63.25801272746921,5,6.0,79.98742246142523
6,6,24.385964912280706,13.9,6,6.0,22.499999999999996,6,36.53664665608103,58.33168072777821,6,21.925714618617786,58.353829374890125,6,16.993730770482774,58.304085606788874,6,17.291568419758654,63.25801272746919,6,6.0,79.98742246142523
7,7,24.385964912280706,13.9,7,6.0,22.499999999999996,7,36.53664665608103,58.33168072777821,7,21.925714618617786,58.353829374890125,7,16.993730770482774,58.304085606788874,7,17.291568419758654,63.25801272746919,7,6.0,79.98742246142523
8,8,24.385964912280706,13.9,8,6.0,22.499999999999996,8,36.53664665608103,58.33168072777821,8,21.925714618617786,58.353829374890125,8,16.993730770482774,58.304085606788874,8,14.006170420004509,63.25801272746919,8,6.0,79.98742246142523
9,9,24.385964912280706,13.9,9,6.0,22.499999999999996,9,36.53664665608103,58.33168072777821,9,21.925714618617786,58.353829374890125,9,16.993730770482774,58.304085606788874,9,14.006170420004509,63.25801272746919,9,6.0,79.98742246142523
10,10,24.385964912280706,13.9,10,6.0,22.499999999999996,10,36.53664665608103,58.33168072777821,10,21.925714618617786,58.353829374890125,10,16.993730770482774,58.304085606788874,10,14.006170420004509,63.25801272746919,10,6.0,79.98742246142523
11,11,24.385964912280706,13.9,11,6.0,22.499999999999996,11,36.53664665608103,58.33168072777821,11,21.925714618617786,58.353829374890125,11,16.993730770482774,58.30408560678887,11,14.006170420004509,63.25801272746919,11,6.0,79.98742246142523
12,12,24.385964912280706,13.9,12,6.0,22.499999999999996,12,36.53664665608103,58.33168072777821,12,21.925714618617786,58.353829374890125,12,16.993730770482774,58.304085606788874,12,14.006170420004509,63.25801272746921,12,6.0,77.98742246142523
13,13,24.385964912280706,13.9,13,6.0,22.499999999999996,13,36.53664665608103,58.33168072777821,13,21.925714618617786,58.353829374890125,13,16.993730770482774,58.30408560678887,13,14.006170420004507,63.25801272746919,13,6.0,77.98742246142523
14,14,24.385964912280706,13.9,14,6.0,22.499999999999996,14,36.53664665608103,58.33168072777821,14,21.925714618617786,58.353829374890125,14,16.993730770482774,58.304085606788874,14,14.006170420004509,63.25801272746919,14,6.0,77.98742246142523
15,15,24.385964912280706,13.9,15,6.0,22.499999999999996,15,36.53664665608103,58.33168072777821,15,21.925714618617786,58.353829374890125,15,16.993730770482774,58.30408560678887,15,29.241130084920975,63.25801272746921,15,6.0,77.98742246142523
16,16,24.385964912280706,13.9,16,6.0,22.499999999999996,16,36.53664665608103,58.33168072777821,16,21.925714618617786,58.353829374890125,16,16.993730770482774,58.304085606788874,16,110.97896969731441,63.25801272746919,16,19.71441205253962,77.98742246142523
17,17,24.385964912280706,13.9,17,6.0,22.499999999999996,17,36.53664665608103,58.33168072777821,17,21.925714618617782,58.353829374890125,17,16.99373077048277,58.304085606788874,17,110.9789696973144,63.25801272746919,17,136.32881133583368,79.98742246142523
18,18,24.385964912280706,13.9,18,6.0,22.499999999999996,18,36.53664665608103,58.33168072777821,18,27.068783479775043,58.353829374890125,18,102.28786948559453,58.304085606788874,18,110.9789696973144,63.25801272746919,18,140.32881133583373,79.98742246142523
19,19,30.10612952133421,13.9,19,6.0,22.499999999999996,19,36.53664665608103,58.33168072777821,19,27.068783479775046,58.353829374890125,19,102.28786948559451,58.304085606788874,19,110.9789696973144,63.25801272746921,19,140.32881133583373,79.98742246142523
20,20,30.10612952133421,13.9,20,6.0,22.499999999999996,20,36.53664665608103,58.33168072777821,20,27.068783479775043,58.353829374890125,20,102.28786948559451,58.304085606788874,20,110.9789696973144,63.25801272746919,20,140.32881133583373,79.98742246142523
21,21,30.10612952133421,13.9,21,6.0,22.499999999999996,21,36.53664665608103,58.33168072777821,21,21.925714618617786,58.353829374890125,21,102.28786948559451,58.304085606788874,21,110.9789696973144,63.25801272746919,21,140.32881133583373,79.98742246142523
22,22,24.385964912280706,13.9,22,6.0,22.499999999999996,22,36.53664665608103,58.33168072777821,22,21.925714618617786,58.353829374890125,22,98.28786948559451,58.304085606788874,22,110.9789696973144,63.25801272746919,22,136.32881133583368,79.98742246142523
23,23,30.10612952133421,13.9,23,6.0,22.499999999999996,23,36.53664665608103,58.33168072777821,23,25.644110665050036,58.353829374890125,23,102.28786948559451,58.304085606788874,23,110.9789696973144,63.25801272746921,23,140.3288113358337,79.98742246142523
24,24,30.10612952133421,13.9,24,6.0,22.499999999999996,24,36.53664665608103,58.33168072777821,24,21.925714618617786,58.353829374890125,24,102.28786948559451,58.304085606788874,24,110.9789696973144,63.25801272746919,24,140.32881133583373,79.98742246142523
25,25,24.385964912280706,13.9,25,6.0,22.499999999999996,25,36.53664665608103,58.33168072777821,25,21.925714618617786,58.353829374890125,25,102.28786948559451,58.304085606788874,25,110.9789696973144,63.25801272746919,25,140.32881133583376,79.98742246142523
26,26,24.385964912280706,13.9,26,6.0,22.499999999999996,26,36.53664665608103,58.33168072777821,26,21.925714618617786,58.353829374890125,26,102.28786948559451,58.304085606788874,26,110.9789696973144,63.25801272746919,26,140.32881133583373,79.98742246142523
27,27,24.385964912280706,13.9,27,6.0,22.499999999999996,27,36.53664665608103,58.33168072777821,27,21.925714618617786,58.353829374890125,27,102.28786948559453,58.304085606788874,27,110.9789696973144,63.25801272746919,27,140.32881133583373,79.98742246142523
28,28,24.385964912280706,13.9,28,6.0,22.499999999999996,28,36.53664665608103,58.33168072777821,28,21.925714618617786,58.353829374890125,28,102.28786948559451,58.304085606788874,28,110.9789696973144,63.25801272746919,28,140.32881133583373,79.98742246142523
