,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049
Stock (Million),28.33536010601379,28.61814682477888,28.900085183403576,29.18117772707653,29.46142699316439,29.740835511614645,30.019405804533864,30.297140386703283,30.57404176514357,30.850112439399552,31.125354901653424,31.567950436498737,32.009218184773395,32.449162129788434,32.88778624296686,33.325094483786515,33.76109079988952,34.195779127051146,34.62916338922563,35.06124749862275,35.49203535573502,35.90963944928868,36.32599073055814,36.741092957980655,37.15494987871112,37.5675652287073,37.97894273266469,38.38908610411217,38.79799904543872,39.20568524793491,39.61214839182254
Stock existing (Million),27.599774506013787,27.51476842477888,27.428913983403575,27.342213727076526,27.254670193164394,27.16628591161464,27.077063404533863,26.98700518670328,26.896113765143564,26.804391639399547,26.711841301653422,26.618465236498736,26.523761384773394,26.427733729788432,26.330386242966856,26.231722883786514,26.131747599889525,26.030464327051146,25.927876989225634,25.823989498622744,25.718805755735023,25.61232964928868,25.50460073055814,25.395622757980654,25.285399478711117,25.1739346287073,25.061231932664683,24.94729510411215,24.832127845438723,24.715733847934906,24.598116791822537
Stock new (Million),0.7355856000000001,1.1033784000000002,1.4711712000000001,1.8389640000000005,2.2067568,2.5745496000000005,2.9423424000000002,3.3101352000000004,3.677928,4.045720800000001,4.4135136,4.9494852,5.485456800000001,6.0214284,6.5574,7.093371600000001,7.6293432,8.165314799999999,8.7012864,9.237258,9.773229599999999,10.2973098,10.82139,11.3454702,11.8695504,12.3936306,12.9177108,13.441791,13.965871199999999,14.489951399999999,15.0140316
Surface (Million m2),2420.462333685543,2447.4746885165905,2474.42490556541,2501.311505500774,2528.1353589220516,2554.894582119642,2581.58989364697,2608.208451012701,2634.7477562220834,2661.208852905045,2687.574743255955,2729.6385950460194,2771.5668435256775,2813.361097823558,2855.0231369322537,2896.5544837884045,2937.9070689177756,2979.0844485700186,3020.0887874347986,3060.9222762162103,3101.579084454872,3140.94472361841,3180.142782929743,3219.1754323706823,3258.044797996873,3296.7529886062093,3335.3021043621843,3373.6949972652556,3411.934108210106,3450.0213763958263,3487.9587060025124
Surface existing (Million m2),2351.393446668429,2343.871357990919,2336.287131531183,2328.6392879579894,2320.9286978707096,2313.153477559744,2305.3143455785143,2297.3984594356884,2289.403321136514,2281.3299743109183,2273.161421153272,2264.8994347475077,2256.501845031337,2247.9702611333887,2239.306462046256,2230.5119707065764,2221.538717640119,2212.3902590965326,2203.0687597654837,2193.5764103510674,2183.9073803939,2174.063741776978,2164.05252330785,2153.8758949683292,2143.535982814061,2133.034895642937,2122.3747336184515,2111.5583487410627,2100.588181905453,2089.4661723107133,2078.194224136939
Surface new (Million m2),69.06888701711385,103.60333052567076,138.13777403422768,172.6722175427846,207.20666105134154,241.74110455989845,276.27554806845535,310.8099915770122,345.3444350855692,379.8788785941261,414.4133221026831,464.739160298512,515.0649984943408,565.3908366901699,615.7166748859987,666.0425130818277,716.3683512776565,766.6941894734855,817.0200276693143,867.3458658651433,917.6717040609722,966.8809818414323,1016.0902596218924,1065.2995374023524,1114.5088151828127,1163.7180929632727,1212.927370743733,1262.136648524193,1311.3459263046532,1360.5552040851132,1409.7644818655733
Surface Electricity-Heat pump water (Million m2),160.03228659009685,195.74498875398237,232.78718303108616,270.1692000578144,307.6817068511024,345.6384618594909,383.7580498048587,414.919695671854,446.16628399393466,477.4965614674463,508.9881678221922,555.4079848067565,601.9798318080757,648.6981359474189,695.5572420405116,742.550685714487,789.6793680360681,836.91679240613,884.2577048935339,928.8172422934365,972.2867223771038,1015.8829766105655,1059.5671700413977,1103.2084451148678,1146.8614370673793,1190.4752309895844,1234.217504385583,1279.234053425761,1324.286105155269,1369.3732049336302,1414.537286205653
Surface Electricity-Performance boiler (Million m2),723.0269322803252,709.6736229890391,698.4605127542724,687.3800928686061,676.3272459175008,665.5450648561491,656.4013982838305,654.6369950360219,653.163433541578,651.9765478281207,651.073862851223,650.0626653017623,649.3130813449316,648.8224456382062,648.5883125639322,648.6067717128207,647.279690244928,646.1997577520522,645.3548382593923,641.5381644151835,638.3282875211904,634.222609129854,629.8776608984429,625.5549772377226,621.3447238713436,617.098883917357,611.8774891842074,606.0927125614253,600.3730997481608,594.7093439064195,589.0755606625587
Surface Heating-District heating (Million m2),80.25965256756275,86.47106652498448,92.67215075174728,98.86279872510926,105.04265272943202,111.21166536967063,117.36953971746146,123.51473389057375,129.6488661843127,135.77195680776612,141.88113651444255,148.06536286144112,154.2349597134592,160.38978432240916,166.5296556769614,172.6544264403647,178.77210913478848,184.8819459201785,190.98380972236427,197.08295727136024,203.18155189381747,209.2703713872354,215.34997948300412,221.42305574965752,227.49085137145943,233.55193103303182,239.60439241812833,245.64742838899966,251.68426965713311,257.71505130155026,263.739841918165
Surface Natural gas-Performance boiler (Million m2),984.5493442486227,978.535480006394,971.4806257425818,963.3527667224224,955.0785081805586,945.6341820636205,935.3460111203481,931.7716617624336,927.8035216893328,923.4450539112797,918.7268641823051,912.9966074410842,906.8873684284231,900.3926371931788,893.5068465324051,886.2251761660283,879.5257083157893,872.427230721858,864.9243707875731,850.5848477412947,837.3959883580505,823.3817112871809,809.5314368586654,795.7882099726162,781.9708501835945,768.3014219660867,755.2156108027405,740.8238555409617,726.4085877657689,711.975454075959,697.484841218443
