,2020,2025,2030,2035,2040,2045,2050
offshore_f,0.0,0.0,0.0,0.2827126148980317,0.2773171132464736,0.9030435440631841,1.6555
offshore_g,0.0,0.0,0.07896117181710563,0.29579999999999995,0.4335,0.5593,0.6273000000000001
onshore,0.355875,0.435,0.87,1.1445,1.3682499999999997,1.548,1.661
pv_g,0.06951,0.18919097439349392,0.25189500000000004,0.43989999999999996,0.5757320471147629,0.5800629341943878,0.8389500000000001
pv_c,0.0,0.0,0.0,0.0,0.0,0.0,1.0528
river,0.143451,0.143451,0.143451,0.143451,0.143451,0.143451,0.143451
lake,0.132,0.132,0.132,0.132,0.132,0.132,0.132
methanization,0.0,0.0,1.0302603036876319,1.3962738326290371,1.762287361570704,2.1283008905123078,2.4943144194545828
ocgt,0.1434127808833998,0.1434127808833998,0.1034127808833998,0.31159427391288197,0.4196684270829992,0.5541121743963914,0.5541121743963914
ccgt,0.26,0.26,0.22,0.18,0.4045690373522253,0.6492980588038614,1.0135896434644804
nuclear,8.41303957675826,8.413019119165062,8.13940015611295,7.14078626552222,6.785127613880312,6.096099046020696,3.616401574747496
h2_ccgt,0.0,0.0,0.0,0.0,0.0,0.0,0.04771594799444714
phs,0.078,0.078,0.078,0.1005,0.108,0.1155,0.12299999999999998
battery1,0.0,0.0,0.0,0.002664526024150379,0.002737506484951263,0.002737506484951263,0.002737506484951263
battery4,0.0,0.0,0.0,0.0,0.0,0.0,0.730527689106737
methanation,0.0,0.0,0.0,0.025510909554062877,0.11240024612658328,0.1366188295410842,0.16082502414930339
pyrogazification,0.0,0.0,0.0,0.27690174677473967,0.5538385660463396,0.8307052403241817,1.1076771320926793
electrolysis,0.0,0.006575342465753424,0.027667777310291655,0.03743731427908584,0.06769316195025105,0.09476099230130405,0.1315945205479452
natural_gas,2.142643784162251,2.945662560252246,2.2443263506022157,1.959123292439731,1.550108664402726,0.9565311437639575,0.5682285259878971
coal,0.04548662420291819,0.0,0.0,0.0,0.0,0.0,0.0
hydrogen,0.0,0.0,0.004332601596150692,0.022256567322671564,0.028023043457032448,0.03588476536505773,0.10010990247455785
methane,0.0,0.0,0.01973503661515606,0.03485375931235279,0.05805698731675109,0.07671935084868721,0.09794749056516898
geothermal,8.53579047215068e-05,7.073971395542741e-05,0.12993999999999964,0.14015999999999937,0.1503799999999999,0.16059999999999997,0.17228000000001012
central_gas_boiler,0.011621224637877828,0.015506794946317112,0.01832091122138093,0.01931465440108754,0.01931465440108754,0.01955963176942026,0.020422200645878793
central_wood_boiler,0.0017308999999999998,0.0017308999999999998,0.002466688730829368,0.004400102868678289,0.007644864213266019,0.009033702936482434,0.010373471698664974
uiom,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTES,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oil,0.8359405327044749,1.3057657331937587,0.7113540192871489,0.23128233190597622,0.0,0.0,0.0
wood,4.087357426825585,4.750216142824458,5.636160003730087,6.396307190423638,7.09695536511954,7.4180244013447485,7.696576322862246
health_costs,6.031123678336662,5.147020121773589,3.5503673137605314,2.3448813135454607,1.5432202745345431,0.9575613917646719,0.5266021024784426
