Occupancy status,Income owner,Income tenant,Housing type,Heating system,Performance,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049
Owner-occupied,C1,C1,Multi-family,Electricity-Heat pump water,A,3369.3643297516805,7403.904762489723,11654.075863866376,15917.040107102943,20190.002674955114,24477.522831080212,29185.244179934438,33563.17091818436,37960.300392631194,42376.3198269379,46813.65156269118,53839.014114053745,60886.36759865481,67955.51980689976,75046.26845922737,82158.39703493411,89295.86852473706,96454.91505356134,103635.34771365619,110765.40922924619,117818.98515645273,124745.21702861325,131680.76136997386,138619.43591244187,145568.93255837975,152519.8450326949,159110.6710532837,165780.09453777625,172452.2144644455,179126.92188087988,185805.84385280978
Owner-occupied,C1,C1,Multi-family,Electricity-Heat pump water,B,4227.080082904476,5057.878277065899,6937.513284108672,8800.273608379137,10644.249580019477,12482.2665662945,15652.938404738508,17489.12625420144,19329.70914000743,21175.04228211276,23035.78638508327,24966.060273723513,26913.024458335043,28876.45898374628,30856.092592407716,32851.59099276851,34879.73224477667,36923.9039555133,38984.09899272729,40843.01852734478,42438.935449770084,44051.450666085606,45663.580540071765,47255.61581442497,48848.71446718505,50419.28362579839,51060.792662380685,51920.96335681831,52776.84336330502,53628.046889106205,54478.52648507131
Owner-occupied,C1,C1,Multi-family,Electricity-Heat pump water,C,2995.108645864633,3270.3319712795783,4053.6573646512315,4834.747902208753,5604.1695252553445,6384.745284117951,9047.835447088872,10963.468374004859,12859.557707658863,14735.371966784258,16600.16252076066,18514.106877056838,20415.421450665166,22303.243945102455,24176.74301406354,26035.119552589844,27898.961144614914,29745.242885360214,31572.41253901934,33184.675536235816,34502.809905602466,35811.54789655093,37065.42796384953,38261.06191590435,39427.20770169773,40532.244694718436,40401.05873215168,40306.4060791749,40205.90529475576,40099.63242680363,39988.350438970985
Owner-occupied,C1,C1,Multi-family,Electricity-Heat pump water,D,398.9875467944067,534.9500957722524,963.8576173279511,1386.6595539292375,1791.2588057999826,2193.5301497672403,3585.5745274626975,4673.329140555171,5705.612309460034,6684.305678220209,7615.948605449905,8533.855701198634,9405.77247151432,10232.89911558673,11016.400909320759,11757.413648051705,12465.915416977925,13132.629974134625,13758.133480458284,14307.598284466234,14701.2222379027,15065.164516146617,15381.367945867849,15651.666969863349,15889.760307862183,16084.815270769739,15805.9717161135,15531.962189157004,15262.702886495561,14998.111457565885,14738.10697945896
Owner-occupied,C1,C1,Multi-family,Electricity-Performance boiler,B,727.90332782344,935.8757072015658,1143.8480865796914,1351.820465957817,1559.7928453359427,1767.7652247140684,1975.737604092194,2183.70998347032,2391.682362848446,2599.6547422265717,2807.6271216046975,3032.6797580491116,3257.7323944935256,3482.7850309379396,3707.8376673823536,3932.8903038267676,4157.942940271181,4382.995576715595,4608.048213160009,4833.100849604423,5058.153486048837,5278.212964421042,5498.272442793246,5718.331921165451,5938.391399537655,6158.45087790986,6378.510356282064,6598.569834654269,6818.629313026473,7038.6887913986775,7258.748269770882
Owner-occupied,C1,C1,Multi-family,Electricity-Performance boiler,C,38868.024087089565,38591.246880431536,37963.06973989167,37318.797378617026,36630.193879773346,35934.43919851132,35548.34090543702,36232.254445038685,36926.55093025563,37631.540581905414,38348.64037984434,39140.08193976419,39945.40921966367,40765.299580945095,41600.467051673455,42451.688880783455,43314.45073467244,44193.552294815,45088.75097164132,45997.44407575985,46829.46159310969,47655.3799580226,48436.6398264356,49191.5255300276,49941.6178007977,50658.38361207711,50037.49443181482,49200.30636937197,48336.90556954862,47447.88837831275,46529.925619104215
Owner-occupied,C1,C1,Multi-family,Electricity-Performance boiler,D,20724.42303166639,20426.955998770565,19822.63093721197,19225.3274064779,18635.85740291291,18054.237900903,17552.43405507278,17475.434898050004,17419.734536433098,17384.144940329592,17367.0200359705,17388.296186627358,17426.639176049077,17481.442393563313,17552.159090362187,17638.310112606654,17734.43706810888,17844.552730944793,17967.970716575837,18090.181913750082,18213.16412726491,18335.20450308992,18445.58597842436,18551.3498033179,18658.34402744801,18756.901378079947,18431.966124841852,18012.98068886649,17585.748230108624,17150.868665858954,16707.220116232656
Owner-occupied,C1,C1,Multi-family,Electricity-Performance boiler,E,19077.330934790753,18362.53835390946,17360.496680537144,16403.559421658552,15492.513986969641,14623.998655774305,13996.140826366654,14046.977666341334,14089.08223937335,14122.804521076834,14148.46695382619,14190.73540446872,14223.366470447692,14246.585870681502,14260.569289700992,14265.49177389054,14242.690237992214,14207.486336775739,14159.198269808805,14087.025496494029,13946.719289793515,13775.72595297713,13572.30063748256,13345.168115701454,13105.117545850127,12840.474192734364,12055.722529180277,11226.888039070956,10423.398285147689,9645.492135372759,8892.279829349938
Owner-occupied,C1,C1,Multi-family,Electricity-Performance boiler,F,19801.432286795836,19600.406753497788,19296.009785472466,18985.756466402898,18681.965717962303,18372.03071610287,18194.46776021231,18269.543789012823,18336.60132827376,18395.31104376604,18445.720730995807,18517.14042204558,18577.21995523916,18625.33744484189,18660.841898456638,18683.109184963992,18674.308557254197,18645.6981411156,18596.280122129367,18436.941285672892,18212.87224580782,17955.914350800474,17670.741702825937,17360.04445205906,17030.830374644476,16675.40535974214,15919.154141747484,15158.779194247356,14393.732585108628,13624.952004938976,12853.378534694815
Owner-occupied,C1,C1,Multi-family,Electricity-Performance boiler,G,14200.428187982425,13818.934049176292,13369.703743113463,12929.757789483188,12506.969129655336,12092.461722699063,11886.237868141414,11930.873444953522,11959.087952556343,11971.546312687104,11970.208667616209,11976.385683326527,11967.311407527788,11943.146758028808,11904.02602417002,11850.09490280278,11764.627005479859,11661.898445096494,11541.83648330026,11299.99473552002,11015.610918580827,10708.70055837154,10389.162749878424,10059.440314360785,9724.437874422652,9380.245145991677,8820.135350693221,8273.510966394855,7739.651750138332,7218.658703449377,6710.621054251375
