,Switch Electricity-Heat pump water (Thousand households),Switch Electricity-Heat pump air (Thousand households),Switch Electricity-Performance boiler (Thousand households),Switch Natural gas-Performance boiler (Thousand households),Switch Oil fuel-Performance boiler (Thousand households),Switch Wood fuel-Performance boiler (Thousand households)
2019,206.88147937478047,,297.1320048996691,495.7745184367396,,243.6092255765838
2020,209.40761204640188,,293.4256144701381,492.7042496777106,,242.0796193520324
2021,227.7228607879948,,307.1380707280702,478.8681034943181,,216.0330464008164
2022,231.1467536561975,,305.424871870361,466.09666101793107,,219.1923199856136
2023,232.27740647929755,,302.59536619392344,462.42317718536674,,216.62439642760614
2024,236.72717231963983,,302.2618875106689,448.5044008333309,,218.45371250344976
2025,238.0012276335947,,315.2215196523542,437.5934930067927,,207.13166683461054
2026,156.9623349519317,,391.8204939808244,504.41427278915535,,136.73607922491686
2027,157.74155127005818,,391.8545741979308,498.4633239836069,,133.86409847637998
2028,158.48994609435903,,391.8917248359905,492.4891933579183,,131.03646670080164
2029,160.24022499704603,,394.66050411782794,488.9480375540168,,129.09434465015153
2030,163.0572893836802,,398.7280994573874,494.4232547830795,,128.484771797099
2031,164.66198785515115,,401.3333917160649,490.6763483314665,,126.82936350455402
2032,166.17962140335337,,403.83234634162096,486.7611962432219,,125.28328701396542
2033,167.6116833684627,,406.2095274761257,482.66995838208544,,123.81579443885595
2034,168.9524694192509,,408.42371007753457,478.3975869191346,,122.42612050437715
2035,170.1446317870038,,399.79522906058935,480.94029353225625,,124.78214879505721
2036,171.06292619994693,,401.7345472138999,476.51291079717004,,123.34204377894345
2037,171.9224347603092,,403.4737781513831,471.93949054551507,,121.94965654440914
2038,214.46820244607352,,305.76698050528506,386.8971834057431,,189.53564189307684
2039,269.72810218153637,,244.3443489761815,328.01942410938636,,250.08259011535074
2040,272.17545523322127,,231.7569062834685,329.3711520616947,,251.08873767502897
2041,291.4593982583417,,240.33264104610538,317.51344630361024,,226.6069773464321
2042,294.2839093156905,,238.62044222708093,305.9642934349576,,227.45088995470678
2043,295.4251125495047,,237.29191459270618,301.0284155779307,,223.10287738979184
2044,299.3330871257417,,236.62369850497305,289.1263838091071,,222.12442029462957
2045,301.9783702248173,,239.60208170451668,283.8639487355507,,211.65913644428568
2046,235.6557069045675,,300.3415067715156,332.192884111569,,153.02570208354885
2047,236.72556839277175,,301.641051915471,326.1595549055853,,147.98228013930543
2048,237.76422470975987,,303.0392013531593,320.2372057890219,,143.0078269191104
2049,240.2939018658194,,306.5546469174295,316.19247066068266,,139.14748858680443
