,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049
Stock (Million),28.33536010601379,28.61814682477888,28.900085183403576,29.18117772707653,29.46142699316439,29.740835511593648,30.019405804478318,30.297140386551657,30.57404176494966,30.85011243925642,31.12535490157598,31.56795043651127,32.00921818485087,32.44916212996403,32.88778624324197,33.32509448419197,33.76109080042892,34.19577912772708,34.62916339006429,35.061247499613735,35.492035356857436,35.90963945053017,36.32599073191794,36.74109295945544,37.15494988032077,37.56756523041383,37.97894273446033,38.38908610598761,38.79799904740407,39.205685249999,39.612148393996776
Stock existing (Million),27.599774506013787,27.51476842477888,27.428913983403575,27.342213727076526,27.254670193164394,27.166285911593647,27.077063404478324,26.98700518655165,26.896113764949654,26.804391639256423,26.711841301575987,26.618465236511277,26.52376138485087,26.427733729964025,26.330386243241968,26.23172288419197,26.131747600428923,26.030464327727085,25.927876990064284,25.82398949961373,25.718805756857428,25.612329650530178,25.50460073191794,25.395622759455442,25.285399480320777,25.17393463041382,25.061231934460334,24.947295105987607,24.83212784740406,24.715733849998994,24.598116793996773
Stock new (Million),0.7355856000000001,1.1033784000000002,1.4711712000000001,1.8389640000000005,2.2067568,2.5745496000000005,2.9423424000000002,3.3101352000000004,3.677928,4.045720800000001,4.4135136,4.9494852,5.485456800000001,6.0214284,6.5574,7.093371600000001,7.6293432,8.165314799999999,8.7012864,9.237258,9.773229599999999,10.2973098,10.82139,11.3454702,11.8695504,12.3936306,12.9177108,13.441791,13.965871199999999,14.489951399999999,15.0140316
Surface (Million m2),2420.462333685543,2447.4746885165905,2474.42490556541,2501.311505500774,2528.1353589220516,2554.894582118524,2581.5963961407992,2608.2282039097,2634.791418936944,2661.287458862223,2687.699326653042,2729.8209197696683,2771.8193933458238,2813.6969664160833,2855.456549778177,2897.100376773981,2938.579259973264,2979.8965609180646,3021.0547296349496,3062.056455170983,3102.8883149914077,3142.435484717375,3181.8206788931257,3221.045681355068,3260.113821271301,3299.0267211509527,3337.786163586991,3376.3949386331615,3414.854903462099,3453.1679839887247,3491.3361976122046
Surface existing (Million m2),2351.393446668429,2343.871357990919,2336.287131531183,2328.6392879579894,2320.9286978707096,2313.1534775586256,2305.320848072344,2297.4182123326873,2289.446983851374,2281.408580268097,2273.2860045503594,2265.0817594711557,2256.7543948514835,2248.3061297259137,2239.739874892178,2231.0578636921537,2222.2109086956075,2213.20237144458,2204.0347019656356,2194.7105893058406,2185.2166109304353,2175.5545028759425,2165.730419271233,2155.7461439527156,2145.605006088488,2135.30862818768,2124.858792843258,2114.2582901089695,2103.508977157445,2092.612779903611,2081.571715746631
Surface new (Million m2),69.06888701711385,103.60333052567076,138.13777403422768,172.6722175427846,207.20666105134154,241.74110455989845,276.27554806845535,310.8099915770122,345.3444350855692,379.8788785941261,414.4133221026831,464.739160298512,515.0649984943408,565.3908366901699,615.7166748859987,666.0425130818277,716.3683512776565,766.6941894734855,817.0200276693143,867.3458658651433,917.6717040609722,966.8809818414323,1016.0902596218924,1065.2995374023524,1114.5088151828127,1163.7180929632727,1212.927370743733,1262.136648524193,1311.3459263046532,1360.5552040851132,1409.7644818655733
Surface Electricity-Heat pump water (Million m2),160.03228659009685,195.74498875398237,232.78718303108616,270.1692000578144,307.6817068511024,347.14079437840553,386.83730752769344,426.7179944326508,466.77214985889987,506.99006646864,547.5341025048724,603.4050456115447,659.7721831977244,716.6146155175021,773.9116027422474,831.6376496951619,889.7091670964926,947.9373434341142,1006.2973195324535,1058.913375656869,1109.039996849483,1159.194252214944,1209.5812978634615,1259.9122586816372,1310.2984870832909,1359.9761538848454,1409.8643925091908,1459.7857719948938,1509.7328418386019,1559.6995756739557,1609.7428381089835
Surface Electricity-Performance boiler (Million m2),723.0269322803252,709.6736229890391,698.4605127542724,687.3800928686061,676.3272459175008,663.1877772201706,651.52475546398,640.243376641601,629.3307501746942,618.774352707197,608.4719187502379,598.1966796588922,588.2501513360035,578.6292242410213,569.3306306045587,560.3495035452095,551.3137261298319,542.5034142489301,533.9096492262205,524.6327848200124,517.15951690611,509.5749934597215,501.66081797425437,493.8720711732572,486.3026452213154,479.4607926155159,471.75313723511545,464.1068057825882,456.50809467818783,448.9423757059747,441.3758464198694
Surface Heating-District heating (Million m2),80.25965256756275,86.47106652498448,92.67215075174728,98.86279872510926,105.04265272943202,111.21166536965973,117.36857187017337,123.51169577575061,129.64079969997843,135.75562055126233,141.8527978675089,148.02114881556798,154.17014940202532,160.29905273901232,166.4069228656028,172.49285400251426,178.56506814626434,184.62245916043383,190.66432487690537,196.69533457163294,202.71987250517404,208.7291937926702,214.72401246100088,220.70684486793385,226.678459826079,232.64106921207807,238.58967380284778,244.52622136391037,250.45085184880924,256.3637726291642,262.26528852753455
Surface Natural gas-Performance boiler (Million m2),984.5493442486227,978.535480006394,971.4806257425818,963.3527667224224,955.0785081805586,944.9183590632196,934.0783929315949,923.0496620136225,911.8333937587732,900.4322951249799,888.8392665682649,875.8008931369227,862.0590570679849,847.6510297727157,832.6162471059158,816.9938611172369,801.0170389097727,784.9502002231412,768.7940812330714,748.8808684248979,731.1193912595367,712.2007308770127,693.468463669831,674.8917479658068,656.2101849427551,637.9948648475035,620.2279867598463,602.525639503406,584.9007869079451,567.3647205179782,549.861398795834
Surface Oil fuel-Performance boiler (Million m2),308.18097994002255,289.4799594707933,271.01432799506773,252.78230568233457,234.7803654277785,217.0032908126432,199.44685171150937,182.10555618927228,164.97584505145008,148.05406174971117,131.1731363938584,114.35096419660452,97.60140886642395,80.94674806986818,64.41126297349658,48.02058516730278,31.796852971193708,15.776710756588432,,,,,,,,,,,,,
Surface Wood fuel-Performance boiler (Million m2),164.41313805891295,187.56957077139677,208.01010529065553,228.76434144448694,249.22487981567866,271.4326952744255,292.34051663584796,312.59991885680284,332.23848039314794,351.28106226043275,369.82810456829986,390.0461883501359,409.96644347566183,429.5562960759639,448.77988348635523,467.60592324655556,486.17740671970927,504.1064330948573,521.3893547662991,532.9340916975715,542.8495374711035,552.7363143730267,562.3860869245777,571.6627586664328,580.6240441978604,588.9538405910095,597.3509732799902,605.4504999883641,613.2623281885543,620.797539461652,628.0908257599832
