Occupancy status,Income owner,Income tenant,Housing type,Heating system,Performance,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049
Owner-occupied,C1,C1,Multi-family,Electricity-Heat pump water,A,3270.816365812079,7202.371383963078,11134.225273686487,15066.395525589873,18998.831676348833,22931.51313383023,26864.36704977807,30799.613050850683,34735.38672667939,38672.588696712475,42610.412952594656,49101.75175712978,55593.634960729825,62086.09945872421,68579.19271313927,75073.89518454926,81569.6745630893,88066.28412056809,94563.79302326957,101055.31385863248,107551.85406571993,113906.64060161916,120262.36020539401,126619.03837963048,132976.7235371436,139335.45968658346,145696.94668524477,152059.89609984224,158424.38345851432,164790.49915500914,171158.66294579985
Owner-occupied,C1,C1,Multi-family,Electricity-Heat pump water,B,3611.893274307256,3829.776941720117,4047.0467377563264,4275.959884422643,4504.912516971692,4733.203558941133,4956.176290090854,5177.21209272186,5396.231289995137,5613.230256547688,5829.797695291409,6052.433955342786,6275.431438407231,6498.935050898731,6723.150695560284,6948.348358138979,7178.103871673036,7409.804905148103,7643.901418071181,7844.175710613559,8068.78197671375,8299.929891767213,8533.874104246344,8770.758393849324,9010.917592985,9254.59162311743,9510.506707667775,9771.770939107784,10038.77602710363,10312.030704334027,10593.562943993082
Owner-occupied,C1,C1,Multi-family,Electricity-Heat pump water,C,2782.7791927462954,2848.302735574317,2915.7427402964627,2985.31886079869,3057.4502563943197,3132.2322923340707,3210.894885900599,3293.4008672471427,3379.96359028285,3471.0300634456776,3568.0218560641015,3674.383432793283,3790.686570526612,3918.153093806032,4058.116636251339,4212.025495638209,4378.957482199713,4562.815788785458,4765.378482278949,4953.696740010823,5165.622180956293,5387.914789922436,5623.741977327839,5872.951515524574,6136.033617436527,6413.188110942499,6695.687478128372,6990.9564196069305,7299.515833288106,7621.839434231765,7958.9760141948445
Owner-occupied,C1,C1,Multi-family,Electricity-Heat pump water,D,294.1549682729714,330.44714372312285,368.63395103674793,408.86267066784563,451.51136164083454,496.5429221723746,546.5529244238018,600.2617433511609,657.6877774074035,719.1141281215629,785.5069700360116,858.6944869097138,940.8760449097769,1032.9154619101532,1135.6643936726239,1249.931566176242,1372.8637855707375,1508.7054375154935,1657.9760741759492,1813.2103533391105,1981.7540117456138,2152.085510882708,2326.0973250748,2502.1626389939324,2679.2344698018132,2855.8993076450142,3024.9790037020553,3190.4577181632967,3351.3360777347575,3506.541572253208,3655.396484721902
Owner-occupied,C1,C1,Multi-family,Electricity-Performance boiler,B,727.90332782344,935.8757072015658,1143.8480865796914,1351.820465957817,1559.7928453359427,1767.7652247140684,1975.737604092194,2183.70998347032,2391.682362848446,2599.6547422265717,2807.6271216046975,3032.6797580491116,3257.7323944935256,3482.7850309379396,3707.8376673823536,3932.8903038267676,4157.942940271181,4382.995576715595,4608.048213160009,4833.100849604423,5058.153486048837,5278.212964421042,5498.272442793246,5718.331921165451,5938.391399537655,6158.45087790986,6378.510356282064,6598.569834654269,6818.629313026473,7038.6887913986775,7258.748269770882
Owner-occupied,C1,C1,Multi-family,Electricity-Performance boiler,C,39106.693786906486,39079.300605706645,39046.697150162894,39008.949276968626,38967.26458022678,38922.2420019459,38875.53303618229,38828.267169314444,38781.42346729714,38735.924961779696,38692.10103751028,38696.03550906898,38704.6507655877,38719.23963405701,38741.09387562934,38771.46386616698,38808.75780144484,38856.01202370467,38914.56809025173,38999.48511007005,39060.07241621208,39112.34821518717,39162.673461337596,39210.76346503347,39255.99118919688,39299.214240958616,39313.371393721296,39318.32677146575,39315.427213261486,39305.52799842621,39288.57145627363
Owner-occupied,C1,C1,Multi-family,Electricity-Performance boiler,D,20906.975992747382,20798.196975861578,20687.74054549751,20575.975108761042,20463.31926587349,20350.127857513762,20238.94365009026,20129.235852260823,20021.5385953304,19916.41810410021,19813.975364730177,19736.751872167377,19663.875553386515,19596.178477853293,19534.50567408437,19479.72230500848,19429.177711800734,19386.528817168513,19352.71378685503,19326.054670141373,19288.509211547196,19247.301343274703,19208.40558631148,19171.82141998475,19137.454249578233,19105.85876582787,19059.92145007056,19013.15478874298,18966.406470408823,18920.34805810631,18875.117688079063
Owner-occupied,C1,C1,Multi-family,Electricity-Performance boiler,E,19299.969334252368,18809.449763412245,18330.70654363235,17863.788190163352,17408.963566479986,16966.069752150815,16545.941061840796,16140.79255191313,15750.557339981468,15375.400511572996,15015.72599231705,14688.2767977333,14378.016883835997,14085.66258183587,13811.95769800043,13557.68221773244,13309.579963342141,13081.600249890254,12874.61383412261,12678.762502190395,12491.277352107225,12293.250972882806,12105.81820275215,11928.4210270534,11760.939447313272,11603.579762458507,11423.723228188957,11250.789240346194,11085.652610084639,10929.066654762482,10781.70019579341
Owner-occupied,C1,C1,Multi-family,Electricity-Performance boiler,F,19823.681909518447,19653.563507542232,19480.91397030114,19306.116401713585,19129.7957971976,18952.149088306323,18781.533557664334,18613.428226357333,18448.35820546081,18287.13720398691,18131.446921866816,18004.1205007214,17886.384800977474,17779.924498066623,17686.505667640035,17607.973340461947,17529.74238404943,17468.375549150955,17425.812967591068,17343.305486396202,17270.557598545798,17180.873684395774,17098.031122991288,17021.47979285051,16951.187385801255,16887.1499075156,16791.652467560132,16697.566420561514,16605.23867242055,16514.734862874608,16426.104659725468
Owner-occupied,C1,C1,Multi-family,Electricity-Performance boiler,G,14246.497335216613,13919.086581486486,13600.255171715577,13290.115538492635,12989.15626791639,12697.12889634247,12429.01788035762,12174.331306957047,11933.01487125848,11705.473198287047,11493.337423931363,11310.016763989614,11147.497650793142,11007.04164338691,10889.834060079911,10796.932867332402,10703.061115891313,10633.745507565442,10589.394061252702,10511.40282940911,10449.903113548979,10361.265584732351,10279.410934890806,10202.08230437254,10127.68811415538,10054.414596739258,9943.444410931199,9829.268182438413,9710.828322167345,9586.89310115143,9456.528619000746
