Occupancy status,Income owner,Income tenant,Housing type,Heating system,Performance,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049
Owner-occupied,C1,C1,Multi-family,Electricity-Heat pump water,A,3270.816365812079,7202.371383963078,11134.225273686487,15066.395525589873,18998.831676348833,22931.51313383023,26864.36704977807,30799.613050850683,34735.38672667939,38672.588696712475,42610.412952594656,49101.74937694228,55593.62975806652,62086.091012617246,68579.18063215785,75073.87916889285,81569.49980611862,88065.9253197566,94563.22737888219,101054.56508941606,107550.87503171609,113905.3196348985,120260.67359404202,126616.9634936454,132974.23834217875,139332.54369293805,145693.37471323184,152055.61906962984,158419.35438834367,164784.67224408966,171151.9860933409
Owner-occupied,C1,C1,Multi-family,Electricity-Heat pump water,B,3611.893274307256,3829.776941720117,4047.0467377563264,4275.959884422643,4504.912516971692,4733.203558941133,4956.176290090854,5177.21209272186,5396.231289995137,5613.230256547688,5829.797695291409,6052.410779532021,6275.383241011888,6498.860195961881,6723.047790527366,6948.216275741136,7176.584637289153,7406.810350046576,7639.361271985297,7838.3708235871,8061.429275938732,8290.230488620517,8521.772489295672,8756.207080779186,8993.874027948465,9235.023820903822,9486.979488530678,9744.136096274065,10006.902704635373,10275.798241817982,10552.815890442458
Owner-occupied,C1,C1,Multi-family,Electricity-Heat pump water,C,2782.7791927462954,2848.302735574317,2915.7427402964627,2985.31886079869,3057.4502563943197,3132.2322923340707,3210.894885900599,3293.4008672471427,3379.96359028285,3471.0300634456776,3568.0218560641015,3674.392981743394,3790.7072113887684,3918.1864793940745,4058.1645133911125,4212.089679334266,4380.075549398303,4565.093770161556,4768.915768892336,4958.561696419251,5171.850805225754,5396.351287328608,5634.365836507288,5885.690388827559,6150.74902543578,6429.682608674738,6714.637761843261,7011.833445519929,7321.681376129334,7644.514651713684,7981.252681835713
Owner-occupied,C1,C1,Multi-family,Electricity-Heat pump water,D,294.1549682729714,330.44714372312285,368.63395103674793,408.86267066784563,451.51136164083454,496.5429221723746,546.5529244238018,600.2617433511609,657.6877774074035,719.1141281215629,785.5069700360116,858.7125313866651,940.9133281172352,1032.9730271049161,1135.7430410458394,1250.031744461687,1374.4940296252958,1511.8275014045948,1662.503434679109,1818.9483310634707,1988.5083548042849,2160.533254219814,2335.7778729015454,2512.567806282264,2689.795321710275,2866.032073548836,3034.4719463283172,3198.3716552013493,3356.7809975208193,3508.6828396931724,3653.5014483210853
Owner-occupied,C1,C1,Multi-family,Electricity-Performance boiler,B,727.90332782344,935.8757072015658,1143.8480865796914,1351.820465957817,1559.7928453359427,1767.7652247140684,1975.737604092194,2183.70998347032,2391.682362848446,2599.6547422265717,2807.6271216046975,3032.6797580491116,3257.7323944935256,3482.7850309379396,3707.8376673823536,3932.8903038267676,4157.942940271181,4382.995576715595,4608.048213160009,4833.100849604423,5058.153486048837,5278.212964421042,5498.272442793246,5718.331921165451,5938.391399537655,6158.45087790986,6378.510356282064,6598.569834654269,6818.629313026473,7038.6887913986775,7258.748269770882
Owner-occupied,C1,C1,Multi-family,Electricity-Performance boiler,C,39106.693786906486,39079.300605706645,39046.697150162894,39008.949276968626,38967.26458022678,38922.2420019459,38875.53303618229,38828.267169314444,38781.42346729714,38735.924961779696,38692.10103751028,38696.04680728785,38704.68104716881,38719.29664247339,38741.18537041465,38771.59758960487,38810.14894336042,38859.19128578685,38920.06719014675,39007.43470649879,39071.10574740926,39127.71334468564,39182.98902032409,39236.64533108293,39288.05711783309,39338.08594789011,39361.27711018704,39376.23215422216,39384.3144017733,39386.38679599811,39382.46568222265
Owner-occupied,C1,C1,Multi-family,Electricity-Performance boiler,D,20906.975992747382,20798.196975861578,20687.74054549751,20575.975108761042,20463.31926587349,20350.127857513762,20238.94365009026,20129.235852260823,20021.5385953304,19916.41810410021,19813.975364730177,19736.7679169731,19663.912280656743,19596.240572441075,19534.597854234984,19479.84931913303,19430.80352455062,19389.99590417423,19358.368643097303,19333.796855033368,19298.78007852237,19261.330721900355,19226.61428918504,19194.626384296313,19165.273022374877,19139.10904525903,19100.8494050218,19062.412747397648,19024.650515197838,18988.234146140258,18953.34463407497
Owner-occupied,C1,C1,Multi-family,Electricity-Performance boiler,E,19299.969334252368,18809.449763412245,18330.70654363235,17863.788190163352,17408.963566479986,16966.069752150815,16545.941061840796,16140.79255191313,15750.557339981468,15375.400511572996,15015.72599231705,14688.346452979613,14378.16103406804,14085.886254092022,13812.266111447461,13558.080797368062,13315.851508496868,13094.139918798508,12893.831069940148,12704.41452788155,12523.846679642375,12336.587376414458,12160.126655463222,11993.868033347268,11837.668251975752,11691.712023442491,11529.259375795138,11373.729513666894,11225.979266008168,11086.720611355726,10956.630888035828
Owner-occupied,C1,C1,Multi-family,Electricity-Performance boiler,F,19823.681909518447,19653.563507542232,19480.91397030114,19306.116401713585,19129.7957971976,18952.149088306323,18781.533557664334,18613.428226357333,18448.35820546081,18287.13720398691,18131.446921866816,18004.186815160178,17886.526720420537,17780.151867167373,17686.828873636878,17608.403295638826,17537.02187694923,17483.287506504428,17449.165546997512,17374.20108651702,17309.752278621792,17232.921446579978,17163.574612139382,17101.069430991738,17045.291339515024,16996.146987629607,16922.72797813744,16850.91667235398,16780.92051758522,16712.620064023286,16645.929007217033
Owner-occupied,C1,C1,Multi-family,Electricity-Performance boiler,G,14246.497335216613,13919.086581486486,13600.255171715577,13290.115538492635,12989.15626791639,12697.12889634247,12429.01788035762,12174.331306957047,11933.01487125848,11705.473198287047,11493.337423931363,11310.131689005526,11147.736146725572,11007.412558204996,10890.346261670093,10797.595024154118,10714.521029066645,10656.493307118504,10623.855959864411,10556.088676047024,10505.064810533238,10432.478382614265,10366.185286973332,10303.755336469017,10243.44635068455,10183.330687519974,10092.254056060241,9996.204212119668,9894.088521787924,9784.636933027428,9666.979039317765
Owner-occupied,C1,C1,Multi-family,Heating-District heating,A,1039.8618968906285,1611.7859401804742,2183.70998347032,2755.6340267601654,3327.5580700500113,3899.4821133398573,4471.406156629703,5043.330199919549,5615.254243209395,6187.178286499241,6759.102329789087,7659.312875566742,8559.523421344398,9459.733967122054,10359.94451289971,11260.155058677366,12160.365604455023,13060.576150232679,13960.786696010335,14860.99724178799,15761.207787565647,16641.445701054465,17521.683614543283,18401.9215280321,19282.15944152092,20162.397355009736,21042.635268498554,21922.873181987372,22803.11109547619,23683.349008965008,24563.586922453826
Owner-occupied,C1,C1,Multi-family,Heating-District heating,B,2049.327103648624,2659.457244310084,3277.4712804220676,3903.3618509139474,4537.031331242612,5178.464224873657,5827.653486270143,6484.413572383959,7148.691593437541,7820.463542641788,8499.764586845857,9084.810566561566,9676.309885950694,10274.39952897303,10879.268222027633,11491.16081708346,12110.376468768458,12737.361332481594,13372.544906285011,14029.847847629335,14701.89180923855,15392.776230758818,16096.020368462541,16812.03358182661,17541.264407830306,18284.018052388747,19042.848450065034,19816.009605215742,20603.653707664227,21405.99109513288,22223.28473818656
Owner-occupied,C1,C1,Multi-family,Heating-District heating,C,5855.873172263959,6566.7086159757455,7274.726133439419,7980.023511364943,8682.70688183578,9382.893421322415,10080.706844397662,10776.302280334285,11469.846070348956,12161.518447815772,12851.445963942911,13431.327977693381,14010.059509156283,14587.939546500857,15165.300881528969,15742.510037642074,16319.966424873419,16898.052488355683,17477.217377371293,18070.888038874902,18664.782189821828,19267.44127609282,19871.994933403363,20478.53042715566,21087.049039976897,21697.64330798453,22308.388782963637,22920.306456473907,23533.365356048984,24147.471559747624,24762.382850263744
Owner-occupied,C1,C1,Multi-family,Heating-District heating,D,10531.129761081562,10963.133898631188,11401.829763927928,11846.912903724347,12298.09072729375,12755.083002606234,13217.619836128657,13685.461519560602,14158.380310064313,14636.160706679293,15118.680231823853,15538.360570954235,15961.152406992838,16386.912983833907,16815.507111940315,17246.802827049523,17680.66625271616,18116.93063112527,18555.4329552704,18982.21333420288,19408.179155266906,19839.03388246559,20270.140230933946,20701.077171079007,21131.34966521353,21560.533879733215,21986.166327322197,22409.287218620804,22829.44676027694,23246.14471999713,23658.79723215876
Owner-occupied,C1,C1,Multi-family,Heating-District heating,E,10704.062752894512,10893.310135942584,11068.499122595802,11229.911667246974,11377.818290576617,11512.481386013209,11634.141061136632,11743.35273208986,11840.402837785168,11925.55365278912,11998.881584377685,12002.6472101664,11996.780103589046,11981.461633796343,11956.848103917138,11923.069607211537,11880.228946944526,11828.170856403605,11766.949949764237,11699.436375375353,11618.769774049444,11531.191235472465,11433.572221937047,11326.047905276917,11208.71326429516,11081.801307870486,10944.05481843033,10796.917442757383,10640.746527373434,10475.872119005704,10302.600792959272
Owner-occupied,C1,C1,Multi-family,Natural gas-Performance boiler,C,50833.206576114826,51374.54555563143,51912.03151498668,52433.20928483617,52948.704902235906,53458.3379083583,53956.86140983653,54443.56350815473,54919.14065851028,55381.685500101856,55832.039740955006,55809.12456301489,55772.90445378121,55721.49180304712,55652.873389759094,55564.01933893058,55463.42562422926,55339.24077800145,55188.83501757834,54883.21658181313,54564.37054171317,54236.50839278451,53887.434306169926,53516.6464511904,53124.14000095439,52708.20124494886,52293.72685826731,51861.14994709574,51408.40176059166,50933.92710379842,50435.80737351114
Owner-occupied,C1,C1,Multi-family,Natural gas-Performance boiler,D,78152.51722436506,77449.40375316089,76734.08974764145,76005.79434867397,75262.99540195515,74505.48097065742,73716.8769415683,72906.14759852651,72072.5012498624,71214.33625654821,70330.23846348775,69512.50077860696,68655.5746001837,67755.38127507444,66807.58931039154,65807.59131323422,64764.65813310298,63661.257095399495,62492.04062306402,61111.48568463158,59691.013400504344,58258.127057074955,56790.42029838761,55288.80861524991,53752.72448474197,52180.894461101474,50639.802139345826,49073.4773347344,47479.06260662691,45854.17968755502,44195.85945986338
Owner-occupied,C1,C1,Multi-family,Natural gas-Performance boiler,E,45344.10227240639,44619.31304418156,43880.55719168218,43127.54607968337,42359.2210764123,41576.00952987724,40762.18707455912,39927.999459790095,39073.61073385348,38198.30773600009,37301.169124406224,36431.84348504876,35524.51519188342,34576.45642351734,33585.04678041624,32547.86197430579,31477.57681295275,30358.60949626819,29189.77319502826,27883.56500548213,26552.938050958535,25239.046702653595,23921.50899810755,22605.67489242867,21295.27924413428,19994.728211036945,18751.266752191917,17529.740920084405,16332.964228341214,15164.117186916328,14025.566674879392
Owner-occupied,C1,C1,Multi-family,Oil fuel-Performance boiler,C,230.9377893893712,223.4479132182803,215.49953784582232,207.07430176287735,198.15535576607556,188.71830498050414,178.7404089704373,168.19980049644053,157.0676393171933,145.31614515950415,132.7587826818949,119.36558603017727,105.12339897088185,89.99942365502295,73.9606958166495,56.97420116818056,39.00700066789427,20.02635339555914,,,,,,,,,,,,,
Owner-occupied,C1,C1,Multi-family,Oil fuel-Performance boiler,D,2144.135137767511,2056.477796517654,1965.7352754360859,1871.878112974661,1774.8900315297171,1674.7041937335375,1571.2695198486726,1464.5438365393463,1354.4419383200823,1240.8902162846175,1122.4761527368248,999.1685800608441,871.0460877167042,738.0741961089534,600.2283498373126,457.4946015735694,309.87027559865663,157.3645124586588,,,,,,,,,,,,,
Owner-occupied,C1,C1,Multi-family,Oil fuel-Performance boiler,E,4268.3667834524895,3980.977601507802,3700.4436084728554,3426.651452346452,3159.477220475738,2898.8196302235488,2644.566366922229,2396.618159575402,2154.8771899935423,1919.2376736299573,1687.5701710456121,1460.0569384907071,1236.7729840839418,1017.9650790721323,803.885468448863,594.7903197674107,390.9382091920321,192.58622007064116,,,,,,,,,,,,,
Owner-occupied,C1,C1,Multi-family,Oil fuel-Performance boiler,F,3967.2548206450465,3708.1559677508703,3454.058384116711,3204.9449844171204,2960.7840531802094,2721.5696176181846,2487.2804220979524,2257.902948181633,2033.429305933245,1813.839231127573,1597.1930582571495,1383.7349756000435,1173.5878702107211,967.0623192596878,764.4756767388028,566.1502573030134,372.4115137502012,183.58389942095897,,,,,,,,,,,,,
Owner-occupied,C1,C1,Single-family,Electricity-Heat pump water,A,21892.930655749027,29470.292244157932,37055.335105806764,44641.00278700715,52227.33746451064,59814.34596289514,67402.00087092147,74990.38137952572,82579.49135047372,90169.35356282926,97760.16518043919,110002.27750095852,122245.56514989788,134490.07070084356,146735.83095692174,158982.88159606062,171231.39489455285,183481.28261566046,195732.57756069017,207971.0204519519,220210.90506468483,232756.5996475255,245302.6333217679,257848.97505367795,270395.60463307943,282942.5263487818,295489.84430378577,308037.4263046793,320585.3074653952,333133.51265050157,345682.15937404515
Owner-occupied,C1,C1,Single-family,Electricity-Heat pump water,B,13010.844135953244,13291.452281243699,13579.469001137535,13875.207545452724,14179.223574853044,14491.649857554732,14804.05004354204,15123.490493306079,15449.942435079922,15783.607381062931,16127.147133791475,16482.37058655556,16860.64064896738,17251.905095321883,17656.418971922052,18074.366425530687,18512.354664158876,18964.50424947413,19430.771112351933,19770.511173334497,20141.03867484463,20528.07169690407,20919.043670920604,21313.17403282258,21709.93944200374,22108.801255687085,22524.187745475116,22942.45133557311,23363.400255281507,23786.837031406547,24214.45842019702
Owner-occupied,C1,C1,Single-family,Electricity-Heat pump water,C,37701.17617327,38034.9427476388,38391.286122359415,38771.33603002843,39177.4712650269,39609.68108950221,40068.96476712314,40556.47772112841,41071.35407361025,41613.82524249495,42188.81014925085,42796.66609510343,43437.35768434181,44119.598794055724,44841.52941860972,45600.67305254512,46408.093454005815,47248.62124955238,48118.33933941003,48725.26470608681,49351.77312906688,50000.353370238554,50639.20277817358,51264.87420539822,51874.497569635976,52466.84798598588,53049.80496436632,53610.638260960215,54150.02516949062,54668.161382896156,55167.0919296653
Owner-occupied,C1,C1,Single-family,Electricity-Heat pump water,D,543.8029343453725,579.231571576073,617.5111618907233,658.7405187078415,703.2427548025167,750.8090743469052,802.8864463781648,858.2041212450736,916.2178273441797,976.5742266773735,1039.3556894416124,1103.9206793696694,1171.5405385529725,1241.3304165802347,1312.2005990612504,1383.0614513058113,1454.8423926982655,1524.8392179163327,1592.194027298019,1654.2060731761678,1711.9995025853937,1767.8802845239916,1816.867999966333,1859.1660899824851,1895.027945031476,1924.9710896583142,1950.0864406436906,1969.78197135066,1984.7429997895042,1995.4152821085897,2002.3807651334628
Owner-occupied,C1,C1,Single-family,Electricity-Heat pump water,E,448.575295057023,445.6089182362117,442.54832771574553,439.392554193527,436.140628448406,432.7915528104384,429.33895367024815,425.78986009491837,422.14449533954894,418.4032193871559,414.56650043444364,410.63566337766673,406.31118535389254,401.87519574618676,397.3286200531725,392.672611742338,387.90933094965106,383.0353609948602,378.05249767953325,372.9628941652539,367.7869174708733,362.52613915756376,357.1754581912222,351.7364391622531,346.21026289970644,340.59837326094464,334.87556995573493,329.0647779527802,323.1668092243425,317.18246460970875,311.1124904323117
Owner-occupied,C1,C1,Single-family,Electricity-Heat pump water,F,24.34858223319059,23.727542866380887,23.11602466793741,22.513911172202867,21.92108964480752,21.337449506637725,20.768698847219756,20.209973717680274,19.66114555166283,19.122092930709474,18.592699732740325,18.07190453755293,17.547849322040296,17.032907740848373,16.527006832283906,16.03008076841021,15.53968478541759,15.058136126750023,14.585389376664985,14.121408387512238,13.666828826863501,13.217541695991617,12.777478292938795,12.34653533822591,11.924594935306054,11.511547811577545,11.103752387886223,10.704687142871416,10.314222308546617,9.93222856429238,9.55857577098862
Owner-occupied,C1,C1,Single-family,Electricity-Performance boiler,C,5540.685147664828,7008.015246346793,8479.35047214598,9956.478713067198,11440.146724012073,12930.26787049424,14440.502082149715,15961.516841894338,17493.439911327157,19036.87200039629,20596.104026697325,21968.314602742874,23362.385289439844,24778.266991422075,26216.7977991415,27678.80539034736,29156.190598299472,30658.429655188134,32186.27524111725,33427.49304770227,34680.91518636493,36071.824705264036,37465.524080016046,38861.22191623543,40258.244379052005,41656.717112032515,43037.57800732836,44416.56549110211,45794.361634062574,47171.287041702984,48548.22339460693
Owner-occupied,C1,C1,Single-family,Electricity-Performance boiler,D,95259.13589768227,96607.52830839681,97990.79908957935,99410.46830867439,100871.05830457808,102371.45261965515,104014.48083941735,105728.4732911055,107513.52612046486,109372.76730627431,111323.81472610835,113345.71026001658,115561.41816830498,117907.42237121232,120387.32087247145,123004.06698266331,125694.35761820702,128524.39915195885,131494.89465095117,133429.0748545261,135411.82398941446,137323.47367310844,139247.5522881612,141176.0522187363,143102.0654396137,145022.58842053113,146814.7959001687,148576.93943879337,150309.6174590131,152011.37248771082,153682.12074685204
Owner-occupied,C1,C1,Single-family,Electricity-Performance boiler,E,86876.93521571922,86961.11785302359,87087.2354425412,87255.98854233492,87471.0098761683,87729.87323306788,88150.59508226438,88648.3507431604,89221.21206659156,89870.1035152026,90608.74434948775,91409.55917425932,92312.1441630326,93329.29422091572,94458.12145399672,95693.93894619658,96957.28391687172,98313.25651098098,99752.29349748247,100158.81127998956,100560.76362809647,100838.19187308144,101072.57772420658,101252.41650801274,101367.29302191541,101411.23250437516,101272.05828515902,101038.1034826,100708.48160568414,100280.83435608646,99754.608970483
Owner-occupied,C1,C1,Single-family,Electricity-Performance boiler,F,50146.10969264609,51843.24943059613,53605.55164810166,55433.085538815416,57333.19696776719,59297.617954944486,61592.7518299976,64018.30056174984,66565.11524228242,69231.08416618087,72043.73408202459,74934.65348201201,77964.08093755684,81168.1489222499,84528.01266225663,88021.36488662398,91470.54736396257,95007.52883446206,98603.7013980634,100067.76007101657,101504.60423835964,102666.1085307323,103711.10859264586,104623.70017939416,105390.44191479105,106006.80078791118,106299.28973590782,106423.76940619861,106384.99499568983,106185.36884978009,105831.65185728877
Owner-occupied,C1,C1,Single-family,Electricity-Performance boiler,G,59008.1421102574,60651.92224098822,62493.48614547084,64531.117888354755,66777.93498842287,69206.68248527142,72653.43414083443,76461.63216919954,80590.77764737271,85013.92389761232,89759.46537270173,94603.96055803352,99789.34275416318,105237.98990331011,110867.84887536684,116600.91002975198,121959.60959039492,127319.18311276907,132620.555879154,133225.1688601797,133677.72064096655,133611.37609324287,133377.17232016948,132971.0187300712,132389.85650352424,131646.76218190588,130485.62928799706,129171.91440797699,127726.0596262604,126146.50812513533,124444.21510412855
Owner-occupied,C1,C1,Single-family,Natural gas-Performance boiler,C,39340.22931688166,41039.46439971873,42685.3578102872,44282.49509482445,45828.85668575049,47324.438581653136,48736.42299023823,50085.070000127445,51369.67335346838,52588.34571614444,53738.02315851347,54869.42809993229,55989.61272347239,57017.689975904854,57949.0767351667,58779.32083148159,59531.79068820246,60175.56489980478,60706.90016529724,60940.0468631386,61076.1035749998,60294.34879147711,59457.16091071375,58569.52890483088,57636.05823315965,56658.90708045236,55705.28458237049,54724.85379337878,53717.90483502979,52686.04781617826,51628.122699001106
Owner-occupied,C1,C1,Single-family,Natural gas-Performance boiler,D,190774.48375914246,190681.40260260436,190390.19651216167,189895.20649533838,189178.03249640096,188245.89942951483,186776.77507328909,184996.53269572806,182913.59666207753,180524.18730042453,177811.82411331718,174852.53494050397,171391.10270584104,167488.48852076568,163151.66924186028,158393.10873932234,153404.05533698807,148022.5840664534,142274.81880950875,135681.16078174973,128909.25088837293,122353.70098502374,115856.86296741583,109453.98411705953,103175.17392420459,97034.89812197193,91283.8678642528,85728.71179890621,80366.06387569748,75197.66853898963,70212.28269233204
Owner-occupied,C1,C1,Single-family,Natural gas-Performance boiler,E,46084.18926623616,45745.389960655106,45293.474247153055,44731.66918947297,44057.221069145686,43280.973398328584,42281.457011170576,41164.48203296836,39944.8689519364,38631.73803181137,37229.8038334893,35770.41530136023,34192.38101103277,32521.88085392848,30779.48710627758,28986.1370943874,27188.364409635276,25374.33392417305,23562.43983046565,21702.30639785782,19904.39602603626,18217.509628309333,16634.512222625468,15156.090284964319,13781.476518748836,12506.17745168484,11355.859005875769,10298.130744696537,9325.474911706195,8432.09923803899,7610.603729246059
