,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049
Stock (Million),28.335360105731453,28.618146824270543,28.900085182626274,29.18117772598538,29.461426991789345,29.740835509912177,30.019405802471823,30.297140384282166,30.574041762375877,30.85011243638625,31.125354898463993,31.56795043323358,32.00921818136119,32.449162126256745,32.88778623932496,33.325094480094634,33.76109079620475,34.19577912338455,34.629163385615364,35.06124749510457,35.4920353522847,35.909639445893376,36.3259907272667,36.74109295478262,37.15494987562308,37.567565225698964,37.97894272974528,38.389086101280824,38.79799904271376,39.20568524534498,39.61214838938172
Stock existing (Million),27.599774505731453,27.51476842427054,27.428913982626266,27.342213725985374,27.254670191789348,27.166285909912173,27.077063402471822,26.98700518428216,26.896113762375883,26.804391636386242,26.71184129846399,26.618465233233586,26.52376138136119,26.42773372625674,26.33038623932496,26.231722880094637,26.13174759620475,26.030464323384546,25.92787698561537,25.823989495104563,25.71880575228469,25.61232964589337,25.504600727266702,25.395622754782625,25.285399475623088,25.173934625698962,25.061231929745283,24.94729510128082,24.83212784271376,24.715733845344985,24.59811678938172
Stock new (Million),0.7355856000000001,1.1033784000000002,1.4711712000000001,1.8389640000000005,2.2067568,2.5745496000000005,2.9423424000000002,3.3101352000000004,3.677928,4.045720800000001,4.4135136,4.9494852,5.485456800000001,6.0214284,6.5574,7.093371600000001,7.6293432,8.165314799999999,8.7012864,9.237258,9.773229599999999,10.2973098,10.82139,11.3454702,11.8695504,12.3936306,12.9177108,13.441791,13.965871199999999,14.489951399999999,15.0140316
Surface (Million m2),2420.462389175223,2447.4624163920253,2474.3866602477005,2501.235319525447,2528.0085558610153,2554.7065096358942,2581.329303472244,2607.8760612033807,2634.346526801928,2660.740398451526,2687.057337307971,2729.088339062216,2770.9974462287632,2812.784192064447,2854.448061976703,2895.988541683991,2937.405135585022,2978.6979117604374,3019.8664461413287,3060.910393425389,3101.8267973750803,3141.499071732148,3181.0477809940726,3220.4732518983355,3259.776027558426,3298.956622482149,3338.0156006956104,3376.953706965375,3415.7715211369978,3454.46962977162,3493.0486319454835
Surface existing (Million m2),2351.3935021581083,2343.859085866355,2336.248886213473,2328.563101982663,2320.8018948096737,2312.965405075996,2305.0537554037896,2297.0660696263685,2289.002091716359,2280.8615198574,2272.644015205288,2264.3491787637045,2255.9324477344217,2247.393355374277,2238.7313870907046,2229.9460286021626,2221.036784307366,2212.003722286952,2202.8464184720137,2193.5645275602456,2184.155093314108,2174.618089890716,2164.95752137218,2155.173714495983,2145.2672123756133,2135.238529518876,2125.088229951878,2114.817058441182,2104.4255948323453,2093.9144256865056,2083.2841500799104
Surface new (Million m2),69.06888701711385,103.60333052567076,138.13777403422768,172.6722175427846,207.20666105134154,241.74110455989845,276.27554806845535,310.8099915770122,345.3444350855692,379.8788785941261,414.4133221026831,464.739160298512,515.0649984943408,565.3908366901699,615.7166748859987,666.0425130818277,716.3683512776565,766.6941894734855,817.0200276693143,867.3458658651433,917.6717040609722,966.8809818414323,1016.0902596218924,1065.2995374023524,1114.5088151828127,1163.7180929632727,1212.927370743733,1262.136648524193,1311.3459263046532,1360.5552040851132,1409.7644818655733
Surface Electricity-Heat pump water (Million m2),151.83466694051637,179.37446493783943,207.1718748186703,235.24200692389272,263.61326395182067,292.281269052584,321.24233147698016,350.51372408928694,380.07465096671024,409.917265470657,440.08956641943814,485.34992439178035,531.0468795920054,577.154739876844,623.645367892101,670.4889938614659,717.7440931353942,765.3003835259527,813.1267786625797,858.7669563930771,904.7985139292433,951.1237081752448,997.340715376612,1043.4286206825743,1089.3650770952295,1135.1433052348327,1180.8905191148783,1226.4618213981737,1271.8684292055561,1317.117633389814,1362.2487982445605
Surface Electricity-Performance boiler (Million m2),736.3341236889127,736.9178130254733,737.9997162263682,739.5789970222303,741.686930013673,744.2669836117258,749.580969350623,755.9088244815846,763.1833066687803,771.3720910538373,780.5471130113494,790.1581686789203,800.9253682812107,812.7560906600711,825.5601926627884,839.2420053907513,852.8320785807247,867.146378155342,882.1062383402838,888.765623219004,895.1097757167375,900.0252905888336,904.7022157419808,909.0842117021191,913.1150908152065,916.7857304663585,918.6292737487863,919.9984836395638,920.92090572557,921.4061928033462,921.4637597170995
Surface Heating-District heating (Million m2),80.25963780310207,86.47358526412482,92.6801756275189,98.87940179617948,105.07125580612806,111.2557329109443,117.43281808596902,123.60290061339158,129.7660782273769,135.9224457278662,142.07191084529563,148.30178327270832,154.52434354153235,160.73968041489118,166.94789237304013,173.1490907790514,179.34340491102623,185.5307396397122,191.71126741760676,197.88964373000198,204.05609806677455,210.21049692071978,216.35778493985194,222.49816203669033,228.63171643582544,234.75879852296993,240.87658047581078,246.98710631001245,253.0907360834212,259.18772806914944,265.278165822557
Surface Natural gas-Performance boiler (Million m2),991.5988921857453,991.105131079313,988.9210057514086,985.0532050903486,979.4426632664357,972.2506937219393,962.3038145393041,950.6286426547595,937.4449418599435,922.8881117648335,906.9937756209603,889.2635453785333,869.9121337314159,849.140202514141,827.1149053359487,804.0055587104769,780.2243766167493,755.6183564547282,730.2955209932481,703.3282815236536,676.2358735035614,648.5756200417229,621.5614393898179,595.2488510545331,569.6974457009345,544.8975216667509,521.6796745670541,499.3294693858738,477.7815270209307,456.99672027368746,436.8889074715463
