,2020,2025,2030,2035,2040,2045,2050
CTES,0.0,0.0,0.0,0.0,0.0,0.0,0.0
battery1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
battery4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ccgt,0.0,0.0,0.0,0.0,0.3104803543631624,0.3299132436792746,0.416929847141787
central_gas_boiler,0.017802615506740796,0.008052103610677801,0.003354537559237279,0.006899749725940373,0.0005816611288415985,0.004109891449522144,0.003790354069149318
central_wood_boiler,0.0,0.0,0.05197104300420662,0.0,0.07090273841181807,0.025772424813914126,0.025252883072932036
coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0
electrolysis,0.0,0.039915870410523115,0.12972857098734544,0.03603690155467799,0.07550015634105768,0.12433116392476651,0.06591171555285287
geothermal,0.0,0.0,0.0,0.0,0.0,0.0,0.0006603666531782838
h2_ccgt,0.0,0.0,0.0,0.0,0.0,0.0,0.04936584076005309
hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lake,0.0,0.0,0.0,0.0,0.0,0.0,0.0
methanation,0.0,0.0,0.0,0.09041886999811369,0.025886096845206492,0.0257111292454574,0.024776208349635554
methane,0.0,0.0,0.0,0.0,0.0,0.0,0.0
methanization,0.0,0.0,0.058466792830164246,0.02077109745282153,0.020771097452821494,0.020771097452821508,0.020771097452821446
natural_gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nuclear,0.0,0.0,0.0,0.0,1.6395825212178172,0.9739824168394641,0.7845524349637689
ocgt,0.03794425793257983,0.0,0.0,0.3876946487122681,0.20877612832940234,0.18594032930539448,0.35485948715597243
offshore_f,0.0,0.0,0.0,0.0,0.0,0.0,3.1588147072120454
offshore_g,0.0,0.0,0.0,0.7048066084511797,0.5340402460294452,0.48766918292412814,0.4662801836730699
onshore,0.0,0.0,0.7773177293122866,1.208560230231128,0.964295253191922,0.9480886102811336,0.9318819673703453
phs,0.0,0.0,0.0,0.0682792657422843,0.0227597552474281,0.0227597552474281,0.02275975524742806
pv_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pv_g,0.0,0.265453009805081,0.29923969755248536,0.3381864487670048,0.011224207878125189,0.6051777250385592,0.49886363094449815
pyrogazification,0.0,0.0,0.0,0.021458417098283108,0.17814372058648817,0.0998010688423856,0.09980106884238564
river,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uiom,0.0,0.0,0.0,0.0,0.0,0.0,0.0
investment_heater,0.5651478702499216,2.8324692183921325,2.764368963341072,2.7583029870080513,2.820100760529746,2.8206950194018807,2.728293822326389
investment_insulation,0.1250867940243849,0.634183355815417,0.6284394067366457,0.6141927177810511,0.5837293710256876,0.5670919411708081,0.5345154598469193
