,2020,2025,2030,2035,2040,2045,2050
CTES,0.0,0.0,0.0,0.0,0.0,0.0,0.0
battery1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
battery4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ccgt,0.0,0.0,0.0,0.0,0.2559161407712827,0.20716168327669734,0.46677600704290517
central_gas_boiler,0.01751954894478882,0.007658144956314594,0.005545238664543182,0.0056419152640163174,0.0,0.0,0.0
central_wood_boiler,0.0,0.0,0.01650889854150196,0.0,0.11552964167488353,0.0,0.06170314741194215
coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0
electrolysis,0.0,0.039915870410523115,0.12660918435500668,0.037930887855982746,0.08720809245158069,0.07213825273071843,0.10252891252466348
geothermal,0.0,0.0,0.0,0.0,0.0,0.0,0.002384308071342997
h2_ccgt,0.0,0.0,0.0,0.0,0.0,0.0,0.052656542057874074
hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lake,0.0,0.0,0.0,0.0,0.0,0.0,0.0
methanation,0.0,0.0,0.0,0.08116962730755618,0.034533388393501147,0.024042412583299987,0.026157286121736813
methane,0.0,0.0,0.0,0.0,0.0,0.0,0.0
methanization,0.0,0.0,0.05846679283016425,0.02077109745282152,0.020771097452821508,0.020771097452821494,0.02077109745282018
natural_gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nuclear,0.0,0.0,0.0,0.0,0.4467177475637011,1.7255868834805312,1.1088840768490769
ocgt,0.03794425793257983,0.0,0.0,0.28189631791500064,0.33953864863206396,0.12775650286299084,0.2868829277609908
offshore_f,0.0,0.0,0.0,0.0,0.0,0.0,2.2669541761356764
offshore_g,0.0,0.0,0.0,0.11709157771801755,1.098057090039496,0.48766918292412814,0.4662801836730699
onshore,0.0,0.0,0.611078640918718,1.3694796677961023,0.964295253191922,0.9480886102811336,0.9318819673703453
phs,0.0,0.0,0.0,0.0682792657422843,0.0227597552474281,0.0227597552474281,0.02275975524742806
pv_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pv_g,0.0,0.19658962411950856,0.3681030832380579,0.6350240097431943,0.03886684591842267,0.0,0.776436099834845
pyrogazification,0.0,0.0,0.0,0.0,0.19960213768477125,0.0998010688423856,0.09980106884238564
river,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uiom,0.0,0.0,0.0,0.0,0.0,0.0,0.0
investment_heater,0.6831493616942008,3.3885905685285045,3.352558768153787,3.355435863126957,3.4190961675938865,3.6018713990180222,3.522075901513645
investment_insulation,0.2689330222359852,1.4546600533961167,1.7753351064785763,1.6209932600981634,1.449576928730466,1.2021056270786272,0.9997354449527678
