,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049
Stock (Million),28.33536010601379,28.61814682477888,28.900085183403576,29.18117772707653,29.46142699316439,29.740835511614645,30.019405804534355,30.297140386704207,30.574041765144948,30.850112439401496,31.125354901655925,31.567950436501384,32.00921818477616,32.4491621297913,32.88778624296983,33.32509448378959,33.7610907998883,34.195779127053264,34.62916338924192,35.061247498662055,35.492035355757665,35.90963944930874,36.32599073057522,36.74109295799542,37.15494987873332,37.56756522872671,37.97894273267646,38.389086104119436,38.79799904544886,39.20568524795424,39.61214839185122
Stock existing (Million),27.599774506013787,27.51476842477888,27.428913983403575,27.342213727076526,27.254670193164394,27.16628591161464,27.077063404534353,26.9870051867042,26.896113765144946,26.804391639401494,26.711841301655927,26.618465236501386,26.523761384776158,26.427733729791292,26.33038624296983,26.231722883789587,26.131747599888293,26.03046432705326,25.92787698924192,25.82398949866205,25.718805755757664,25.612329649308734,25.50460073057523,25.395622757995426,25.285399478733325,25.173934628726705,25.061231932676456,24.947295104119444,24.83212784544886,24.715733847954237,24.598116791851222
Stock new (Million),0.7355856000000001,1.1033784000000002,1.4711712000000001,1.8389640000000005,2.2067568,2.5745496000000005,2.9423424000000002,3.3101352000000004,3.677928,4.045720800000001,4.4135136,4.9494852,5.485456800000001,6.0214284,6.5574,7.093371600000001,7.6293432,8.165314799999999,8.7012864,9.237258,9.773229599999999,10.2973098,10.82139,11.3454702,11.8695504,12.3936306,12.9177108,13.441791,13.965871199999999,14.489951399999999,15.0140316
Surface (Million m2),2420.462333685543,2447.4746885165905,2474.42490556541,2501.311505500774,2528.1353589220516,2554.894582119642,2581.5898936469976,2608.2084797845782,2634.747842433022,2661.209026829765,2687.575036735731,2729.6390418926762,2771.567446162178,2813.3618588072836,2855.024058898557,2896.555569506719,2937.908317954506,2979.085354377096,3020.088826512924,3060.920907543906,3101.5759851307957,3140.9396265197684,3180.1351320066747,3219.1646769197005,3258.0304062280943,3296.734443898525,3335.278907105154,3373.6664177533794,3411.8992863245044,3449.9794719367123,3487.908898551578
Surface existing (Million m2),2351.393446668429,2343.871357990919,2336.287131531183,2328.6392879579894,2320.9286978707096,2313.153477559744,2305.314345578542,2297.398488207565,2289.403407347453,2281.330148235639,2273.1617146330477,2264.8998815941645,2256.5024476678373,2247.9710221171135,2239.3073840125576,2230.5130564248916,2221.53996667685,2212.3911649036104,2203.0687988436093,2193.575041678763,2183.904281069824,2174.058644678335,2164.0448723847817,2153.865139517348,2143.5215910452816,2133.016350935253,2122.3515363614215,2111.529769229187,2100.5533600198514,2089.424267851599,2078.1444166860038
Surface new (Million m2),69.06888701711385,103.60333052567076,138.13777403422768,172.6722175427846,207.20666105134154,241.74110455989845,276.27554806845535,310.8099915770122,345.3444350855692,379.8788785941261,414.4133221026831,464.739160298512,515.0649984943408,565.3908366901699,615.7166748859987,666.0425130818277,716.3683512776565,766.6941894734855,817.0200276693143,867.3458658651433,917.6717040609722,966.8809818414323,1016.0902596218924,1065.2995374023524,1114.5088151828127,1163.7180929632727,1212.927370743733,1262.136648524193,1311.3459263046532,1360.5552040851132,1409.7644818655733
Surface Electricity-Heat pump water (Million m2),160.03228659009685,195.74498875398237,232.78718303108616,270.1692000578144,307.6817068511024,345.6384618594909,383.7558456291475,414.9179072795984,446.1650860758729,477.4961334050077,508.98873209255487,555.4091598986445,601.9816054909628,648.7004972578188,695.5601810783868,742.5541936756791,789.6740876391931,836.8996362298232,884.2254572019774,928.7744993944692,972.2375253858258,1015.8289302090027,1059.499145186335,1103.1222213296026,1146.7545047413362,1190.342532590989,1234.0430419071024,1278.994556558442,1323.9751715441946,1368.984214521697,1414.0626604272336
Surface Electricity-Performance boiler (Million m2),723.0269322803252,709.6736229890391,698.4605127542724,687.3800928686061,676.3272459175008,665.5450648561491,656.3527348429475,654.5382355042708,653.0150046704823,651.7788108425832,650.8268355259991,649.8192243681689,649.0730550758167,648.5856740775168,648.3546453822531,648.3760676431173,647.6497669242701,647.1641594572333,646.9068442426681,643.4454119486305,640.5262184705356,636.9816623217596,633.1906939878514,629.4026169581202,625.7136858863927,621.9701395435317,617.4524436268094,612.5069703664237,607.6039007536135,602.7334284565865,597.8741403841194
Surface Heating-District heating (Million m2),80.25965256756275,86.47106652498448,92.67215075174728,98.86279872510926,105.04265272943202,111.21166536967063,117.36953971746146,123.51472301963778,129.64883202235498,135.77188623837918,141.88101513158483,148.065179401177,154.2347125093411,160.38947166029388,166.52927579717317,172.65397752461928,178.77158964630365,184.88157421508728,190.98382290185566,197.083609090743,203.18302288431286,209.27283584446963,215.35379007813214,221.4285808965369,227.4984708104634,233.56204876476812,239.6175463454279,245.6642181907708,251.70541169231288,257.74129385442546,263.7719675180189
Surface Natural gas-Performance boiler (Million m2),984.5493442486227,978.535480006394,971.4806257425818,963.3527667224224,955.0785081805586,945.6341820636205,935.3691090008244,931.8248121730476,927.8868989753915,923.5588053241444,918.8712620517641,913.1394538774418,907.028641565956,900.5323168821327,893.6449147604976,886.3616170638481,879.2944448912319,871.829129758835,863.9612433708799,849.3911254501013,836.0045446635287,821.6239854305013,807.4184081564777,793.3307305974814,779.1730333164082,765.1759431044413,751.6552297485846,736.7567577920199,721.8451718689108,706.9271442376504,691.9614190037411
