,2020,2025,2030,2035,2040,2045,2050
CTES,0.0,0.0,0.0,0.0,0.0,0.0,0.0
battery1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
battery4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ccgt,0.0,0.0,0.0,0.0,0.0,0.26860791525693434,0.18798306421942432
central_gas_boiler,0.022819240915876546,0.009027128523724701,0.005202851626945585,0.006557805139980586,0.005392034075403294,0.005177525701487452,0.00486478601159267
central_wood_boiler,0.0,0.0,0.03482735494292524,0.0,0.0,0.0,0.0
coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0
electrolysis,0.0,0.039915870410523094,0.12843796999737342,0.03614519768901355,0.06385830968955791,0.13035924258774823,0.061043504530952614
geothermal,0.0,0.0,0.0,0.0,0.0,0.0,0.0
h2_ccgt,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lake,0.0,0.0,0.0,0.0,0.0,0.0,0.0
methanation,0.0,0.0,0.0,0.05753681620380594,0.061131554170981144,0.027576099522602145,0.02722208642906583
methane,0.0,0.0,0.0,0.0,0.0,0.0,0.0
methanization,0.0,0.0,0.05846679283016425,0.02077109745282152,0.020771097452821494,0.020771097452821508,0.02077109745282152
natural_gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nuclear,0.0,0.0,0.0,0.0,0.0,0.0400967930875247,2.9902547425488573
ocgt,0.03794425793257983,0.0,0.02703813218246231,0.49164242797613666,0.4172342686411804,0.13550356174752978,0.19635110195742825
offshore_f,0.0,0.0,0.0,0.0,1.7812874197628799,1.6185171159908294,0.9012373662207015
offshore_g,0.0,0.0,0.0,0.5629931203152023,0.42126255929006373,0.3684611604315635,0.3523005832196528
onshore,0.0,0.0,0.6191980156990625,0.9171259201088334,0.7457216624684191,0.7331885252840767,0.7206553880997335
phs,0.0,0.0,0.0,0.0682792657422843,0.0227597552474281,0.0227597552474281,0.02275975524742806
pv_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pv_g,0.0,0.21323413863094953,0.35145856872661685,0.6350240097431943,0.0,0.14430466448553383,0.4626544167489865
pyrogazification,0.0,0.0,0.0,0.0,0.19664069378685073,0.10276251274030614,0.09980106884238564
river,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uiom,0.0,0.0,0.0,0.0,0.0,0.0,0.0
investment_heater,0.6831493616942008,3.3885905685285045,3.3480263177458376,3.3452937554323476,3.4123160667317034,3.600956346111857,3.5210005982481523
investment_insulation,0.2689330222359852,1.5357785880432187,2.207773761045607,1.9030710732698168,1.6180368518452484,1.2722180147169937,1.0166196058172743
