,2020,2025,2030,2035,2040,2045,2050
offshore_f,0.0,0.0,0.08766781972652855,0.34947930007444533,1.0135927691635829,1.404,1.6555
offshore_g,0.0,0.0,0.119,0.29579999999999995,0.4335,0.5593,0.6273000000000001
onshore,0.355875,0.435,0.87,1.1445,1.3682499999999997,1.548,1.661
pv_g,0.06951,0.1570046080886528,0.25189500000000004,0.43989999999999996,0.4553136832215092,0.5736227280006246,0.7143002763623129
pv_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0
river,0.143451,0.143451,0.143451,0.143451,0.143451,0.143451,0.143451
lake,0.132,0.132,0.132,0.132,0.132,0.132,0.132
methanization,0.0,0.0,1.0302603036876319,1.3962738326290371,1.762287361570704,2.1283008905122753,2.4943144194545828
ocgt,0.1434127808833998,0.1434127808833998,0.21157255747598103,0.5511994046113718,0.7274082465048941,0.9476844542391661,1.040512646000242
ccgt,0.26,0.26,0.22,0.18,0.43156884496506936,0.6575062639368666,0.8038233104060107
nuclear,8.413039576758257,8.413041958623097,8.139450318264753,7.140855599999899,5.8959937999999354,4.871508768337266,3.820668563312838
h2_ccgt,0.0,0.0,0.0,0.0,0.0,0.0,0.0
phs,0.078,0.078,0.078,0.1005,0.108,0.1155,0.12299999999999998
battery1,0.0,0.0,0.0,0.007217014418850769,0.014195750654201563,0.014195750654201563,0.023953233373532064
battery4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
methanation,0.0,0.0,0.0452912945954308,0.08995837425042737,0.1189792477613885,0.14580046308279804,0.17080689443012817
pyrogazification,0.0,0.0,0.0,0.0,0.0,0.0,0.8113946481213843
electrolysis,0.0,0.006575342465753426,0.028890010174156173,0.04348147962320686,0.08900752495899956,0.12242326991263502,0.1315945205479452
natural_gas,2.300203157101058,3.5165737372832906,2.1419618047552373,1.9000342139360629,1.5499777419474992,0.9562389787283105,0.5680199581542233
coal,0.04548662420291995,0.0,0.0,0.0,0.0,0.0,0.0
hydrogen,0.0,0.0,0.009520968332215055,0.025681382713508047,0.03855464819292808,0.05086626321210784,0.07848568493742837
methane,0.0,0.0,0.021145412995852136,0.03218761982082473,0.04399245031649792,0.06369162290529229,0.09601121399679521
geothermal,0.00021734372408873574,0.00016890896761285876,0.12993999999999953,0.14016,0.15037999999999985,0.1605999999999998,0.17227999999999985
central_gas_boiler,0.014320577445152884,0.019093626874765134,0.021081815409348902,0.025203226264502377,0.0291947177169084,0.03307209634474464,0.036520651737073966
central_wood_boiler,0.0017308999999999998,0.0017308999999999998,0.004450222682180363,0.004450222682180363,0.004450222682180363,0.004450222682180363,0.004450222682180363
uiom,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTES,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oil,0.9044942492189476,1.4887587502373443,0.8804472686927274,0.3165148738006307,0.0,0.0,0.0
wood,4.163015482973639,4.408705484479597,6.331114581444427,7.051147270168003,8.57250795948017,9.210494599495238,9.478936795304735
health_costs,6.114948023077358,5.7459769693248255,6.490335411354083,7.150755266628129,7.527005857381754,7.572170985595524,6.627589784582983
