,2020,2025,2030,2035,2040,2045,2050
CTES,0.0,0.0,0.0,0.0,0.0,0.0,0.0
battery1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
battery4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ccgt,0.0,0.0,0.0,0.0,0.23647283493954735,0.38671331894618827,0.07337762587708246
central_gas_boiler,0.022819240915876546,0.00909219882593192,0.008596000717955733,0.007199639143232992,0.0063153134505411854,0.0062912732354688805,0.005343987528398909
central_wood_boiler,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0
electrolysis,0.0,0.039915870410523094,0.13404311248309558,0.06448116820478207,0.0897128319738439,0.18358243672997443,0.02967007048252527
geothermal,0.0,0.0,0.0,0.0,0.0,0.0,0.0
h2_ccgt,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lake,0.0,0.0,0.0,0.0,0.0,0.0,0.0
methanation,0.0,0.0,0.0,0.0,0.09835029944418924,0.054304599774001594,0.021900571757821143
methane,0.0,0.0,0.0,0.0,0.0,0.0,0.0
methanization,0.0,0.0,0.03885888538354037,0.02253700608724714,0.02006444750178792,0.039319746216053345,0.02077109745282152
natural_gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nuclear,0.0,0.0,0.0,0.0,0.0,0.0,3.026130820574538
ocgt,0.03794425793257983,0.0,0.15998187359206556,0.6372928340170451,0.3299801453744744,0.23451035471074277,0.20793919247722242
offshore_f,0.0,0.0,0.0,0.03353478905865636,1.9542621704172807,0.9297126565097596,1.3700407796365925
offshore_g,0.0,0.0,0.04934602946197593,0.5594061845473434,0.3846217376434741,0.3684611604315635,0.3523005832196528
onshore,0.0,0.0,0.7833210740214492,0.758254799652763,0.7457216624684191,0.7331885252840767,0.7206553880997335
phs,0.0,0.0,0.0,0.0682792657422843,0.0227597552474281,0.0227597552474281,0.02275975524742806
pv_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pv_g,0.0,0.21800081677905173,0.3466918905785147,0.6350240097431943,0.059456643422111904,0.5679403024937969,0.42986389716716605
pyrogazification,0.0,0.0,0.0,0.0,0.0,0.0,0.026811863720623552
river,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uiom,0.0,0.0,0.0,0.0,0.0,0.0,0.0
investment_heater,0.6831493616942008,3.3680934156999744,3.414776676422151,3.2468483574475147,3.3275298141643566,3.55618042339841,3.3808669843707357
investment_insulation,0.2689330222359852,1.3586710997135119,1.3003797372938128,1.2406501744910894,1.177922954356872,0.9810776523682833,0.8339281817409245
