,2020,2025,2030,2035,2040,2045,2050
river,9.66,9.66,9.66,9.66,9.66,9.66,9.66
lake,8.8,8.8,8.8,8.8,8.8,8.8,8.8
phs,5.2,5.2,5.2,6.7,7.2,7.7,8.2
offshore_f,0.0,0.0,0.0,0.21510167074708506,13.351022921971603,19.914810650763357,30.1
offshore_g,0.0,0.0,0.3543289537432223,5.1,8.5,11.9,15.3
onshore,9.49,11.6,23.2,32.7,42.099999999999994,51.6,60.4
onshore_V110,,,,,,,
pv_g,6.62,14.289623494744367,23.990000000000002,43.989999999999995,44.25705546092087,63.1621090554826,77.62466351191296
pv_g_ns,,,,,,,
pv_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0
methanization,0.0,0.0,1.4417174081656794,2.277870933497697,3.0222891782064574,4.48110514898961,5.251741066331773
ocgt,7.17063904416999,7.17063904416999,10.106327282403683,27.7677968885738,35.94819474119785,43.18320189232819,49.59844759194188
ccgt,6.5,6.5,5.5,4.5,9.027907878341889,16.567912845546118,17.283225119294784
coal,2.9,0.0,0.0,0.0,0.0,0.0,0.0
nuclear,61.5,61.5,59.5,52.2,43.1,35.0,29.0
h2_ccgt,0.0,0.0,0.0,0.0,0.0,0.0,0.0
battery1,0.0,0.0,0.0,0.47086269093035127,0.5664921271708452,0.5664921271708452,1.634783981230365
battery4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
electrolysis,0.0,0.547945205479452,2.388022349163429,3.768935592623844,5.821490781177448,10.211958262825187,10.966210045662102
hydrogen,0.0,0.0,2.2831050228310503,2.6484018264840183,3.0136986301369864,6.376341824469023,6.4
methane,80.0,80.0,80.0,80.0,80.0,80.0,80.0
methanation,0.0,0.0,0.0,0.0,1.038541514048327,1.6236800712323327,1.8661318055953953
pyrogazification,0.0,0.0,0.0,0.0,0.0,0.0,0.1472239690587933
natural_gas,97.62564287293876,99.66998081758479,99.66998081758479,125.80687686883473,131.08347532010617,153.18410297048925,155.77828144469606
geothermal,0.583,0.583,0.583,0.583,0.583,0.583,0.583
central_gas_boiler,7.531667899007223,9.959655767719562,12.255138506516783,14.177735760881653,15.864181992270376,17.54420850586869,18.971271105126426
central_wood_boiler,0.911,0.911,0.911,0.911,0.911,0.911,0.911
uiom,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTES,0.0,0.0,0.0,0.0,0.0,0.0,0.0
