Occupancy status,Income owner,Income tenant,Housing type,Heating system,Performance,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049
Owner-occupied,C1,C1,Multi-family,Electricity-Heat pump water,A,3369.3643297516805,7403.904762489723,11654.075863866376,15917.040107102943,20190.002674955114,24477.522831080212,29185.225367330062,33563.129203972145,37960.23227291518,42376.22193203903,46813.52047599954,53839.31285864963,60887.158978097075,67956.8649863684,75048.22701686042,82161.02701024915,89299.1898892692,96458.97901227018,103640.20429087445,110771.01863865745,117825.27822554717,124751.06015653972,131686.11989517146,138624.2747126676,145573.20878272058,152523.52585378243,159113.52244887615,165781.84398543005,172452.78951357747,179126.2472564181,185803.8346581202
Owner-occupied,C1,C1,Multi-family,Electricity-Heat pump water,B,4227.080082904476,5057.878277065899,6937.513284108672,8800.273608379137,10644.249580019477,12482.2665662945,15652.83007185415,17488.88942484548,19329.33589671644,21174.52565898422,23035.11930838998,24967.508064727364,26916.727566781912,28882.54534413261,30864.67897102223,32862.78416055097,34893.47708180251,36940.28244811753,39003.18714883252,40864.53861571413,42462.5283860766,44073.28104765645,45683.59660165522,47273.784384148465,48864.97176244002,50433.60217128064,51073.145472969176,51930.12181126676,52782.692061086265,53630.469836190874,54477.38284901674
Owner-occupied,C1,C1,Multi-family,Electricity-Heat pump water,C,2995.108645864633,3270.3319712795783,4053.6573646512315,4834.747902208753,5604.1695252553445,6384.745284117951,9047.75797036352,10963.234561134526,12859.1681830184,14734.827481350341,16599.46315148614,18516.17229281281,20420.24374875687,22310.812764838727,24187.045374040645,26048.13974816871,27914.449522409705,29763.177268579384,31592.76624928062,33207.164295574185,34527.0421753445,35832.89446620449,37083.99532051751,38276.967237129,39440.508888789875,40543.06437145252,40411.88459064621,40316.93508616643,40216.17893222777,40109.69300043031,39998.23553091632
Owner-occupied,C1,C1,Multi-family,Electricity-Heat pump water,D,398.9875467944067,534.9500957722524,963.8576173279511,1386.6595539292375,1791.2588057999826,2193.5301497672403,3585.540245989304,4673.204272150097,5705.401501095106,6684.013554632773,7615.579388824738,8534.895061644484,9408.151135096137,10236.547204373604,11021.24796660792,11763.388666166284,12472.825845605366,13140.40769948449,13766.708530783757,14316.85923223317,14710.96312027311,15073.686079304483,15388.762571500449,15658.0258388591,15895.147756510461,16089.323006882678,15811.001611341268,15537.494805549963,15268.719302768694,15004.59325703297,14745.036238229695
Owner-occupied,C1,C1,Multi-family,Electricity-Performance boiler,B,727.90332782344,935.8757072015658,1143.8480865796914,1351.820465957817,1559.7928453359427,1767.7652247140684,1975.737604092194,2183.70998347032,2391.682362848446,2599.6547422265717,2807.6271216046975,3032.6797580491116,3257.7323944935256,3482.7850309379396,3707.8376673823536,3932.8903038267676,4157.942940271181,4382.995576715595,4608.048213160009,4833.100849604423,5058.153486048837,5278.212964421042,5498.272442793246,5718.331921165451,5938.391399537655,6158.45087790986,6378.510356282064,6598.569834654269,6818.629313026473,7038.6887913986775,7258.748269770882
Owner-occupied,C1,C1,Multi-family,Electricity-Performance boiler,C,38868.024087089565,38591.246880431536,37963.06973989167,37318.797378617026,36630.193879773346,35934.43919851132,35548.36496287411,36232.3193230848,36926.66576368585,37631.71391870187,38348.88081733321,39139.73314885343,39944.316564588975,40763.315443234234,41597.45034640998,42447.50464533609,43309.02250881037,44186.76423046375,45080.49079180653,45987.84024027744,46818.73120446214,47644.30726915063,48425.30958562732,49180.025087519665,49930.060204754394,50646.856206147655,50024.30268883437,49186.43708049058,48322.7024710026,47433.69783224812,46516.11356284853
Owner-occupied,C1,C1,Multi-family,Electricity-Performance boiler,D,20724.42303166639,20426.955998770565,19822.63093721197,19225.3274064779,18635.85740291291,18054.237900903,17552.46503376324,17475.504480681593,17419.847094087345,17384.304336247194,17367.230050771224,17387.908033527132,17425.576631591426,17479.63569486866,17549.544165511925,17634.827927176248,17730.077800903586,17839.269822310864,17961.72019664375,18083.07296148278,18205.317281424534,18327.610273491424,18438.300963783273,18544.423174384538,18651.834854510555,18750.85520522398,18426.144626784553,18007.980505076084,17581.67460803248,17147.823725546787,16705.31376097789
Owner-occupied,C1,C1,Multi-family,Electricity-Performance boiler,E,19077.330934790753,18362.53835390946,17360.496680537144,16403.559421658552,15492.513986969641,14623.998655774305,13996.218375883802,14047.172102373952,14089.391092802718,14123.22528997155,14148.997744510814,14189.245746054641,14219.88990591514,14241.155797753676,14253.218558200402,14256.252365818684,14231.741765045159,14194.853643516772,14144.903535732283,14071.252769946508,13929.740725129868,13760.955093434337,13559.655953777017,13334.555962938792,13096.481669733379,12833.729990893291,12050.306827072285,11223.26482936526,10421.510496827093,9645.279667812198,8893.687686335028
Owner-occupied,C1,C1,Multi-family,Electricity-Performance boiler,F,19801.432286795836,19600.406753497788,19296.009785472466,18985.756466402898,18681.965717962303,18372.03071610287,18194.513373970825,18269.676039698912,18336.821524708485,18395.620410376792,18446.12084995327,18515.998467847607,18574.507746679865,18621.02663015222,18654.903496579565,18675.513222232174,18665.15090698715,18634.943141473563,18583.888483595634,18423.02614329345,18197.56781834572,17942.13364743421,17658.47462523075,17349.282164239805,17021.59456412033,16667.687673884466,15912.389207807504,15153.007349715199,14389.027516245997,13621.389267539096,12851.035209709677
Owner-occupied,C1,C1,Multi-family,Electricity-Performance boiler,G,14200.428187982425,13818.934049176292,13369.703743113463,12929.757789483188,12506.969129655336,12092.461722699063,11886.29857242567,11931.051743579499,11959.378444193277,11971.943849586129,11970.70876388987,11974.924343169734,11963.971313494938,11938.006569387118,11897.160260654031,11841.573882079356,11754.676852067538,11650.573352981939,11529.186261506977,11286.120415348216,11000.733701661582,10695.934707930599,10378.363516017085,10050.470134591696,9717.191569231683,9374.598115313274,8815.811494702215,8270.424875344677,7737.740113348209,7217.862392361232,6710.884847959944
