,Switch Electricity-Heat pump water (Thousand households),Switch Electricity-Heat pump air (Thousand households),Switch Electricity-Performance boiler (Thousand households),Switch Natural gas-Performance boiler (Thousand households),Switch Oil fuel-Performance boiler (Thousand households),Switch Wood fuel-Performance boiler (Thousand households)
2019,206.88147937478047,,297.1320048996691,495.7745184367396,,243.6092255765838
2020,209.40761204640188,,293.4256144701381,492.7042496777106,,242.0796193520324
2021,227.7228607879948,,307.1380707280702,478.8681034943181,,216.0330464008164
2022,231.1467536561975,,305.424871870361,466.09666101793107,,219.1923199856136
2023,232.27740647929755,,302.59536619392344,462.42317718536674,,216.62439642760614
2024,256.3116245672738,,275.5606476571129,440.51218009329295,,233.56272084940971
2025,504.83630292660854,,388.72034010893725,,,304.3866597683813
2026,505.50933737271964,,390.52205394858413,,,293.8853882258325
2027,506.06544898589704,,392.26369749428926,,,283.556662191599
2028,506.3721902295254,,393.7834809249372,,,273.7031246366549
2029,510.1180468184025,,397.16069864370024,,,265.63370947843003
2030,522.3997659354312,,400.71189025265954,,,261.6204831952525
2031,525.4836215861302,,403.81804586846795,,,254.35894430291785
2032,528.1973115496513,,406.71732673742576,,,247.47689197139832
2033,530.5468125087813,,409.38954534679596,,,240.93852537045206
2034,532.5344723547562,,411.8026316564563,,,234.72010878321785
2035,536.7412120984808,,404.23868752808227,,,235.85496642851245
2036,537.3858424308632,,406.9477310663925,,,229.86118811848533
2037,537.6723400669657,,409.2131109196015,,,224.19340365413845
2038,519.1720449438735,,320.40447871528346,,,258.42280518572977
2039,525.4824610564754,,261.6230261002521,,,304.99386577504197
2040,527.2543748215755,,252.42344146412822,,,305.25286813304365
2041,540.9984319952302,,256.8988427256948,,,279.064105046023
2042,536.3909684142737,,253.60324476814898,,,277.60838679002416
2043,534.3830384844867,,252.1081569318941,,,272.2187036981771
2044,538.5725732034265,,233.4285783384401,,,280.20443862332047
2045,574.7366708256811,,161.0831449059843,,,297.7943585808798
2046,575.5471926087432,,161.9457744327014,,,287.2448963254323
2047,576.2745183175783,,162.94377658522828,,,276.69829573601214
2048,576.7585489611403,,164.01706169302645,,,266.46749659378276
2049,581.1394312975722,,166.1421822272326,,,257.9626568755235
