,2020,2025,2030,2035,2040,2045,2050
river,9.66,9.66,9.66,9.66,9.66,9.66,9.66
lake,8.8,8.8,8.8,8.8,8.8,8.8,8.8
phs,5.2,5.2,5.2,6.7,7.2,7.7,8.2
offshore_f,0.0,0.0,0.0,2.042986302203851,2.544510545681936,9.410199859664067,30.1
offshore_g,0.0,0.0,0.0,5.1,8.5,11.9,15.3
onshore,9.49,11.6,23.138300038891426,32.7,42.099999999999994,51.6,60.4
onshore_V110,,,,,,,
pv_g,6.62,15.61118381551845,23.990000000000002,43.989999999999995,52.92719764568943,60.573033650867636,98.7
pv_g_ns,,,,,,,
pv_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0
methanization,0.0,0.0,2.1691973969631233,2.9398333143052864,3.7104692316474486,4.48110514898961,5.251741066331713
ocgt,7.17063904416999,7.17063904416999,5.17063904416999,15.491387338253174,19.18723312406682,26.141338650027606,30.04231285263344
ccgt,6.5,6.5,5.5,4.823869092376315,12.134189091335262,16.73407274116556,28.380303542234408
coal,2.9,0.0,0.0,0.0,0.0,0.0,0.0
nuclear,61.5,61.5,59.5,52.2,49.6,45.0,29.0
h2_ccgt,0.0,0.0,0.0,0.0,0.0,0.0,0.4045439955305946
battery1,0.0,0.0,0.0,0.3146594846630147,0.3146594846630147,0.3146594846630147,0.6579663364337632
battery4,0.0,0.0,0.0,0.0,0.0,0.0,5.627181363414467
electrolysis,0.0,0.547945205479452,2.3341382032606774,3.2632095990112098,6.186527165120585,7.671232876712328,10.966210045662102
hydrogen,0.0,0.0,2.2831050228310503,2.6484018264840183,3.1728285349835983,3.835616438356164,6.4
methane,80.0,80.0,80.0,80.0,80.0,80.0,80.0
methanation,0.0,0.0,0.0,0.9316952767811874,1.207763481802741,1.4635150695564443,1.7626867118567695
pyrogazification,0.0,0.0,0.0,0.252023522926411,1.096015526886631,1.6440232903299463,2.192031053773262
natural_gas,88.55680250529159,88.55680250529159,88.55680250529159,88.55680250529159,95.6821553545702,113.62649547422903,120.17235892204842
geothermal,0.583,0.583,0.583,0.583,0.583,0.583,0.5915423681824054
central_gas_boiler,4.959996229625922,6.339635023535028,6.339635023535028,7.203622514201151,7.203622514201151,7.518540816061635,8.092572203060616
central_wood_boiler,0.911,0.911,2.1248638366624233,2.1248638366624233,3.763862050132005,4.3603976619716445,4.942044141808698
uiom,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTES,0.0,0.0,0.0,0.0,0.0,0.0,0.0
