,hour,elec_spot_price_2020,CH4_spot_price_2020,hour,elec_spot_price_2025,CH4_spot_price_2025,hour,elec_spot_price_2030,CH4_spot_price_2030,hour,elec_spot_price_2035,CH4_spot_price_2035,hour,elec_spot_price_2040,CH4_spot_price_2040,hour,elec_spot_price_2045,CH4_spot_price_2045,hour,elec_spot_price_2050,CH4_spot_price_2050
0,0,34.75000000000001,13.9,0,32.51770214875113,22.499999999999996,0,36.088187147564355,78.77264048298542,0,29.082589112930624,79.55384846993223,0,7.407407407407407,111.68407290058455,0,7.407407407407407,101.27298303009387,0,7.017543859649123,149.63578733312607
1,1,30.10612952133421,13.9,1,32.51770214875113,22.499999999999996,1,36.088187147564355,78.77264048298542,1,29.082589112930624,79.55384846993223,1,7.407407407407407,111.68407290058454,1,6.0,101.27298303009387,1,6.0,149.63578733312607
2,2,30.10612952133421,13.9,2,32.51770214875113,22.499999999999996,2,36.088187147564355,78.77264048298542,2,29.082589112930624,79.55384846993223,2,6.0,111.68407290058454,2,6.0,101.27298303009388,2,6.0,149.63578733312607
3,3,24.385964912280706,13.9,3,32.51770214875113,22.499999999999996,3,36.088187147564355,78.77264048298542,3,29.082589112930624,79.55384846993223,3,6.0,111.68407290058454,3,6.0,101.27298303009387,3,6.0,149.63578733312607
4,4,24.385964912280706,13.9,4,32.51770214875113,22.499999999999996,4,36.088187147564355,78.77264048298542,4,29.082589112930624,79.55384846993223,4,6.0,111.68407290058455,4,6.0,101.27298303009388,4,6.0,149.63578733312607
5,5,24.385964912280706,13.9,5,32.51770214875113,22.499999999999996,5,36.088187147564355,78.77264048298542,5,29.082589112930624,79.55384846993223,5,6.0,111.68407290058454,5,6.0,101.27298303009387,5,6.0,149.63578733312607
6,6,24.385964912280706,13.9,6,32.51770214875113,22.499999999999996,6,36.088187147564355,78.77264048298542,6,29.082589112930624,79.55384846993223,6,6.0,111.68407290058455,6,6.0,101.27298303009388,6,6.0,149.63578733312607
7,7,24.385964912280706,13.9,7,32.51770214875113,22.499999999999996,7,36.088187147564355,78.77264048298542,7,29.082589112930624,79.55384846993223,7,6.0,111.68407290058454,7,6.0,101.27298303009387,7,6.0,149.63578733312607
8,8,24.385964912280706,13.9,8,32.51770214875113,22.499999999999996,8,36.088187147564355,78.77264048298542,8,29.082589112930624,79.55384846993223,8,6.0,111.68407290058454,8,6.0,101.27298303009387,8,6.0,149.63578733312607
9,9,24.385964912280706,13.9,9,32.51770214875113,22.499999999999996,9,36.088187147564355,78.77264048298542,9,29.082589112930624,79.55384846993223,9,6.0,111.68407290058455,9,6.0,101.27298303009387,9,6.0,149.63578733312607
