Occupancy status,Income owner,Income tenant,Housing type,Heating system,Performance,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049
Owner-occupied,C1,C1,Multi-family,Electricity-Heat pump water,A,3271.0311550030697,7202.668737433958,11134.646761617478,15066.958237104018,18999.60064289675,22932.564144131036,26955.97030535823,30981.872415305497,35010.25213939666,39041.092049520266,43075.086824189064,49668.48620190728,56265.28022495215,62865.48666648679,69469.12337041798,76076.2081759164,82688.44135310464,89304.34095400646,95923.91181511496,102530.30661574341,109153.33653841364,115638.05680862011,122125.4214193597,128615.37311908414,135107.8605732766,141602.8324095271,147994.2996542696,154386.51934634478,160779.4579276223,167173.0845341569,173567.83972762717
Owner-occupied,C1,C1,Multi-family,Electricity-Heat pump water,B,3623.2998857824914,3837.8123670097434,4051.4604250287125,4264.211017342567,4478.503274736777,4692.72099462622,5291.805844844274,5894.593665690845,6501.194645747501,7111.693602817721,7729.553323038845,8374.981923500734,9028.602893931611,9690.460062575083,10360.584957355948,11038.997909770973,11736.856126541368,12443.70612481858,13159.513513251371,13809.160122626045,14522.37431563916,15254.220683514928,15990.906064656434,16732.168287761426,17477.76663380915,18227.459180700906,18589.18804364909,18950.664837507575,19311.701541661696,19672.127190862902,20033.702590775614
Owner-occupied,C1,C1,Multi-family,Electricity-Heat pump water,C,2776.2641352575474,2831.62478356185,2886.1142326865374,2939.7455710279883,2992.532006652577,3044.4868122385783,3886.3806086086092,4727.975161166262,5568.718963730416,6408.125628267758,7250.192993314314,8126.766672333171,9005.808581736308,9887.030058836895,10770.169923531641,11654.992147551005,12567.210025937096,13480.769353730917,14395.087581374792,15211.516197001083,16103.243308735977,17020.21168379971,17929.846224414727,18831.55446682905,19724.80552197389,20609.082188311302,20667.774225560504,20723.177586828297,20775.313565058055,20824.211064083258,20870.451245983317
Owner-occupied,C1,C1,Multi-family,Electricity-Heat pump water,D,284.9392581189251,309.07334679158066,332.3149127621192,354.68720565173277,376.2126974876784,396.9130698461739,1028.9047327374658,1635.211111580098,2216.6514385565088,2774.0223483985183,3310.771608884234,3849.6833046055262,4368.532594453044,4867.928809451965,5348.46138365813,5810.700577110168,6273.487154604736,6718.191292423644,7145.060829543585,7531.755303137935,7943.609820320904,8354.670303734092,8743.478236564017,9110.557598613022,9456.452894522814,9781.701267160086,9647.635213168061,9515.40664716708,9384.990384766585,9256.361586751262,9129.49575435008
Owner-occupied,C1,C1,Multi-family,Electricity-Performance boiler,B,727.90332782344,935.8757072015658,1143.8480865796914,1351.820465957817,1559.7928453359427,1767.7652247140684,1975.737604092194,2183.70998347032,2391.682362848446,2599.6547422265717,2807.6271216046975,3032.6797580491116,3257.7323944935256,3482.7850309379396,3707.8376673823536,3932.8903038267676,4157.942940271181,4382.995576715595,4608.048213160009,4833.100849604423,5058.153486048837,5278.212964421042,5498.272442793246,5718.331921165451,5938.391399537655,6158.45087790986,6378.510356282064,6598.569834654269,6818.629313026473,7038.6887913986775,7258.748269770882
Owner-occupied,C1,C1,Multi-family,Electricity-Performance boiler,C,39106.21608140669,39072.51353430796,39030.08985046361,38979.041298366734,38919.46177519752,38851.44298065998,40148.31150919518,41448.59617125025,42752.810149986435,44061.474914114144,45380.760966502916,46800.30011759319,48232.93507961851,49679.51513798405,51140.91267854199,52618.02592210777,54109.300764417516,55617.085533409794,57140.976219205404,58601.37933267418,60190.05629500799,61773.949531947845,63357.245454346026,64939.068339535996,66518.58351448884,68094.89314838465,67456.28113214608,66799.41163881855,66124.33220795805,65431.07564755861,64718.268567575244
Owner-occupied,C1,C1,Multi-family,Electricity-Performance boiler,D,20905.737312177327,20793.94630964089,20678.767392928523,20560.255515181856,20438.379410956673,20313.246798345936,20536.49922513379,20784.613914595477,21056.490563320986,21351.12192991171,21669.118158864778,22043.48890692263,22440.576147683892,22859.86681678385,23300.903643992508,23763.28289052073,24244.432559567103,24745.741745556577,25266.440586163182,25736.836954350307,26255.893710739394,26784.33740457151,27324.605756210905,27875.67362087462,28436.545108472,29006.217473019107,28770.820072219874,28520.811824013836,28256.545873979252,27978.364501768367,27685.848764545237
Owner-occupied,C1,C1,Multi-family,Electricity-Performance boiler,E,19290.68820996178,18786.072890097133,18289.53893614959,17801.00535622051,17320.390395365135,16847.610576615265,17656.098060252396,18427.126665449174,19162.360552725655,19863.365192387264,20536.988743577167,21237.500398448326,21910.66859001561,22557.57531285643,23179.25262509792,23776.68584457264,24335.418647853938,24871.122766019267,25383.73073084183,25799.767582372413,26283.9784125561,26715.778176307474,27115.138977579325,27482.33132941144,27817.650803347868,28121.38070606789,27029.733502763895,25960.404307910445,24913.261552898446,23888.168144892035,22884.194849989995
Owner-occupied,C1,C1,Multi-family,Electricity-Performance boiler,F,19813.06175502104,19628.753232438758,19438.028221100612,19240.962948534743,19037.63663142126,18828.130291483867,19465.511868680507,20097.175209283352,20722.5270698708,21341.011764470637,21956.932528640886,22616.61820736537,23271.390234283484,23920.5954938579,24563.60307861587,25199.80288803729,25814.360090241255,26420.19674595331,27016.114761455457,27434.36067328606,27912.102261435735,28355.4264122649,28781.44549433209,29189.158855960857,29577.615430375048,29945.89762119155,29237.05633699864,28520.20292170683,27795.846983208783,27064.506873880997,26326.709887511082
Owner-occupied,C1,C1,Multi-family,Electricity-Performance boiler,G,14228.645795545033,13879.060826804205,13533.343419399338,13191.519835232317,12853.614551443792,12519.649571651707,13220.307290558536,13877.932866184376,14494.268222372812,15070.978482427683,15614.793589910021,16165.635533970226,16683.870802524314,17170.44876765098,17626.279144234846,18052.234126689484,18426.454159921883,18772.70905587917,19091.213163691307,19242.65858541696,19431.253553825856,19563.255830637107,19667.71314439506,19745.29563548226,19796.69329330469,19822.598672833294,19072.342093600804,18336.921617538013,17616.20965607066,16910.083821602886,16218.426774663165
Owner-occupied,C1,C1,Multi-family,Heating-District heating,A,1039.8618968906285,1611.7859401804742,2183.70998347032,2755.6340267601654,3327.5580700500113,3899.4821133398573,4471.406156629703,5043.330199919549,5615.254243209395,6187.178286499241,6759.102329789087,7659.312875566742,8559.523421344398,9459.733967122054,10359.94451289971,11260.155058677366,12160.365604455023,13060.576150232679,13960.786696010335,14860.99724178799,15761.207787565647,16641.445701054465,17521.683614543283,18401.9215280321,19282.15944152092,20162.397355009736,21042.635268498554,21922.873181987372,22803.11109547619,23683.349008965008,24563.586922453826
Owner-occupied,C1,C1,Multi-family,Heating-District heating,B,2049.455264971921,2659.5598088700426,3277.585527730342,3903.5502244362788,4537.472404882334,5179.370394485034,5829.262725245168,6487.497008103065,7153.930626652092,7828.427597646839,8510.916995001204,9098.919903870592,9693.569944727113,10294.788113444281,10902.497327186442,11516.621641323314,12137.085482471588,12764.130109936907,13397.777637103254,14049.991740428846,14711.053243126338,15386.188649653745,16068.876445155387,16759.13355260169,17456.984454114565,18162.46483942131,19034.412157808478,19917.98542578239,20813.303966301813,21720.492361104218,22639.680788209225
Owner-occupied,C1,C1,Multi-family,Heating-District heating,C,5856.029693694291,6566.818689642924,7274.670407214575,7979.637534290434,8681.772521563757,9381.108894599714,10077.690517269044,10774.472016072557,11471.354970909151,12168.246972040077,12865.008625475157,13451.726888015706,14038.216673624678,14624.43203479368,15210.329795194228,15795.869181192442,16381.01148726711,16965.82024353363,17550.27428099947,18145.336333085626,18740.18297480211,19341.55110809036,19942.513993930785,20543.016948394838,21143.009081947836,21742.443625743883,22370.012262319466,22993.580409525835,23613.159691374658,24228.761708090904,24840.398054789897
Owner-occupied,C1,C1,Multi-family,Heating-District heating,D,10530.533722279968,10962.200202540545,11400.484667415923,11845.050619884923,12295.565220783858,12751.698417269605,13213.122833838917,13680.543187466015,14153.666145356185,14632.193441344465,15115.924614183854,15536.909666866504,15961.230826248106,16388.60483942248,16818.745524714155,17251.36444732526,17686.171573232394,18122.882385296787,18561.19370510273,18983.364593991948,19406.4729148425,19834.626307109196,20263.374967609427,20692.45177239363,21121.590161084325,21550.524445135146,21972.65787244203,22391.514395471073,22806.816607976783,23218.28177598403,23625.62156927427
