,2020,2025,2030,2035,2040,2045,2050
river,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lake,0.0,0.0,0.0,0.0,0.0,0.0,0.0
phs,0.0,0.0,0.0,1.5,0.5,0.5,0.4999999999999991
offshore_f,0.0,0.0,0.0,0.0,0.0,5.311824324680262,24.78817567531974
offshore_g,0.0,0.0,0.23120240185705196,4.868797598142947,3.4000000000000004,3.4000000000000004,3.4000000000000004
onshore,0.0,0.0,11.6,11.600000000000001,11.59999999999999,11.600000000000001,11.600000000000001
onshore_V110,,,,,,,
pv_g,0.0,5.586886083357049,10.213113916642953,18.336039198660607,21.663960801339385,2.1243244648045234,7.042534090953708
pv_g_ns,,,,,,,
pv_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0
methanization,0.0,0.0,0.9270497760407318,1.4395277509298707,1.343891704676846,0.7706359173421626,0.7706359173421626
ocgt,1.1706390441699899,0.0,0.0,12.612254578298742,7.744821336234894,4.864832970044688,12.25181604217137
ccgt,0.0,0.0,0.0,2.471416159747804,9.01071831479659,7.341944847403093,6.776371801415564
coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nuclear,0.0,0.0,0.0,0.0,5.091269959858465,4.908730040141535,3.5
h2_ccgt,0.0,0.0,0.0,0.0,0.0,0.0,0.0
battery1,0.0,0.0,0.0,0.26896110685056485,0.0,0.0,0.38900522958316586
battery4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
electrolysis,0.0,0.5479452054794519,1.8323310779485138,0.7401046530714503,0.7505532713320862,2.099904464035956,2.8618255850257697
hydrogen,0.0,0.0,2.2831050228310503,0.365296803652968,0.365296803652968,0.8219178082191778,0.7305936073059365
methane,0.0,0.0,0.0,0.0,0.0,0.0,0.0
methanation,0.0,0.0,0.0,0.0,1.0576616046127256,0.49841159029098736,0.32296830496165185
pyrogazification,0.0,0.0,0.0,0.0,0.0,0.0,2.192031053773262
natural_gas,87.58903551022988,0.0,0.0,0.0,7.913005065607294,13.82922662103502,19.723676596526005
geothermal,0.0,0.0,0.0,0.0,0.0,0.0,0.0
central_gas_boiler,3.4734233222930424,1.3212283259674615,0.6104163382343257,1.1765443670812887,1.0352146926106283,1.0313376553372766,0.8793244379073162
central_wood_boiler,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uiom,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTES,0.0,0.0,0.0,0.0,0.0,0.0,0.0
