,2020,2025,2030,2035,2040,2045,2050
offshore_f,0.0,0.0,0.0,0.15543814541400036,0.37130671532405246,0.6919857307852825,1.6555
offshore_g,0.0,0.0,0.119,0.29579999999999995,0.4335,0.5593,0.6273000000000001
onshore,0.355875,0.435,0.87,1.1445,1.3682499999999997,1.548,1.661
pv_g,0.06951,0.15137682073614087,0.25189500000000004,0.43989999999999996,0.4925293211425659,0.52764279125856,0.8389500000000001
pv_c,0.0,0.0,0.04552118516869294,0.04552118516869294,0.04210709628104097,0.038693007393389,0.7734085576499589
river,0.143451,0.143451,0.143451,0.143451,0.143451,0.143451,0.143451
lake,0.132,0.132,0.132,0.132,0.132,0.132,0.132
methanization,0.0,0.0,0.7591391711383806,1.0438163603150996,1.3284935494917782,1.6131707386685166,1.8978479278453735
ocgt,0.1434127808833998,0.1434127808833998,0.1034127808833998,0.2755831058901979,0.3751770353524475,0.5227281739817109,0.5227281739817109
ccgt,0.26,0.26,0.22,0.35906582194886255,0.6459181392458366,0.8820600409685164,1.2373663857496842
nuclear,8.41303957675827,8.413015794072361,8.139412196857073,7.140820830516823,6.7124402275918476,6.046364775289443,3.5226492064691994
h2_ccgt,0.0,0.0,0.06758219478133992,0.06758219478133992,0.06758219478133992,0.06758219478133992,0.06758219478133992
phs,0.078,0.078,0.093,0.1005,0.108,0.1155,0.12299999999999998
battery1,0.0,0.0,0.0,0.010042865411896714,0.01515556844244547,0.01941898796127301,0.01941898796127301
battery4,0.0,0.0,0.0,0.0,0.0,0.0,0.41602432602190353
methanation,0.0,0.0,0.04307623131696635,0.06690475166288791,0.08627085784510766,0.10674052747862359,0.12230282572663466
pyrogazification,0.0,0.0,0.0,0.0,0.0,0.02884393195570376,0.05769151729649715
electrolysis,0.0,0.006575342465753424,0.029255187292802905,0.05716812117174227,0.06784250483374851,0.08680706464826272,0.1315945205479452
natural_gas,2.2361919856774484,3.4036571577565424,2.1598774416617554,1.9072883972866386,1.549929752110601,0.9562203610927744,0.5680502561414211
coal,0.045486624202915577,0.0,0.0,0.0,0.0,0.0,0.0
hydrogen,0.0,0.0,0.016529660625170663,0.03013435242668218,0.033366929072057815,0.038392034266439105,0.11155551904811777
methane,0.0,0.0,0.01827284687278051,0.02662748427941534,0.03618026049067547,0.05809278695051437,0.07056591752090108
geothermal,8.529824642024002e-05,7.005104965770436e-05,0.12993999999999878,0.1401599999999998,0.15037999999999985,0.1606,0.1722799999999987
central_gas_boiler,0.011629894908146922,0.015676230964208438,0.016402178572994974,0.018871194539407735,0.0211860675808609,0.024482868046643416,0.025203703924776173
central_wood_boiler,0.0017308999999999998,0.0017308999999999998,0.005030654181164665,0.006099729844291631,0.0072154932836069954,0.0072154932836069954,0.00948850220887437
uiom,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTES,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oil,0.8735532368894394,1.438166370761489,0.8507372801281485,0.3059155429686983,0.0,0.0,0.0
wood,4.031681381392646,4.272327324951634,6.156325189669762,7.571346627880649,8.898405958086421,9.980906188440699,10.588977968102496
health_costs,6.114948023077358,5.7459769693248255,6.489893735662604,7.150080314562369,7.510704068013885,7.527163162190878,6.576117650138991
