,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049
Stock (Million),28.33536010601379,28.61814682477888,28.900085183403576,29.18117772707653,29.46142699316439,29.740835511594984,30.01940580483371,30.297140387256295,30.574041765954544,30.85011244051322,31.125354903070846,31.567950438266887,32.00921818686412,32.4491621322244,32.887786245746916,33.32509448694762,33.761090803425205,34.1957791309523,34.62916339349678,35.061247503254585,35.49203536068768,35.90963945454959,36.32599073613089,36.74109296386856,37.15494988488106,37.56756523517913,37.9789427394636,38.38908611123713,38.79799905289698,39.205685255733236,39.61214839994311
Stock existing (Million),27.599774506013787,27.51476842477888,27.428913983403575,27.342213727076526,27.254670193164394,27.166285911594983,27.077063404833716,26.987005187256287,26.89611376595454,26.80439164051323,26.711841303070845,26.618465238266882,26.523761386864123,26.427733732224397,26.33038624574692,26.231722886947626,26.131747603425215,26.030464330952313,25.92787699349679,25.82398950325459,25.71880576068768,25.61232965454959,25.504600736130893,25.395622763868552,25.285399484881072,25.173934635179137,25.061231939463593,24.947295111237125,24.83212785289698,24.715733855733244,24.598116799943103
Stock new (Million),0.7355856000000001,1.1033784000000002,1.4711712000000001,1.8389640000000005,2.2067568,2.5745496000000005,2.9423424000000002,3.3101352000000004,3.677928,4.045720800000001,4.4135136,4.9494852,5.485456800000001,6.0214284,6.5574,7.093371600000001,7.6293432,8.165314799999999,8.7012864,9.237258,9.773229599999999,10.2973098,10.82139,11.3454702,11.8695504,12.3936306,12.9177108,13.441791,13.965871199999999,14.489951399999999,15.0140316
Surface (Million m2),2420.462333685543,2447.4746885165905,2474.42490556541,2501.311505500774,2528.1353589220516,2554.8945821186403,2581.6059349542506,2608.2512193159437,2634.835206969836,2661.3586971123145,2687.8032398964897,2729.9613509946826,2771.9992785036675,2813.918294598248,2855.719643502265,2897.404542903733,2938.927705415001,2980.292555127827,3021.501724380745,3062.558176280307,3103.446974462615,3143.054316933199,3182.50243629158,3221.793526647362,3260.929880532911,3299.913713561266,3338.7474615330107,3377.434893722383,3415.9781344177027,3454.3793041004187,3492.640508468378
Surface existing (Million m2),2351.393446668429,2343.871357990919,2336.287131531183,2328.6392879579894,2320.9286978707096,2313.1534775587415,2305.3303868857956,2297.4412277389306,2289.4907718842665,2281.4798185181885,2273.389917793806,2265.222190696171,2256.9342800093273,2248.5274579080783,2240.002968616266,2231.3620298219053,2222.5593541373437,2213.5983656543417,2204.4816967114302,2195.2123104151647,2185.775270401643,2176.173335091767,2166.4121766696867,2156.4939892450093,2146.4210653500986,2136.1956205979927,2125.820090789278,2115.29824519819,2104.632208113049,2093.8241000153052,2082.876026602805
Surface new (Million m2),69.06888701711385,103.60333052567076,138.13777403422768,172.6722175427846,207.20666105134154,241.74110455989845,276.27554806845535,310.8099915770122,345.3444350855692,379.8788785941261,414.4133221026831,464.739160298512,515.0649984943408,565.3908366901699,615.7166748859987,666.0425130818277,716.3683512776565,766.6941894734855,817.0200276693143,867.3458658651433,917.6717040609722,966.8809818414323,1016.0902596218924,1065.2995374023524,1114.5088151828127,1163.7180929632727,1212.927370743733,1262.136648524193,1311.3459263046532,1360.5552040851132,1409.7644818655733
Surface Electricity-Heat pump water (Million m2),160.03228659009685,195.74498875398237,232.78718303108616,270.1692000578144,307.6817068511024,347.14079437852155,405.1372717612352,463.26811562296564,521.5270145396,579.8922830933366,638.6179563484521,712.9107549081915,787.5102895369743,862.3883409450508,937.5166927682661,1012.8668765930737,1088.5513713126527,1164.3583851094766,1240.2545476437879,1308.0393877452761,1371.0917390664215,1434.253969539604,1497.0861908401664,1559.322148481792,1621.3401577965678,1681.8493059528569,1725.6633766104449,1769.4910742468066,1813.335315744675,1857.1967988290255,1901.1109877183394
Surface Electricity-Performance boiler (Million m2),723.0269322803252,709.6736229890391,698.4605127542724,687.3800928686061,676.3272459175008,663.1877772201707,659.4346660034496,656.1684106139833,653.3765218577505,651.0288492453229,649.0536564694472,647.1915295461534,645.6564338912665,644.4323411657799,643.503421842295,642.8543408935209,641.7754311067167,640.9852392340395,640.4461075246086,637.5045945447051,635.3021363574811,632.7913451054588,629.7031123360068,626.4700147112227,623.2910040998314,620.3888558364249,603.8901458231882,587.3987302076985,570.9068715000677,554.4104913535032,537.8587825517112
Surface Heating-District heating (Million m2),80.25965256756275,86.47106652498448,92.67215075174728,98.86279872510926,105.04265272943202,111.21166536965973,117.3672894273484,123.50829163854208,129.6336938911722,135.74296846795556,141.8322441044118,147.98891145968884,154.12274421505373,160.2324699557198,166.31670840609252,172.37396306375055,178.41298615590912,184.4321227367793,190.43025846842943,196.41137584538762,202.38048935240826,208.32964466923872,214.25975172685776,220.173160545347,226.07111918314973,231.95589143632407,237.69793844502365,243.42266449102783,249.12932127102934,254.8170883391632,260.48506728820456
Surface Natural gas-Performance boiler (Million m2),984.5493442486227,978.535480006394,971.4806257425818,963.3527667224224,955.0785081805586,944.9183590632196,899.0999191062607,853.5432952085212,808.2461505197373,763.2050719284882,718.2380357777662,672.0114335764118,625.8463191171792,579.7424413143153,533.6996121661688,487.71746288864506,441.7965596374029,395.9520232854582,350.20362350936324,305.6637856447169,267.0930041144417,227.39452122788057,188.94022824556615,151.64999852712754,114.8084230252817,79.86367365208197,79.86367365208197,79.86367365208197,79.86367365208197,79.86367365208197,79.86367365208197
Surface Oil fuel-Performance boiler (Million m2),308.18097994002255,289.4799594707933,271.01432799506773,252.78230568233457,234.7803654277785,217.0032908126432,199.45094683094882,182.11332705620953,164.98833820805675,148.0714970261957,131.19473956399486,114.37514530139828,97.62613876960464,80.96989771183009,64.43060049359845,48.034448248038274,31.8048623369582,15.779639946420923,,,,,,,,,,,,,
Surface Wood fuel-Performance boiler (Million m2),164.41313805891295,187.56957077139677,208.01010529065553,228.76434144448694,249.22487981567866,271.4326952744255,301.11584182500815,329.64977917572145,357.0634879535189,383.4180273510156,408.86660763241684,435.4835762028392,461.23735297358934,486.15280350555213,510.25260782584434,533.5574512167045,556.5864948653611,578.7851448156526,600.1671872345555,614.939032500222,627.5796055718619,640.2848363910169,652.513153142982,664.1782043818724,675.4191764280805,685.8559866835778,691.6323270022726,697.2587511247683,702.7429522498485,708.0912519266442,713.321997258041
Prices Electricity (euro/kWh),0.1743338984,0.17676212842125,0.1779804496312869,0.1807244061941593,0.18276467142978042,0.1846755174740825,0.17801689764659911,0.17801689764659911,0.17801689764659911,0.17801689764659911,0.17801689764659911,0.17932258652466745,0.17932258652466745,0.17932258652466743,0.17932258652466745,0.17932258652466745,0.1830007620375884,0.18300076203758836,0.18300076203758836,0.18300076203758836,0.1830007620375884,0.18894299537179804,0.1889429953717981,0.18894299537179807,0.18894299537179807,0.18894299537179804,0.19520973734314576,0.19520973734314576,0.19520973734314576,0.19520973734314576,0.19520973734314576
Prices Heating (euro/kWh),0.07554741999999999,0.076506872234,0.07747850951137178,0.07846248658216619,0.07945896016175971,0.08046808895581405,0.08149003368555288,0.0825249571133594,0.08357302406869906,0.08463440147437153,0.08570925837309605,0.08679776595443436,0.08790009758205566,0.08901642882134778,0.09014693746737887,0.09129180357321458,0.0924512094785944,0.09362533983897255,0.09481438165492749,0.09601852430194506,0.09723795956057975,0.09847288164699912,0.099723487243916,0.10098997553191373,0.10227254822116903,0.10357140958357787,0.1048867664852893,0.10621882841965247,0.10756780754058205,0.10893391869634743,0.11031737946379103
Prices Natural gas (euro/kWh),0.0918150406,0.09290306447807999,0.09316641783489202,0.0965204787098149,0.09732851321086097,0.09798799615066928,0.09812416484933727,0.09803763997071727,0.09795198034101728,0.09786717730783727,0.09778322230351726,0.10116639212902878,0.10224309878398878,0.10329734883066878,0.10432948374206878,0.10533984038650879,0.11324198852670071,0.11320233639988071,0.1131620386109007,0.1131211120258407,0.1130795732750207,0.12362116169618345,0.12496599699508344,0.12628251734658347,0.12757115455248344,0.12883233462038346,0.12859464331230938,0.12933089789450938,0.13005036460870936,0.13075330558410936,0.13143997937210938
Prices Oil fuel (euro/kWh),0.10588271939999999,0.10756056866120002,0.10851988578441879,0.11258446862406923,0.11411791200326563,0.11551802543092214,0.1169423608208771,0.11839133721307829,0.11986538089686455,0.1213649255363803,0.1228904122981597,0.12590568998091786,0.12921881514758773,0.13255925225964105,0.13592747381373282,0.1393239604807104,0.14274920124702672,0.1446318935586003,0.14654434346716408,0.148487065779146,0.15046058420712527,0.15246543152390854,0.15677854971927216,0.1611240901594156,0.1655026137491735,0.16991469109703422,0.1743609026830129,0.17802883902942904,0.1817321008746382,0.18547129934976941,0.18924705615852044
Prices Wood fuel (euro/kWh),0.06238232,0.063174575464,0.06397689257239278,0.06478939910806217,0.06561222447673457,0.06644549972758908,0.06728935757412946,0.06814393241532091,0.06900936035699547,0.06988577923352932,0.07077332862979514,0.07167214990339352,0.07258238620716662,0.07350418251199763,0.07443768562989997,0.07538304423739971,0.07634040889921469,0.0773099320922347,0.07829176822980609,0.0792860736863246,0.08029300682214092,0.08131272800878211,0.08234539965449364,0.0833911862301057,0.08445025429522805,0.08552277252477743,0.0866089117358421,0.08770884491488729,0.08882274724530635,0.08995079613532174,0.0910931712462403
