,2020,2025,2030,2035,2040,2045,2050
river,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lake,0.0,0.0,0.0,0.0,0.0,0.0,0.0
phs,0.0,0.0,0.0,1.5,0.5,0.5,0.4999999999999991
offshore_f,0.0,0.0,0.0,3.108637395460373,0.6747241747481221,7.805125163089972,18.511513266701535
offshore_g,0.0,0.0,1.548995361166617,3.5510046388333825,3.4000000000000004,3.4000000000000004,3.4000000000000004
onshore,0.0,0.0,11.6,11.600000000000001,11.59999999999999,11.600000000000001,11.600000000000001
onshore_V110,,,,,,,
pv_g,0.0,9.786930762728948,6.013069237271054,19.999999999999993,20.0,7.641574604186104,32.358425395813896
pv_g_ns,,,,,,,
pv_c,0.0,0.0,0.0,0.0,0.0,0.0,27.780826478476147
methanization,0.0,0.0,1.5248656998654118,1.4149676144398746,0.7706359173421617,0.7706359173421622,0.7706359173421635
ocgt,1.1706390441699899,0.0,0.0,13.61142694666526,6.913632933245623,7.038010968197295,0.0
ccgt,0.0,0.0,0.0,0.4771748252909429,7.520444878618875,7.670942612729926,11.652606746912479
coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nuclear,0.0,0.0,0.0,0.0,6.5,3.5,3.5
h2_ccgt,0.0,0.0,0.0,0.0,0.0,0.0,2.5038943767523154
battery1,0.0,0.0,0.0,0.059425849481436165,0.0,0.0,0.026592130066074783
battery4,0.0,0.0,0.0,0.0,0.0,0.0,12.07509691719526
electrolysis,0.0,0.547945205479452,1.7730328004744456,0.8020528849298887,0.8836514721709268,2.8108622968188763,4.1486653857885125
hydrogen,0.0,0.0,1.2248527861418204,1.423549040342198,0.365296803652968,0.8219178082191778,5.123390759502982
methane,0.0,0.0,0.0,0.0,0.0,0.0,0.0
methanation,0.0,0.0,0.0,0.0,1.1926768247227952,0.2969253905567413,0.3331841089470211
pyrogazification,0.0,0.0,0.0,0.0,0.48614131857482973,1.1578819717551165,0.5480077634433156
natural_gas,109.70626803454164,0.0,0.0,0.0,0.0,12.78971637666045,9.40771773726162
geothermal,0.0,0.0,0.0,0.0,0.0,0.0,0.03309548348733293
central_gas_boiler,4.678434019939473,2.045037004443061,1.8551375772262624,1.5038369106126996,1.2481106296105562,0.5356697860564825,0.0
central_wood_boiler,0.0,0.0,0.0,0.0,0.0,0.6880108825802946,3.8886130590295345
uiom,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTES,0.0,0.0,0.0,0.0,0.0,0.0,0.0
