,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049
Stock (Million),28.33536010601379,28.61814682477888,28.900085183403576,29.18117772707653,29.46142699316439,29.740835511594984,30.019405804502156,30.297140386598976,30.574041765022947,30.85011243933319,31.12535490165318,31.567950436596654,32.009218184969114,32.44916213008289,32.887786243378585,33.32509448436609,33.761090800624935,34.19577912795354,34.62916339032892,35.061247499872955,35.49203535712562,35.909639450818716,36.32599073222339,36.7410929597876,37.15494988066967,37.56756523078745,37.97894273495614,38.38908610660958,38.797999048144135,39.205685250839075,39.61214839488979
Stock existing (Million),27.599774506013787,27.51476842477888,27.428913983403575,27.342213727076526,27.254670193164394,27.166285911594983,27.07706340450216,26.987005186598978,26.896113765022953,26.804391639333197,26.711841301653184,26.618465236596656,26.523761384969106,26.427733730082892,26.330386243378584,26.23172288436609,26.13174760062494,26.030464327953542,25.927876990328922,25.823989499872944,25.71880575712562,25.612329650818726,25.504600732223384,25.395622759787592,25.28539948066967,25.173934630787446,25.06123193495614,24.947295106609584,24.832127848144136,24.71573385083908,24.5981167948898
Stock new (Million),0.7355856000000001,1.1033784000000002,1.4711712000000001,1.8389640000000005,2.2067568,2.5745496000000005,2.9423424000000002,3.3101352000000004,3.677928,4.045720800000001,4.4135136,4.9494852,5.485456800000001,6.0214284,6.5574,7.093371600000001,7.6293432,8.165314799999999,8.7012864,9.237258,9.773229599999999,10.2973098,10.82139,11.3454702,11.8695504,12.3936306,12.9177108,13.441791,13.965871199999999,14.489951399999999,15.0140316
Surface (Million m2),2420.462333685543,2447.4746885165905,2474.42490556541,2501.311505500774,2528.1353589220516,2554.8945821186403,2581.6059349364155,2608.2569724037153,2634.8530032189046,2661.3953793851506,2687.8670680782297,2730.061561801039,2772.146655145037,2814.1247010086145,2855.9980637312296,2897.769126809167,2939.388518381629,2980.8602955031643,3022.1871550632777,3063.3721443904356,3104.3987918696694,3144.151661840439,3183.753335804263,3223.2055447898383,3262.509953872951,3301.6681345008465,3340.6816189568376,3379.5570762595057,3418.296668530618,3456.902653171419,3495.377419195327
Surface existing (Million m2),2351.393446668429,2343.871357990919,2336.287131531183,2328.6392879579894,2320.9286978707096,2313.1534775587415,2305.33038686796,2297.446980826703,2289.508568133336,2281.5165007910246,2273.4537459755466,2265.322401502527,2257.081656650696,2248.733864318445,2240.281388845231,2231.7266137273386,2223.0201671039727,2214.1661060296788,2205.1671273939633,2196.026278525291,2186.7270878086965,2177.270679999007,2167.66307618237,2157.906007387486,2148.001138690138,2137.9500415375737,2127.754248213105,2117.420427735313,2106.950742225964,2096.3474490863055,2085.612937329754
Surface new (Million m2),69.06888701711385,103.60333052567076,138.13777403422768,172.6722175427846,207.20666105134154,241.74110455989845,276.27554806845535,310.8099915770122,345.3444350855692,379.8788785941261,414.4133221026831,464.739160298512,515.0649984943408,565.3908366901699,615.7166748859987,666.0425130818277,716.3683512776565,766.6941894734855,817.0200276693143,867.3458658651433,917.6717040609722,966.8809818414323,1016.0902596218924,1065.2995374023524,1114.5088151828127,1163.7180929632727,1212.927370743733,1262.136648524193,1311.3459263046532,1360.5552040851132,1409.7644818655733
Surface Electricity-Heat pump water (Million m2),160.03228659009685,195.74498875398237,232.78718303108616,270.1692000578144,307.6817068511024,347.14079437852155,393.3125152874598,439.55329596427055,485.8479125653279,532.1654491254928,578.6862248564425,640.3134874669217,702.1327237855991,764.109699402208,826.209872621629,888.3980516115507,950.7020618872965,1012.9114073286923,1074.9830838830337,1129.706232974874,1181.4506382437858,1233.108432985671,1284.6738012936619,1335.8811704139719,1386.8740340796646,1436.8849305632907,1484.4336903300477,1532.0221992700128,1579.650363302664,1627.3159173265162,1675.0690409190765
Surface Electricity-Performance boiler (Million m2),723.0269322803252,709.6736229890391,698.4605127542724,687.3800928686061,676.3272459175008,663.1877772201707,655.9479272311851,649.0694451712852,642.5356859555158,636.3129458026643,630.3102083212138,624.0602092102566,617.9806839260315,612.0501214283589,606.2473684451702,600.5519127427805,594.04191055378,587.6117595899813,581.2287931449657,572.9439129503733,566.1538884298902,559.0234998706743,551.3405945058194,543.5721022245211,535.8225090530856,528.6045615045438,517.4411373177247,506.3300253011448,495.2633957821194,484.23687356500204,473.2099557715096
Surface Heating-District heating (Million m2),80.25965256756275,86.47106652498448,92.67215075174728,98.86279872510926,105.04265272943202,111.21166536965973,117.3672894273484,123.50918382275678,129.6364592849345,135.74868419943638,141.84219519231596,148.00445616507565,154.14553031369155,160.26433892068445,166.35971286482896,172.43038389805483,178.4841689799453,184.5192813579634,190.53452406301082,196.5340737473269,202.52204156345127,208.49023279156054,214.43942612079476,220.37148178952108,226.2871642812823,232.18813813830863,238.03529538872826,243.86539229906586,249.67812744067007,255.4732776504078,261.2506995940983
Surface Natural gas-Performance boiler (Million m2),984.5493442486227,978.535480006394,971.4806257425818,963.3527667224224,955.0785081805586,944.9183590632196,914.566041273756,884.8768730513192,855.8553153993763,827.5046098298774,799.7304010057368,771.6194823391793,744.035533162081,716.9833832106949,690.4682742694644,664.4957714979558,639.202302800921,614.5895468710845,590.6757354575722,566.8895003860267,546.3866806606023,525.0864258750862,504.76002925910785,485.3037710472834,466.37762286611826,448.52570640815253,437.76755747691817,427.01271679919523,416.26115981655767,405.51272846459364,394.73206209122156
