,2020,2025,2030,2035,2040,2045,2050
river,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lake,0.0,0.0,0.0,0.0,0.0,0.0,0.0
phs,0.0,0.0,0.0,1.5,0.5,0.5,0.4999999999999991
offshore_f,0.0,0.0,0.0,0.0,0.0,4.409572694110877,25.610917406710374
offshore_g,0.0,0.0,0.1715677229357807,4.928432277064219,3.4000000000000004,3.4000000000000004,3.4000000000000004
onshore,0.0,0.0,11.6,11.600000000000001,11.59999999999999,11.600000000000001,11.600000000000001
onshore_V110,,,,,,,
pv_g,0.0,5.478784707175144,10.321215292824858,18.268161237611075,21.731838762388918,4.82364532859647,1.8352307260163983
pv_g_ns,,,,,,,
pv_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0
methanization,0.0,0.0,1.1195864635901085,1.335927877650669,1.2549548904066712,0.7706359173421546,0.7706359173421697
ocgt,1.1706390441699899,0.0,0.0,12.409701621639174,7.6203599087254545,4.807071702384956,12.481630832360125
ccgt,0.0,0.0,0.0,2.303699771864859,8.832405239864084,7.627733953307757,6.5827058688592
coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nuclear,0.0,0.0,0.0,0.0,5.186545779042916,4.813454220957084,3.5
h2_ccgt,0.0,0.0,0.0,0.0,0.0,0.0,0.0
battery1,0.0,0.0,0.0,0.619939768566366,0.32106585012029965,0.228156372123134,0.20358125426074136
battery4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
electrolysis,0.0,0.5479452054794524,1.81152845771196,0.7548398324497008,0.7218772951714882,2.441421977615482,2.5578501775667917
hydrogen,0.0,0.0,1.898338682620245,0.7500631438637733,0.365296803652968,0.8219178082191778,0.7305936073059365
methane,0.0,0.0,0.0,0.0,0.0,0.0,0.0
methanation,0.0,0.0,0.0,0.0,1.1062208098343533,0.44783211404748857,0.330613817542859
pyrogazification,0.0,0.0,0.0,0.0,0.0,0.0,2.192031053773262
natural_gas,109.87739594333253,0.0,0.0,0.0,0.0,0.0,38.577772504982605
geothermal,0.0,0.0,0.0,0.0,0.0,0.0,0.0
central_gas_boiler,4.678479618714438,2.060494526431901,1.9522793934650249,1.6447989791840527,1.4508106547796302,1.447521954517745,1.246464985244426
central_wood_boiler,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uiom,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTES,0.0,0.0,0.0,0.0,0.0,0.0,0.0
