,Switch Electricity-Heat pump water (Thousand households),Switch Electricity-Heat pump air (Thousand households),Switch Electricity-Performance boiler (Thousand households),Switch Natural gas-Performance boiler (Thousand households),Switch Oil fuel-Performance boiler (Thousand households),Switch Wood fuel-Performance boiler (Thousand households)
2019,192.94012354726763,,307.3292961808983,510.43656239265545,,232.6910966960286
2020,194.88707318565181,,303.770300971419,507.52805751001057,,231.43277665879722
2021,208.0568127566301,,316.9661534322947,495.834817237393,,208.90623402437006
2022,210.53253719135589,,315.16972450613605,484.56332301268753,,211.59788985906772
2023,211.3928437550462,,312.21684366944265,480.86078580846004,,209.45312791630505
2024,214.6249347090734,,311.7244278098564,468.5531226548033,,211.04776148906782
2025,432.76988237925224,,473.233701439146,,,291.94658455807036
2026,330.0421442449079,,635.8450588212207,,,224.04663255381234
2027,328.939413835792,,635.1865734507587,,,217.81368909415102
2028,327.82377213203006,,634.4323757644652,,,211.68334727473172
2029,328.68854213212825,,637.5559029344153,,,206.74852425950766
2030,335.30318469325675,,644.6088268816958,,,204.8655796810868
2031,335.9828054074576,,647.3970594208445,,,200.26444784104652
2032,336.55474045965485,,649.9062775196102,,,195.8285913905154
2033,337.0279587376481,,652.1115336078957,,,191.5243976857164
2034,337.3982386883124,,653.9559015673672,,,187.36019355183598
2035,341.5949016642123,,643.2561785329277,,,191.5316105153421
2036,341.1204416434759,,645.3933017774726,,,187.290845184504
2037,340.6464747885968,,647.3637054575993,,,183.23354010743162
2038,362.153229728993,,506.0387299879603,,,230.87829047582073
2039,387.0699953174994,,431.39790123762504,,,275.87707561493266
2040,391.3531766774947,,418.2115776973861,,,278.41805575708634
2041,401.74000209416124,,422.99600139062517,,,255.6807587298164
2042,399.74722496952006,,417.9105197662926,,,254.66972107328522
2043,398.7539575851546,,416.0294517036373,,,250.0079994520002
2044,397.43514258992326,,411.57171499497696,,,247.92814763216117
2045,477.15343545500525,,271.46425867043183,,,283.56449249936543
2046,393.9543152174158,,385.8287594848547,,,229.55056973782655
2047,393.11356262533286,,387.7354380179018,,,222.11983586971357
2048,392.2344877163605,,389.5458590673101,,,214.72837960050728
2049,393.75471037645264,,393.86841551466466,,,208.62507068524855
