,hour,elec_spot_price_2020,CH4_spot_price_2020,hour,elec_spot_price_2025,CH4_spot_price_2025,hour,elec_spot_price_2030,CH4_spot_price_2030,hour,elec_spot_price_2035,CH4_spot_price_2035,hour,elec_spot_price_2040,CH4_spot_price_2040,hour,elec_spot_price_2045,CH4_spot_price_2045,hour,elec_spot_price_2050,CH4_spot_price_2050
0,0,34.75000000000001,13.9,0,32.51770214875106,22.499999999999996,0,36.469675446050616,58.34081419050272,0,22.707662230740485,65.7,0,23.48113726540054,79.65062892432553,0,17.825556034926507,79.75563464253044,0,6.0,98.92504984883362
1,1,30.10612952133421,13.9,1,32.51770214875106,22.499999999999996,1,36.469675446050616,58.34081419050272,1,22.707662230740485,65.7,1,19.019721184974436,79.65062892432553,1,17.825556034926507,79.75563464253044,1,6.0,98.92504984883364
2,2,30.10612952133421,13.9,2,32.51770214875106,22.499999999999996,2,36.469675446050616,58.34081419050272,2,22.707662230740485,65.7,2,19.019721184974436,79.65062892432553,2,14.438700388290467,79.75563464253045,2,6.0,98.92504984883362
3,3,24.385964912280706,13.9,3,32.51770214875106,22.499999999999996,3,36.469675446050616,58.34081419050272,3,22.707662230740485,65.7,3,19.019721184974436,79.65062892432553,3,14.438700388290467,79.75563464253044,3,6.0,98.92504984883364
4,4,24.385964912280706,13.9,4,32.51770214875106,22.499999999999996,4,36.469675446050616,58.34081419050272,4,22.707662230740485,65.7,4,19.019721184974436,79.65062892432553,4,14.438700388290467,79.75563464253047,4,6.0,98.92504984883362
5,5,24.385964912280706,13.9,5,32.51770214875106,22.499999999999996,5,36.469675446050616,58.34081419050272,5,22.707662230740485,65.7,5,19.019721184974436,79.65062892432553,5,14.438700388290467,79.75563464253044,5,6.0,98.92504984883364
6,6,24.385964912280706,13.9,6,32.51770214875106,22.499999999999996,6,36.469675446050616,58.34081419050272,6,22.707662230740485,65.7,6,19.019721184974436,79.65062892432553,6,14.438700388290467,79.75563464253045,6,6.0,98.92504984883362
7,7,24.385964912280706,13.9,7,32.51770214875106,22.499999999999996,7,36.469675446050616,58.34081419050272,7,22.707662230740485,65.7,7,19.019721184974436,79.65062892432553,7,14.438700388290467,79.75563464253044,7,6.0,98.92504984883364
8,8,24.385964912280706,13.9,8,32.51770214875106,22.499999999999996,8,36.469675446050616,58.34081419050272,8,22.707662230740485,65.7,8,19.019721184974436,79.65062892432553,8,14.438700388290467,79.75563464253047,8,6.0,98.92504984883364
9,9,24.385964912280706,13.9,9,32.51770214875106,22.499999999999996,9,36.469675446050616,58.34081419050272,9,22.707662230740485,65.7,9,19.019721184974436,79.65062892432553,9,14.438700388290467,79.75563464253044,9,6.0,98.92504984883364
10,10,24.385964912280706,13.9,10,32.51770214875106,22.499999999999996,10,36.469675446050616,58.34081419050272,10,22.707662230740485,65.7,10,19.019721184974436,79.65062892432553,10,14.438700388290467,79.75563464253044,10,6.0,98.92504984883362
11,11,24.385964912280706,13.9,11,32.51770214875106,22.499999999999996,11,36.469675446050616,58.34081419050272,11,22.707662230740485,65.7,11,19.019721184974436,79.65062892432553,11,14.438700388290467,79.75563464253047,11,6.0,98.92504984883364
12,12,24.385964912280706,13.9,12,32.51770214875106,22.499999999999996,12,36.469675446050616,58.34081419050272,12,22.707662230740485,65.7,12,19.019721184974436,79.65062892432553,12,14.438700388290467,79.75563464253044,12,6.0,98.92504984883364
13,13,24.385964912280706,13.9,13,32.51770214875106,22.499999999999996,13,36.469675446050616,58.34081419050272,13,22.707662230740485,65.7,13,19.019721184974436,79.65062892432553,13,14.438700388290467,79.75563464253044,13,6.0,98.92504984883362
14,14,24.385964912280706,13.9,14,32.51770214875106,22.499999999999996,14,36.469675446050616,58.34081419050272,14,22.707662230740485,65.7,14,19.019721184974436,79.65062892432553,14,14.438700388290467,79.75563464253047,14,6.0,98.92504984883362
15,15,24.385964912280706,13.9,15,32.51770214875106,22.499999999999996,15,36.469675446050616,58.34081419050272,15,22.707662230740485,65.7,15,19.019721184974436,79.65062892432553,15,14.438700388290467,79.75563464253044,15,6.0,98.92504984883362
16,16,24.385964912280706,13.9,16,32.51770214875106,22.499999999999996,16,36.469675446050616,58.34081419050272,16,22.707662230740485,65.7,16,19.01972118497444,79.65062892432553,16,14.438700388290467,79.75563464253047,16,6.0,98.92504984883364
17,17,24.385964912280706,13.9,17,32.51770214875106,22.499999999999996,17,36.469675446050616,58.34081419050272,17,22.707662230740485,65.7,17,19.019721184974436,79.65062892432553,17,28.62048744066174,79.75563464253047,17,6.0,98.92504984883364
18,18,24.385964912280706,13.9,18,32.51770214875106,22.499999999999996,18,36.469675446050616,58.34081419050272,18,22.707662230740485,65.7,18,139.73794548127285,79.65062892432553,18,139.92216603952704,79.75563464253044,18,20.606437103529785,98.92504984883362
19,19,30.10612952133421,13.9,19,32.51770214875106,22.499999999999996,19,36.46967544605062,58.34081419050272,19,28.03415090214875,65.7,19,139.73794548127285,79.65062892432553,19,139.9221660395271,79.75563464253045,19,113.94624475809795,98.92504984883364
20,20,30.10612952133421,13.9,20,32.51770214875106,22.499999999999996,20,36.469675446050616,58.34081419050272,20,28.03415090214875,65.7,20,139.73794548127285,79.65062892432553,20,139.92216603952707,79.75563464253042,20,113.94624475809795,98.92504984883364
21,21,30.10612952133421,13.9,21,32.51770214875106,22.499999999999996,21,36.469675446050616,58.34081419050272,21,22.707662230740485,65.7,21,139.73794548127282,79.65062892432553,21,139.92216603952707,79.75563464253042,21,92.29645825405933,98.92504984883362
22,22,24.385964912280706,13.9,22,32.51770214875106,22.499999999999996,22,36.469675446050616,58.34081419050272,22,22.707662230740485,65.7,22,135.73794548127285,79.65062892432553,22,139.92216603952713,79.75563464253047,22,92.29645825405932,98.92504984883362
23,23,30.10612952133421,13.9,23,32.51770214875106,22.499999999999996,23,36.469675446050616,58.34081419050272,23,22.707662230740485,65.7,23,139.73794548127285,79.65062892432553,23,139.92216603952707,79.75563464253042,23,169.55271903304146,98.92504984883364
24,24,30.10612952133421,13.9,24,32.51770214875106,22.499999999999996,24,36.469675446050616,58.34081419050272,24,22.707662230740485,65.7,24,139.73794548127282,79.65062892432553,24,139.92216603952713,79.75563464253047,24,169.55271903304146,98.92504984883364
25,25,24.385964912280706,13.9,25,32.51770214875106,22.499999999999996,25,36.469675446050616,58.34081419050272,25,22.707662230740485,65.7,25,139.73794548127287,79.65062892432553,25,139.92216603952707,79.75563464253042,25,169.55271903304146,98.92504984883362
26,26,24.385964912280706,13.9,26,32.51770214875106,22.499999999999996,26,36.469675446050616,58.34081419050272,26,22.707662230740482,65.7,26,139.73794548127285,79.65062892432553,26,139.92216603952713,79.75563464253047,26,169.55271903304146,98.92504984883364
27,27,24.385964912280706,13.9,27,32.51770214875106,22.499999999999996,27,36.469675446050616,58.34081419050272,27,22.707662230740485,65.7,27,139.73794548127282,79.65062892432553,27,139.92216603952707,79.75563464253042,27,169.55271903304146,98.92504984883364
28,28,24.385964912280706,13.9,28,32.51770214875106,22.499999999999996,28,36.469675446050616,58.34081419050272,28,22.707662230740485,65.7,28,139.73794548127282,79.65062892432553,28,139.9221660395271,79.75563464253045,28,169.55271903304146,98.92504984883362
29,29,24.385964912280706,13.9,29,32.51770214875106,22.499999999999996,29,36.469675446050616,58.34081419050272,29,22.707662230740485,65.7,29,139.73794548127285,79.65062892432553,29,139.92216603952707,79.75563464253042,29,169.55271903304146,98.92504984883362
30,30,24.385964912280706,13.9,30,32.51770214875106,22.499999999999996,30,36.469675446050616,58.34081419050272,30,97.36315789473684,65.7,30,139.73794548127285,79.65062892432553,30,139.92216603952713,79.75563464253047,30,173.55271903304143,98.92504984883362
31,31,24.385964912280706,13.9,31,32.51770214875106,22.499999999999996,31,36.469675446050616,58.34081419050272,31,97.36315789473684,65.7,31,139.73794548127282,79.65062892432553,31,139.92216603952704,79.75563464253042,31,173.55271903304146,98.92504984883364
32,32,34.75000000000001,13.9,32,32.51770214875106,22.499999999999996,32,36.469675446050616,58.34081419050272,32,97.36315789473684,65.7,32,139.73794548127285,79.65062892432553,32,139.9221660395271,79.75563464253045,32,173.55271903304146,98.92504984883364
33,33,34.75000000000001,13.9,33,32.51770214875106,22.499999999999996,33,36.469675446050616,58.34081419050272,33,97.36315789473684,65.7,33,139.73794548127285,79.65062892432553,33,139.92216603952707,79.75563464253042,33,173.55271903304146,98.92504984883364
34,34,34.75000000000001,13.9,34,32.51770214875106,22.499999999999996,34,36.469675446050616,58.34081419050272,34,97.36315789473684,65.7,34,139.73794548127285,79.65062892432553,34,139.92216603952707,79.75563464253042,34,173.55271903304146,98.92504984883364
35,35,34.75000000000001,13.9,35,32.51770214875106,22.499999999999996,35,36.469675446050616,58.34081419050272,35,78.86415789473685,65.7,35,113.187735839831,79.65062892432553,35,139.92216603952707,79.75563464253042,35,173.55271903304146,98.92504984883362
36,36,34.75000000000001,13.9,36,32.51770214875106,22.499999999999996,36,36.469675446050616,58.34081419050272,36,78.86415789473685,65.7,36,113.18773583983099,79.65062892432553,36,139.9221660395271,79.75563464253045,36,173.55271903304146,98.92504984883364
37,37,34.75000000000001,13.9,37,32.51770214875106,22.499999999999996,37,36.469675446050616,58.34081419050272,37,97.36315789473684,65.7,37,139.73794548127285,79.65062892432553,37,139.92216603952713,79.75563464253047,37,173.55271903304146,98.92504984883362
38,38,34.75000000000001,13.9,38,32.51770214875106,22.499999999999996,38,36.469675446050616,58.34081419050272,38,115.26315789473685,65.7,38,139.73794548127285,79.65062892432553,38,139.92216603952707,79.75563464253042,38,173.55271903304146,98.92504984883364
39,39,34.75000000000001,13.9,39,32.51770214875106,22.499999999999996,39,36.469675446050616,58.34081419050272,39,115.26315789473685,65.7,39,163.0401234888429,79.65062892432553,39,161.50516015112416,79.75563464253047,39,173.55271903304146,98.92504984883364
40,40,34.75000000000001,13.9,40,32.51770214875106,22.499999999999996,40,36.469675446050616,58.34081419050272,40,115.26315789473685,65.7,40,163.0401234888429,79.65062892432553,40,161.50516015112416,79.75563464253044,40,247.31262462208406,98.92504984883364
41,41,34.75000000000001,13.9,41,32.51770214875106,22.499999999999996,41,36.469675446050616,58.34081419050272,41,115.26315789473685,65.7,41,199.1265723108138,79.65062892432553,41,199.3890866063261,79.75563464253045,41,247.31262462208406,98.92504984883364
42,42,34.75000000000001,13.9,42,32.51770214875106,22.499999999999996,42,45.02429067413657,58.34081419050272,42,142.3001949317739,65.7,42,199.1265723108138,79.65062892432553,42,199.38908660632606,79.75563464253044,42,247.312624622084,98.92504984883361
43,43,34.75000000000001,13.9,43,32.51770214875106,22.499999999999996,43,45.02429067413657,58.34081419050272,43,164.25,65.7,43,199.1265723108138,79.65062892432553,43,199.38908660632606,79.75563464253044,43,247.31262462208406,98.92504984883364
44,44,34.75000000000001,13.9,44,32.51770214875106,22.499999999999996,44,45.02429067413657,58.34081419050272,44,142.3001949317739,65.7,44,199.1265723108138,79.65062892432553,44,199.3890866063261,79.75563464253045,44,247.31262462208406,98.92504984883364
45,45,34.75000000000001,13.9,45,32.51770214875106,22.499999999999996,45,36.469675446050616,58.34081419050272,45,142.3001949317739,65.7,45,199.1265723108138,79.65062892432553,45,199.38908660632606,79.75563464253044,45,247.31262462208406,98.92504984883364
46,46,34.75000000000001,13.9,46,32.51770214875106,22.499999999999996,46,36.469675446050616,58.34081419050272,46,115.26315789473685,65.7,46,199.1265723108138,79.65062892432553,46,199.3890866063261,79.75563464253045,46,247.31262462208406,98.92504984883364
47,47,34.75000000000001,13.9,47,32.51770214875106,22.499999999999996,47,36.469675446050616,58.34081419050272,47,142.3001949317739,65.7,47,199.1265723108138,79.65062892432553,47,199.38908660632606,79.75563464253044,47,247.31262462208406,98.92504984883364
48,48,34.75000000000001,13.9,48,32.51770214875106,22.499999999999996,48,36.469675446050616,58.34081419050272,48,142.3001949317739,65.7,48,199.1265723108138,79.65062892432553,48,199.38908660632612,79.75563464253044,48,247.312624622084,98.92504984883361
49,49,34.75000000000001,13.9,49,32.51770214875106,22.499999999999996,49,36.469675446050616,58.34081419050272,49,115.26315789473685,65.7,49,199.1265723108138,79.65062892432553,49,199.38908660632606,79.75563464253044,49,247.31262462208406,98.92504984883364
