,2020,2025,2030,2035,2040,2045,2050
river,9.66,9.66,9.66,9.66,9.66,9.66,9.66
lake,8.8,8.8,8.8,8.8,8.8,8.8,8.8
phs,5.2,5.2,5.2,6.7,7.2,7.7,8.2
offshore_f,0.0,0.0,0.0,0.0,12.971273611856805,23.4,30.1
offshore_g,0.0,0.0,0.0,3.9389812214270656,8.5,11.9,15.3
onshore,9.49,11.6,21.58557142397724,32.7,42.099999999999994,51.6,60.4
onshore_V110,,,,,,,
pv_g,6.62,14.156252700755745,23.990000000000002,42.908934905529726,41.16893490552973,46.36609644467699,63.231942893875754
pv_g_ns,,,,,,,
pv_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0
methanization,0.0,0.0,1.961531941729089,2.8736504484773655,3.7104692316474486,4.48110514898961,5.251741066331773
ocgt,7.17063904416999,7.17063904416999,7.171608370617753,21.809710628095768,31.601460815696615,36.18595049978103,42.74060777065552
ccgt,6.5,6.5,5.5,4.5,4.4692361287621525,9.710678746693112,12.579650172288591
coal,2.9,0.0,0.0,0.0,0.0,0.0,0.0
nuclear,61.5,61.5,59.5,52.2,43.1,35.0,29.0
h2_ccgt,0.0,0.0,0.0,0.0,0.0,0.0,0.0
battery1,0.0,0.0,0.0,0.21337094747447466,0.517850662084711,0.8500036205506937,0.8500036205506937
battery4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
electrolysis,0.0,0.547945205479452,2.3208098107497253,3.15866319026414,4.990140887737645,8.269411789130748,9.630999517273487
hydrogen,0.0,0.0,2.2831050228310503,2.6484018264840183,3.0136986301369864,4.433795350774584,5.0647894716113875
methane,80.0,80.0,80.0,80.0,80.0,80.0,80.0
methanation,0.0,0.0,0.0,0.0,1.2439485260101255,1.555913120844044,1.8452838959990576
pyrogazification,0.0,0.0,0.0,0.0,0.0,0.543001841469926,1.6218484947265601
natural_gas,97.62564287293876,99.09431662068313,99.09431662068313,100.89427573821023,128.93188133026004,142.29831934218134,153.2482890400226
geothermal,0.583,0.583,0.583,0.583,0.583,0.583,0.583
central_gas_boiler,7.531667899007223,9.942279343446705,12.125461383643824,13.88771705940071,15.343822400016611,16.74402432755168,18.01975179865956
central_wood_boiler,0.911,0.911,0.911,0.911,0.911,0.911,0.911
uiom,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTES,0.0,0.0,0.0,0.0,0.0,0.0,0.0
