,Switch Electricity-Heat pump water (Thousand households),Switch Electricity-Heat pump air (Thousand households),Switch Electricity-Performance boiler (Thousand households),Switch Natural gas-Performance boiler (Thousand households),Switch Oil fuel-Performance boiler (Thousand households),Switch Wood fuel-Performance boiler (Thousand households)
2019,206.88147937478047,,297.1320048996691,495.7745184367396,,243.6092255765838
2020,209.40761204640188,,293.4256144701381,492.7042496777106,,242.0796193520324
2021,227.7228607879948,,307.1380707280702,478.8681034943181,,216.0330464008164
2022,231.1467536561975,,305.424871870361,466.09666101793107,,219.1923199856136
2023,232.27740647929755,,302.59536619392344,462.42317718536674,,216.62439642760614
2024,256.3116245672738,,275.5606476571129,440.51218009329295,,233.56272084940971
2025,320.09135039689266,,330.2862284866291,243.17906415202398,,304.3866597683814
2026,320.9871468943715,,331.047360351112,246.1023236304714,,291.7949889726998
2027,321.68568735193526,,331.72268816377186,249.07412441615344,,279.4312558562468
2028,322.0581724488356,,332.1331644714722,252.1047481149145,,267.6007612382454
2029,324.79273775868893,,334.1443046731726,256.40899944966554,,257.6142021547411
2030,330.71973494159363,,335.59512038454943,267.2633978692046,,251.20959292589384
2031,333.6167164352065,,337.30679442296974,270.7352169874399,,242.0657325590128
2032,336.1362039536005,,338.77521013114136,274.1913336615214,,233.35949929451579
2033,338.2792901858739,,339.98458976433346,277.62836171664,,225.05904076142306
2034,340.04195220799687,,340.91152426354483,281.04486472216945,,217.14101175009517
2035,341.48902280680556,,334.214220297322,286.18970483940865,,215.02878936581223
2036,340.7426281182774,,334.7406706687836,291.311153315157,,207.4390546454519
2037,339.5603303856023,,334.8036606802172,296.4087306410002,,200.22858475671737
2038,335.47156086656145,,251.47509771155765,276.4537788437913,,233.74038942560344
2039,368.5814901485365,,201.1632827826018,238.7393509456524,,282.7054344986655
2040,368.6652959707064,,192.7187561894907,240.9733614114425,,281.2353890615225
2041,386.9189143409814,,197.69241857749304,235.6429676282826,,255.07337134247024
2042,386.92117296166873,,194.8162969586808,230.13157389655274,,253.75480888713196
2043,386.29109053324163,,192.3904501891072,229.4643526615323,,248.00669043875817
2044,399.12976061416515,,175.66802394686204,217.63263663854363,,256.76516138183393
2045,433.2362237723529,,176.74131564800214,112.34003506542021,,312.53851837869166
2046,434.85736171828336,,177.52853014774192,113.91598517550581,,299.47860035835737
2047,436.2994698069579,,178.37448477314098,115.61102040300882,,286.45139642524714
2048,437.40636454765627,,179.20840584865246,117.43642332190868,,273.77905637104567
2049,441.51836330140486,,181.01852237504227,120.120395815865,,262.9403606089239
