,2020,2025,2030,2035,2040,2045,2050
river,9.66,9.66,9.66,9.66,9.66,9.66,9.66
lake,8.8,8.8,8.8,8.8,8.8,8.8,8.8
phs,5.2,5.2,5.2,6.7,7.2,7.7,8.2
offshore_f,0.0,0.0,0.0,0.0,2.084944275260163,6.857964259399614,19.39857340832591
offshore_g,0.0,0.0,0.0,3.8720145978865963,8.5,11.9,15.3
onshore,9.49,11.6,22.615724380737515,32.7,42.099999999999994,51.6,60.4
onshore_V110,,,,,,,
pv_g,6.62,8.19,23.990000000000002,43.989999999999995,62.25,80.5,78.7
pv_g_ns,,,,,,,
pv_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0
methanization,0.0,0.0,0.4651715292539131,1.475883795697826,3.710469231647448,4.481105148989574,5.251741066331773
ocgt,7.17063904416999,7.17063904416999,5.17063904416999,15.559402286311606,20.807001874063243,28.012639470338435,32.44111326142843
ccgt,6.5,6.5,5.5,5.561429154601386,18.204228293317367,23.367729845961755,29.299160168156234
coal,2.9,0.0,0.0,0.0,0.0,0.0,0.0
nuclear,61.5,61.5,59.5,52.2,43.1,38.53787542990251,29.0
h2_ccgt,0.0,0.0,0.0,0.0,0.0,0.0,2.1567190044217632
battery1,0.0,0.0,0.0,0.4449427166176637,0.7342048588194152,0.9176860683319905,0.9529787350123315
battery4,0.0,0.0,0.0,0.0,0.0,0.0,0.2196094573782903
electrolysis,0.0,0.5479452054794552,2.3301022279861776,3.12993094710016,4.695495621332674,6.840697621652664,10.854023968934362
hydrogen,0.0,0.0,1.4254926980215623,2.6484018264840183,3.0136986301369864,3.835616438356164,8.34992759727923
methane,80.0,80.0,80.0,80.0,80.0,80.0,80.0
methanation,0.0,0.0,0.0,0.0,0.0,1.5877145511799162,1.9646811612338848
pyrogazification,0.0,0.0,0.0,0.0,0.5608763840149263,0.5608763840149263,2.192031053773262
natural_gas,109.70626803454164,109.70626803454164,109.70626803454164,109.70626803454164,109.70626803454164,116.87395700261789,116.87395700261789
geothermal,0.583,0.583,0.583,0.583,0.583,0.583,0.617276634507931
central_gas_boiler,6.116434019939473,8.161471024382534,10.013659604935901,11.507227015926974,12.740949588129874,13.926435064842996,14.489151019065854
central_wood_boiler,0.911,0.911,0.911,0.911,0.911,0.911,1.2584676015546559
uiom,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTES,0.0,0.0,0.0,0.0,0.0,0.0,0.0
