,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049
Stock (Million),28.33536010601379,28.61814682477888,28.900085183403576,29.18117772707653,29.46142699316439,29.740835511594984,30.019405804833298,30.297140387255556,30.574041765953513,30.850112440511882,31.125354903079206,31.567950438275492,32.009218186872936,32.449162132223485,32.88778624574629,33.32509448694723,33.76109080342467,34.19577913095269,34.62916339349712,35.06124750325491,35.49203536068893,35.909639454552675,36.32599073613586,36.74109296387542,37.15494988488998,37.5675652351899,37.97894273947463,38.3890861112484,38.79799905290845,39.205685255734934,39.61214839995427
Stock existing (Million),27.599774506013787,27.51476842477888,27.428913983403575,27.342213727076526,27.254670193164394,27.166285911594983,27.077063404833293,26.987005187255555,26.896113765953512,26.804391640511877,26.7118413030792,26.618465238275487,26.523761386872934,26.427733732223487,26.330386245746286,26.231722886947228,26.131747603424678,26.030464330952686,25.927876993497126,25.823989503254914,25.71880576068893,25.61232965455267,25.504600736135856,25.395622763875423,25.285399484889986,25.1739346351899,25.06123193947463,24.947295111248398,24.83212785290845,24.71573385573494,24.598116799954276
Stock new (Million),0.7355856000000001,1.1033784000000002,1.4711712000000001,1.8389640000000005,2.2067568,2.5745496000000005,2.9423424000000002,3.3101352000000004,3.677928,4.045720800000001,4.4135136,4.9494852,5.485456800000001,6.0214284,6.5574,7.093371600000001,7.6293432,8.165314799999999,8.7012864,9.237258,9.773229599999999,10.2973098,10.82139,11.3454702,11.8695504,12.3936306,12.9177108,13.441791,13.965871199999999,14.489951399999999,15.0140316
Surface (Million m2),2420.462333685543,2447.4746885165905,2474.42490556541,2501.311505500774,2528.1353589220516,2554.8945821186403,2581.6059349542284,2608.2511507663453,2634.834995690123,2661.358265657481,2687.802509273748,2729.960238628574,2771.9979354880206,2813.9168793558356,2855.718323644103,2897.4034972381014,2938.927113109903,2980.293109465848,3021.504139048157,3062.5631952198,3103.454875915208,3143.065296744133,3182.5169424463847,3221.811949942632,3260.952536152722,3299.940838171969,3338.779209373818,3377.472145702916,3416.021795369038,3454.4303115640605,3492.699841535187
Surface existing (Million m2),2351.393446668429,2343.871357990919,2336.287131531183,2328.6392879579894,2320.9286978707096,2313.1534775587415,2305.330386885773,2297.441159189334,2289.4905606045536,2281.4793870633544,2273.389187171065,2265.221078330063,2256.9329369936795,2248.526042665665,2240.001648758104,2231.3609841562743,2222.558761832247,2213.5989199923633,2204.484111378843,2195.217329354657,2185.783171854236,2176.1843149027004,2166.4266828244927,2156.5124125402795,2146.4437209699095,2136.222745208697,2125.8518386300857,2115.335497178723,2104.6758690643856,2093.875107478947,2082.935359669614
Surface new (Million m2),69.06888701711385,103.60333052567076,138.13777403422768,172.6722175427846,207.20666105134154,241.74110455989845,276.27554806845535,310.8099915770122,345.3444350855692,379.8788785941261,414.4133221026831,464.739160298512,515.0649984943408,565.3908366901699,615.7166748859987,666.0425130818277,716.3683512776565,766.6941894734855,817.0200276693143,867.3458658651433,917.6717040609722,966.8809818414323,1016.0902596218924,1065.2995374023524,1114.5088151828127,1163.7180929632727,1212.927370743733,1262.136648524193,1311.3459263046532,1360.5552040851132,1409.7644818655733
Surface Electricity-Heat pump water (Million m2),160.03228659009685,195.74498875398237,232.78718303108616,270.1692000578144,307.6817068511024,347.14079437852155,405.11011937403316,463.2121836143543,521.4407863623636,579.7743537189031,638.4667030268515,712.812130937388,787.4673730959566,862.404020903272,937.5936830466926,1013.0077237574783,1088.9145982509062,1164.952461979362,1241.087392787179,1309.0720344746328,1372.2922251428029,1435.7696516620163,1498.9293520378944,1561.4953018129706,1623.8479226606203,1684.6734046237805,1728.754633994478,1772.8517698793532,1816.9672847963036,1861.1013649576612,1905.2905109773892
Surface Electricity-Performance boiler (Million m2),723.0269322803252,709.6736229890391,698.4605127542724,687.3800928686061,676.3272459175008,663.1877772201707,659.5853879062925,656.4663936624918,653.8183789633722,651.6114522971321,649.7747910172207,647.655096646548,645.8683130700131,644.397792430098,643.227512484525,642.3419970596626,640.3999104737151,638.7664938737557,637.403652519581,633.8876623405162,631.2215824124471,627.7296751392288,623.6814484249194,619.5299057842265,615.46311163413,611.7583141326614,594.7779942038413,577.8246951554647,560.8912505143909,543.9743823141522,527.021266310785
Surface Heating-District heating (Million m2),80.25965256756275,86.47106652498448,92.67215075174728,98.86279872510926,105.04265272943202,111.21166536965973,117.3672894273484,123.50833319889139,129.6338226029114,135.74323401506769,141.8327030163667,147.98961659354734,154.1236092161137,160.23339527943352,166.3175789200891,172.37464520540254,178.41332728036045,184.43152244880685,190.42802131084355,196.4067023342615,202.37269572077892,208.31805966943864,214.2429661081882,220.14963675693429,226.03920283294332,231.91380198176594,237.64364489440786,243.35478397238978,249.04637283958493,254.71748240674944,260.36709373065554
Surface Natural gas-Performance boiler (Million m2),984.5493442486227,978.535480006394,971.4806257425818,963.3527667224224,955.0785081805586,944.9183590632196,899.0999191062607,853.5435030260536,808.2467460967118,763.2062043688549,718.2398308333039,672.0139880599035,625.8491486163304,579.74511493981,533.7017575482196,487.7187721820664,441.79678746673653,395.9501624073849,350.19904789377983,305.65631155539484,267.08301446467067,227.38301651846783,188.92812793333644,151.6390206830125,114.8012753337866,79.86367365208197,79.86367365208197,79.86367365208197,79.86367365208197,79.86367365208197,79.86367365208197
Surface Oil fuel-Performance boiler (Million m2),308.18097994002255,289.4799594707933,271.01432799506773,252.78230568233457,234.7803654277785,217.0032908126432,199.45094683094882,182.11346978986825,164.9887395283029,148.07224370225924,131.1958894367512,114.37671847713,97.62780647288753,80.97139204259527,64.43172937584062,48.03511358035222,31.80507605226313,15.779416034633453,,,,,,,,,,,,,
Surface Wood fuel-Performance boiler (Million m2),164.41313805891295,187.56957077139677,208.01010529065553,228.76434144448694,249.22487981567866,271.4326952744255,300.9922723093447,329.40726747468636,356.70652213646076,382.95077755526347,408.2925919432533,435.11268791405763,461.0616850167193,486.1651637606265,510.4460622687358,533.9252454531398,557.5974135859219,580.4130527219057,602.3860245367734,617.5404845149949,630.4853581745085,643.8648937549814,656.7350479420463,668.9980849054879,680.8010236912422,691.7316437816795,697.739262629009,703.577223043626,709.2532135666769,714.7734082334158,720.1572968642758
Prices Electricity (euro/kWh),0.1743338984,0.17676212842125,0.1779804496312869,0.1807244061941593,0.18276467142978042,0.1846755174740825,0.1773178604602847,0.1773178604602847,0.1773178604602847,0.1773178604602847,0.1773178604602847,0.1805269221842946,0.1805269221842946,0.18052692218429459,0.1805269221842946,0.1805269221842946,0.1875186441745895,0.18751864417458947,0.18751864417458947,0.18751864417458947,0.1875186441745895,0.1986433197317473,0.19864331973174734,0.19864331973174731,0.19864331973174731,0.1986433197317473,0.20656181520754152,0.20656181520754152,0.20656181520754152,0.20656181520754152,0.20656181520754152
Prices Heating (euro/kWh),0.07554741999999999,0.076506872234,0.07747850951137178,0.07846248658216619,0.07945896016175971,0.08046808895581405,0.08149003368555288,0.0825249571133594,0.08357302406869906,0.08463440147437153,0.08570925837309605,0.08679776595443436,0.08790009758205566,0.08901642882134778,0.09014693746737887,0.09129180357321458,0.0924512094785944,0.09362533983897255,0.09481438165492749,0.09601852430194506,0.09723795956057975,0.09847288164699912,0.099723487243916,0.10098997553191373,0.10227254822116903,0.10357140958357787,0.1048867664852893,0.10621882841965247,0.10756780754058205,0.10893391869634743,0.11031737946379103
Prices Natural gas (euro/kWh),0.0918150406,0.09290306447807999,0.09316641783489202,0.0965204787098149,0.09732851321086097,0.09798799615066928,0.09812416484933727,0.09803763997071727,0.09795198034101728,0.09786717730783727,0.09778322230351726,0.10116639212902878,0.10224309878398878,0.10329734883066878,0.10432948374206878,0.10533984038650879,0.11324198852670071,0.11320233639988071,0.1131620386109007,0.1131211120258407,0.1130795732750207,0.12362116169618345,0.12496599699508344,0.12628251734658347,0.12757115455248344,0.12883233462038346,0.12859464331230938,0.12933089789450938,0.13005036460870936,0.13075330558410936,0.13143997937210938
Prices Oil fuel (euro/kWh),0.10588271939999999,0.10756056866120002,0.10851988578441879,0.11258446862406923,0.11411791200326563,0.11551802543092214,0.1169423608208771,0.11839133721307829,0.11986538089686455,0.1213649255363803,0.1228904122981597,0.12590568998091786,0.12921881514758773,0.13255925225964105,0.13592747381373282,0.1393239604807104,0.14274920124702672,0.1446318935586003,0.14654434346716408,0.148487065779146,0.15046058420712527,0.15246543152390854,0.15677854971927216,0.1611240901594156,0.1655026137491735,0.16991469109703422,0.1743609026830129,0.17802883902942904,0.1817321008746382,0.18547129934976941,0.18924705615852044
Prices Wood fuel (euro/kWh),0.06238232,0.063174575464,0.06397689257239278,0.06478939910806217,0.06561222447673457,0.06644549972758908,0.06728935757412946,0.06814393241532091,0.06900936035699547,0.06988577923352932,0.07077332862979514,0.07167214990339352,0.07258238620716662,0.07350418251199763,0.07443768562989997,0.07538304423739971,0.07634040889921469,0.0773099320922347,0.07829176822980609,0.0792860736863246,0.08029300682214092,0.08131272800878211,0.08234539965449364,0.0833911862301057,0.08445025429522805,0.08552277252477743,0.0866089117358421,0.08770884491488729,0.08882274724530635,0.08995079613532174,0.0910931712462403
Consumption standard (TWh),337.0362140477301,332.63618293358337,327.71797166644825,322.8522409664178,318.5533939987985,311.70187655538825,302.647822546923,293.6259890128916,285.0244554450838,276.1534259835421,267.69198626064724,259.7371480743274,252.10189554021898,244.76023860159592,237.68844927199527,230.34548861271304,223.286195769649,216.5301465208856,210.04545066824292,204.44138953135447,199.38259833503383,194.4385207945309,189.70798651864393,185.17667873437927,180.8035753962074,176.66498681843524,174.19186121387426,171.79523733085495,169.46958781847553,167.21011161647078,165.01062282366323
Consumption standard (kWh/m2),139.24456057720934,135.90995833145612,132.4420761080095,129.0731843100771,126.00329838930128,122.00185429839152,117.23238564381785,112.57581116244103,108.17544776477718,103.76409277437858,99.59510988513007,95.14319820453109,90.9459174960877,86.98204285893003,83.23245584273438,79.50065941187887,75.97541115382505,72.6539768297132,69.51685021831943,66.75499459095462,64.24536727837423,61.86270485565401,59.609419195366904,57.475942609771664,55.44501902181005,53.53580427105486,52.17232116601794,50.86503453460787,49.61021854375126,48.40454041197987,47.24443276268888
Consumption (TWh),293.3453682042816,290.9861520453477,288.70530479756997,285.00100591981357,282.7895495440472,279.00182573743245,274.25261754968926,268.8836971298566,263.6888732603448,258.1934615985311,252.87997535772433,246.94802142908614,241.99679383180526,237.22342839821272,232.6123886202891,227.75179182058,221.64649576744512,217.35384773980815,213.18884400507838,209.5515110207457,206.3076461130527,201.48851503744675,198.44629792497463,195.5395503171863,192.7336828494685,190.09478766804182,188.11299671583254,186.9877375104411,185.8993052159826,184.84499392135456,183.82117932697133
Consumption (kWh/m2),121.19394056325434,118.89240506168986,116.67571893098139,113.94062886331906,111.8569654690575,109.20287188760283,106.23333865032804,103.08964957260896,100.07794556079163,97.01567238439623,94.08428427505756,90.45846819847574,87.30049569434505,84.3036374452248,81.45494837301001,78.60547971232876,75.4174864625697,72.93035945003545,70.55719078784308,68.42357125816181,66.4767668169213,64.10573628431025,62.35514264770259,60.692415744707915,59.103492219747565,57.60551385319577,56.341849795785926,55.36322120327225,54.41982409714093,53.50954491759956,52.630110707186994
Consumption existing (TWh),290.80120364845624,287.5379951366233,284.3469898153343,279.75073081237156,276.63336259550624,271.9380047191106,266.23500474779235,259.9368971697863,253.80944604816074,247.3779520532152,241.12491335022276,233.98371037392005,227.77938486368865,221.74867584669062,215.8760188711397,209.74950361078305,202.5142828881527,196.94722005559765,191.5032972628244,186.58252041566203,182.0506662165692,176.2667602231802,172.01190514234088,167.88811482758283,163.8607923772546,159.99602167385916,156.93356528313564,154.57774119065988,152.2544358039626,149.96092785155898,147.69357745609182
