,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049
Stock (Million),28.33536010601379,28.61814682477888,28.900085183403576,29.18117772707653,29.46142699316439,29.740835511594984,30.0194058045026,30.297140386589916,30.57404176501432,30.850112439325034,31.12535490164551,31.567950436589246,32.00921818496194,32.44916213007599,32.887786243371956,33.3250944843597,33.76109080062655,34.19577912794327,34.629163390316705,35.061247499898535,35.49203535715895,35.90963945085949,36.32599073227282,36.74109295984474,37.154949880724686,37.56756523085102,37.97894273501742,38.38908610666846,38.79799904820047,39.205685250892714,39.61214839494149
Stock existing (Million),27.599774506013787,27.51476842477888,27.428913983403575,27.342213727076526,27.254670193164394,27.166285911594983,27.077063404502603,26.987005186589915,26.89611376501432,26.804391639325026,26.71184130164551,26.618465236589245,26.523761384961944,26.427733730075992,26.33038624337195,26.2317228843597,26.131747600626547,26.030464327943267,25.9278769903167,25.82398949989854,25.71880575715895,25.612329650859483,25.504600732272827,25.395622759844745,25.285399480724674,25.17393463085101,25.06123193501742,24.947295106668456,24.832127848200468,24.715733850892715,24.59811679494149
Stock new (Million),0.7355856000000001,1.1033784000000002,1.4711712000000001,1.8389640000000005,2.2067568,2.5745496000000005,2.9423424000000002,3.3101352000000004,3.677928,4.045720800000001,4.4135136,4.9494852,5.485456800000001,6.0214284,6.5574,7.093371600000001,7.6293432,8.165314799999999,8.7012864,9.237258,9.773229599999999,10.2973098,10.82139,11.3454702,11.8695504,12.3936306,12.9177108,13.441791,13.965871199999999,14.489951399999999,15.0140316
Surface (Million m2),2420.462333685543,2447.4746885165905,2474.42490556541,2501.311505500774,2528.1353589220516,2554.8945821186403,2581.6059349364405,2608.257014666102,2634.8531330894043,2661.3956451465074,2687.8675207955425,2730.0622561077043,2772.147613907616,2814.125949396767,2855.9996294598127,2897.7710404076315,2939.3908083764045,2980.8626186471665,3022.189147654912,3063.3734191367353,3104.3990883098572,3144.1507599197157,3183.7510312046534,3223.2016343579935,3262.504241637474,3301.6604327925056,3340.671760132776,3379.544734236065,3418.2815160232344,3456.8843631196582,3495.355666123123
Surface existing (Million m2),2351.393446668429,2343.871357990919,2336.287131531183,2328.6392879579894,2320.9286978707096,2313.1534775587415,2305.330386867984,2297.4470230890897,2289.508698003835,2281.5167665523813,2273.45419869286,2265.323095809192,2257.082615413275,2248.7351127065967,2240.282954573814,2231.7285273258035,2223.0224570987475,2214.1684291736806,2205.1691199855977,2196.0275532715928,2186.727384248885,2177.2697780782833,2167.660771582761,2157.9020969556414,2147.9954264546614,2137.9423398292333,2127.744389389043,2117.408085711872,2106.935589718581,2096.329159034545,2085.5911842575497
Surface new (Million m2),69.06888701711385,103.60333052567076,138.13777403422768,172.6722175427846,207.20666105134154,241.74110455989845,276.27554806845535,310.8099915770122,345.3444350855692,379.8788785941261,414.4133221026831,464.739160298512,515.0649984943408,565.3908366901699,615.7166748859987,666.0425130818277,716.3683512776565,766.6941894734855,817.0200276693143,867.3458658651433,917.6717040609722,966.8809818414323,1016.0902596218924,1065.2995374023524,1114.5088151828127,1163.7180929632727,1212.927370743733,1262.136648524193,1311.3459263046532,1360.5552040851132,1409.7644818655733
Surface Electricity-Heat pump water (Million m2),160.03228659009685,195.74498875398237,232.78718303108616,270.1692000578144,307.6817068511024,347.14079437852155,393.3156485977508,439.5603741091727,485.85928128581713,532.1816031367986,578.7076960075319,640.3371606009609,702.1586970687152,764.1380683723726,826.2407305626363,888.4314898481322,950.7092544030261,1012.8903787279306,1074.9320534587478,1129.6340636334567,1181.3615867242745,1233.0054516539324,1284.5549834741507,1335.7458483001476,1386.7218066949513,1436.717080994976,1484.2188489713444,1531.7598109574283,1579.340123765474,1626.9576249238135,1674.662384195061
Surface Electricity-Performance boiler (Million m2),723.0269322803252,709.6736229890391,698.4605127542724,687.3800928686061,676.3272459175008,663.1877772201707,655.8918495300679,648.9582916735081,642.3715898165837,636.0973898384212,630.0443513721082,623.7803627431655,617.6870233812008,611.742838872741,605.9266731024987,600.2180314614462,593.937123232538,587.7281117860365,581.5583625418108,573.4111646969698,566.7291121256667,559.6940178837858,552.1039484791705,544.423060977556,536.7566239284025,529.6114565780052,518.5852856625818,507.6068655924417,496.66762775779375,485.76322352474597,474.85364876181217
Surface Heating-District heating (Million m2),80.25965256756275,86.47106652498448,92.67215075174728,98.86279872510926,105.04265272943202,111.21166536965973,117.3672894273484,123.50917086712316,129.63641870984816,135.74860057609368,141.84205104899718,148.00423517620752,154.14522278119028,160.26393400562384,166.359198414901,172.4297462450296,178.48339312893825,184.51847988674646,190.533826857257,196.53362932789935,202.52196961616792,208.49065095431246,214.4404591399017,220.37326670262607,226.28984973488775,232.19188456448353,238.04042134138123,243.8721745638125,249.68686306613117,255.4842934381909,261.2643530691537
Surface Natural gas-Performance boiler (Million m2),984.5493442486227,978.535480006394,971.4806257425818,963.3527667224224,955.0785081805586,944.9183590632196,914.5700901461204,884.8855082980695,855.8683572034109,827.5222388807409,799.7528167379678,771.6439335042497,744.062103076056,717.0121486003999,690.49930396228,664.5291250597795,639.210703197976,614.5723904297328,590.6324849653022,566.82277619132,546.2998340560291,524.9807517524853,504.635645869528,485.16090007762637,466.21611783952187,448.34650250455974,437.57052023738197,426.79752339540653,416.02788366953695,405.26128626848185,394.4622702874969
Surface Oil fuel-Performance boiler (Million m2),308.18097994002255,289.4799594707933,271.01432799506773,252.78230568233457,234.7803654277785,217.0032908126432,199.45094683094882,182.11689823725655,164.99841994011797,148.09034197944408,131.22404537290333,114.41561386124192,97.67732860038515,81.02981836702862,64.49543516126514,48.0982666182719,31.85883982452483,15.812915424560686,,,,,,,,,,,,,
Surface Wood fuel-Performance boiler (Million m2),164.41313805891295,187.56957077139677,208.01010529065553,228.76434144448694,249.22487981567866,271.4326952744255,301.0101104042036,329.2267714809722,356.1190661336262,381.755470735009,406.2965602560341,431.88095022187883,456.41723900006855,479.93914117860095,502.4782882562317,524.0643811749715,545.1914945894009,565.3403423921591,584.5324198317937,596.9717852870896,607.4865857877188,617.9798876751998,628.0159942419024,637.4985583000378,646.5198434397109,654.7935081504817,662.2566839200867,669.5083597269756,676.5590177642987,683.4179349644261,690.1130098095995
Prices Electricity (euro/kWh),0.1743338984,0.17676212842125,0.1779804496312869,0.1807244061941593,0.18276467142978042,0.1846755174740825,0.17741856096106565,0.17741856096106565,0.17741856096106565,0.17741856096106565,0.17741856096106565,0.17914410899654246,0.17914410899654246,0.17914410899654243,0.17914410899654246,0.17914410899654246,0.18293837800581844,0.18293837800581841,0.18293837800581841,0.18293837800581841,0.18293837800581844,0.19013108616898014,0.1901310861689802,0.19013108616898017,0.19013108616898017,0.19013108616898014,0.19646524741250124,0.19646524741250124,0.19646524741250124,0.19646524741250124,0.19646524741250124
Prices Heating (euro/kWh),0.07554741999999999,0.076506872234,0.07747850951137178,0.07846248658216619,0.07945896016175971,0.08046808895581405,0.08149003368555288,0.0825249571133594,0.08357302406869906,0.08463440147437153,0.08570925837309605,0.08679776595443436,0.08790009758205566,0.08901642882134778,0.09014693746737887,0.09129180357321458,0.0924512094785944,0.09362533983897255,0.09481438165492749,0.09601852430194506,0.09723795956057975,0.09847288164699912,0.099723487243916,0.10098997553191373,0.10227254822116903,0.10357140958357787,0.1048867664852893,0.10621882841965247,0.10756780754058205,0.10893391869634743,0.11031737946379103
Prices Natural gas (euro/kWh),0.0918150406,0.09290306447807999,0.09316641783489202,0.0965204787098149,0.09732851321086097,0.09798799615066928,0.09812416484933727,0.09803763997071727,0.09795198034101728,0.09786717730783727,0.09778322230351726,0.10116639212902878,0.10224309878398878,0.10329734883066878,0.10432948374206878,0.10533984038650879,0.11324198852670071,0.11320233639988071,0.1131620386109007,0.1131211120258407,0.1130795732750207,0.12362116169618345,0.12496599699508344,0.12628251734658347,0.12757115455248344,0.12883233462038346,0.12859464331230938,0.12933089789450938,0.13005036460870936,0.13075330558410936,0.13143997937210938
