,2020,2025,2030,2035,2040,2045,2050
offshore_f,0.0,0.0,0.0,0.0,0.0,0.0916772914995096,1.606189839407905
offshore_g,0.0,0.0,0.0,0.21066693510508744,0.4335,0.5593,0.6273000000000001
onshore,0.355875,0.435,0.7997835837170237,1.1445,1.3682499999999997,1.548,1.661
pv_g,0.06951,0.14331533391299617,0.25189500000000004,0.42285151507435015,0.5871256535810846,0.6122159167755887,0.5629039213991672
pv_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0
river,0.143451,0.143451,0.143451,0.143451,0.143451,0.143451,0.143451
lake,0.132,0.132,0.132,0.132,0.132,0.132,0.132
methanization,0.0,0.0,0.7229184754047131,1.3557590752271735,1.762287361570704,2.1283008905123078,2.4943144194545828
ocgt,0.1434127808833998,0.1434127808833998,0.1034127808833998,0.271410915919609,0.3965715899638391,0.48959418296164087,0.7231118077363453
ccgt,0.26,0.26,0.22,0.18,0.43168557494256043,0.5997942763559639,0.8921250444590731
nuclear,8.413039576758264,8.413014217347444,8.139408435636046,7.1407916753508,6.46589343984045,6.155850833862545,3.837812656105353
h2_ccgt,0.0,0.0,0.0,0.0,0.0,0.0,0.0
phs,0.078,0.078,0.078,0.1005,0.108,0.1155,0.12299999999999998
battery1,0.0,0.0,0.0,0.0006692087811012885,0.0015690864945967207,0.0016290877513185724,0.005826704056939356
battery4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
methanation,0.0,0.0,0.0,0.0,0.1125912510790132,0.1379555601984806,0.1660152614791744
pyrogazification,0.0,0.0,0.0,0.0,0.2005876373910087,0.7179571014626297,1.1076771320926793
electrolysis,0.0,0.006575342465753424,0.027570952706207564,0.03719006271137557,0.04652926410095065,0.07764478199539623,0.11473080707617589
natural_gas,2.142643784159387,2.9386506085379867,2.260527801976952,1.9680325011853828,1.549999250853184,0.9564087856414528,0.5681253842094596
coal,0.04548662420291762,0.0,0.0,0.0,0.0,0.0,0.0
hydrogen,0.0,0.0,0.0019006442869952153,0.021653555191666937,0.026745076856992928,0.03495560849189199,0.05510835645224537
methane,0.0,0.0,0.013921114173813486,0.026706266934224215,0.05238484134261649,0.07623140320175947,0.10110667009746196
geothermal,8.535790473035601e-05,7.073971396689202e-05,0.0003661096843729708,0.00025167034124222454,0.1503799999999998,0.16059999999999985,0.17227999999999527
central_gas_boiler,0.011621224637884998,0.015506794946326813,0.019031511130580592,0.02188866596083639,0.024260199850357968,0.026542447399760284,0.026542447399760284
central_wood_boiler,0.0017308999999999998,0.0017308999999999998,0.0017308999999999998,0.0017308999999999998,0.0017308999999999998,0.0017308999999999998,0.004393151359955347
uiom,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTES,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oil,0.8359405327033227,1.2976291080046287,0.6845174007953816,0.21829572439202455,0.0,0.0,0.0
wood,4.087357426819544,4.734241030211594,5.580480999900337,6.177936935101597,6.748017980667179,6.8016762509528235,7.247079806619036
health_costs,6.031123678336662,5.0962418152498,3.319273365312033,2.057997039309017,1.2694841709805245,0.7331322615777099,0.3467854077577249
