,2020,2025,2030,2035,2040,2045,2050
offshore_f,0.0,0.0,0.0,0.0,0.0,0.17829497758779356,1.6504564736426648
offshore_g,0.0,0.0,0.0,0.28977085992979745,0.4335,0.5593,0.6273000000000001
onshore,0.355875,0.435,0.7708072565695804,1.1445,1.3682499999999997,1.548,1.661
pv_g,0.06951,0.1432921331065915,0.25189500000000004,0.43989999999999996,0.5111966756773304,0.5555445822581164,0.5953107159252542
pv_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0
river,0.143451,0.143451,0.143451,0.143451,0.143451,0.143451,0.143451
lake,0.132,0.132,0.132,0.132,0.132,0.132,0.132
methanization,0.0,0.0,1.0302603036876319,1.3962738326290371,1.762287361570704,2.1283008905123078,2.4943144194545455
ocgt,0.1434127808833998,0.1434127808833998,0.1034127808833998,0.2402448442874358,0.36987656545648806,0.4766400390990006,0.6788897197828192
ccgt,0.26,0.26,0.22,0.18,0.3309887221199813,0.5387142332745516,0.876613025525997
nuclear,8.413039576758258,8.413013849638313,8.13940929113408,7.140787826712778,6.705049721697418,6.1558471124455965,3.8027934354511803
h2_ccgt,0.0,0.0,0.0,0.0,0.0,0.0,0.03661982716675663
phs,0.078,0.078,0.078,0.1005,0.108,0.1155,0.12299999999999998
battery1,0.0,0.0,0.0,0.0029688890865445165,0.0029688890865445165,0.0029688890865445165,0.007215066556540902
battery4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
methanation,0.0,0.0,0.0,0.07559856792688463,0.11218736867823344,0.13677825193112977,0.1628396695509054
pyrogazification,0.0,0.0,0.0,0.0,0.5538385660463396,0.8307052403241817,1.1076771320926793
electrolysis,0.0,0.006575342465753426,0.02744955828676133,0.03719461128246933,0.06232686893308595,0.0911439426068888,0.10632683354329052
natural_gas,2.1425302261776773,2.9381895002728893,2.260581922227016,1.968135443761828,1.5500964410471405,0.9565215058502797,0.568219186544758
coal,0.045486624202922495,0.0,0.0,0.0,0.0,0.0,0.0
hydrogen,0.0,0.0,0.0016244888113977527,0.02159197519750411,0.02696737103722543,0.035321502035669736,0.05614772162122486
methane,0.0,0.0,0.019756013766743477,0.034557568273669015,0.05816657919637079,0.07695222007694937,0.09653490332802397
geothermal,0.0,0.0,0.12994,0.14016,0.15037999999999999,0.16059999999999966,0.17227999999999255
central_gas_boiler,0.009331704312356779,0.011824310272863145,0.012850310594290412,0.014890224058802394,0.014890224058802394,0.014890224058802394,0.014890224058802394
central_wood_boiler,0.0017308999999999998,0.0017308999999999998,0.0017308999999999998,0.0017308999999999998,0.0038927593465512968,0.007396245129291396,0.010238446858852666
uiom,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTES,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oil,0.8359405377590887,1.2976291158526496,0.6845039835682339,0.2182421496966216,0.0,0.0,0.0
wood,4.087911917986205,4.735928806650533,5.384358066661148,5.793072171815404,6.338827079334615,6.886902630974473,7.34531797087664
health_costs,6.031123678336662,5.0962418152498,3.2579390350747857,1.9770871214948809,1.1969043229136096,0.6801172531265537,0.3292441886853977
