,2020,2025,2030,2035,2040,2045,2050
river,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lake,0.0,0.0,0.0,0.0,0.0,0.0,0.0
phs,0.0,0.0,0.0,1.5,0.5,0.5,0.4999999999999991
offshore_f,0.0,0.0,0.0,0.21510167074694136,13.135921251224046,6.563787728792512,10.185189349236502
offshore_g,0.0,0.0,0.3543289537431474,4.745671046256852,3.4000000000000004,3.4000000000000004,3.4000000000000004
onshore,0.0,0.0,11.6,11.600000000000001,11.59999999999999,11.600000000000001,11.600000000000001
onshore_V110,,,,,,,
pv_g,0.0,6.099623494744016,9.700376505255987,19.999999999999993,2.0070554609208173,20.655053594561522,16.26255445643062
pv_g_ns,,,,,,,
pv_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0
methanization,0.0,0.0,1.441717408165677,0.8361535253320591,0.7444182447087946,1.4588159707830735,0.7706359173421689
ocgt,1.1706390441699899,0.0,4.935688238233693,19.661469606170204,10.180397852623788,7.235007151130596,6.415245699613585
ccgt,0.0,0.0,0.0,0.0,5.527907878342374,9.04000496720367,1.7153122737487578
coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nuclear,0.0,0.0,0.0,0.0,0.0,0.0,13.5
h2_ccgt,0.0,0.0,0.0,0.0,0.0,0.0,0.0
battery1,0.0,0.0,0.0,0.47086269093033845,0.09562943624051595,0.0,1.068291854059518
battery4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
electrolysis,0.0,0.5479452054794519,1.8400771436839771,1.3809132434604514,2.0525551885535336,4.390467481647739,0.754251782836949
hydrogen,0.0,0.0,2.2831050228310503,0.365296803652968,0.365296803652968,3.3626431943320028,0.02365817553101124
methane,0.0,0.0,0.0,0.0,0.0,0.0,0.0
methanation,0.0,0.0,0.0,0.0,1.038541514048355,0.5851385571840693,0.24245173436297152
pyrogazification,0.0,0.0,0.0,0.0,0.0,0.0,0.1472239690584478
natural_gas,97.62564287293876,2.0443379446461165,0.0,22.261899076377446,13.81090464887923,14.099357820579314,9.18323423161138
geothermal,0.0,0.0,0.0,0.0,0.0,0.0,0.0
central_gas_boiler,6.093667899007223,2.4279878687123393,2.2954827387972205,1.9225972543648702,1.6864462313887234,1.6800265135983121,1.4270625992577415
central_wood_boiler,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uiom,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTES,0.0,0.0,0.0,0.0,0.0,0.0,0.0
