,2020,2025,2030,2035,2040,2045,2050
river,9.66,9.66,9.66,9.66,9.66,9.66,9.66
lake,8.8,8.8,8.8,8.8,8.8,8.8,8.8
phs,5.2,5.2,5.2,6.7,7.2,7.7,8.2
offshore_f,0.0,0.0,0.0,0.0,0.0,3.0014784250228828,29.69352273711207
offshore_g,0.0,0.0,0.0,4.945420088245425,8.5,11.9,15.3
onshore,9.49,11.6,20.542835346905346,32.7,42.099999999999994,51.6,60.4
onshore_V110,,,,,,,
pv_g,6.62,13.649079420285352,23.990000000000002,43.989999999999995,52.73595422254715,61.654146038684665,70.40545580951719
pv_g_ns,,,,,,,
pv_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0
methanization,0.0,0.0,2.1691973969631233,2.939833314305286,3.7104692316474486,4.481105148989611,5.251741066331703
ocgt,7.17063904416999,7.17063904416999,5.17063904416999,11.810165965118676,18.328310530875804,23.509230935719366,33.59198795203642
ccgt,6.5,6.5,5.5,4.5,7.835225072187009,13.480210566202992,22.182383452311143
coal,2.9,0.0,0.0,0.0,0.0,0.0,0.0
nuclear,61.5,61.5,59.5,52.2,49.305152286496,45.0,29.0
h2_ccgt,0.0,0.0,0.0,0.0,0.0,0.0,0.7595543889831045
battery1,0.0,0.0,0.0,0.15041873033190503,0.15041873033190503,0.15041873033190503,0.6942399232016362
battery4,0.0,0.0,0.0,0.0,0.0,0.0,0.31085149545084567
electrolysis,0.0,0.547945205479452,2.2853508983604085,3.098063384232166,5.1476153216522675,7.671232876712328,8.907063171800658
hydrogen,0.0,0.0,0.708281908625023,2.6484018264840183,3.0136986301369864,3.835616438356164,5.898761605281582
methane,80.0,80.0,80.0,80.0,80.0,80.0,80.0
methanation,0.0,0.0,0.0,0.7531819060332297,1.191243085647418,1.460959558576193,1.758445838528942
pyrogazification,0.0,0.0,0.0,0.0,1.096015526886631,1.6440232903299463,2.192031053773262
natural_gas,109.70626803454164,109.70626803454164,109.70626803454164,109.70626803454164,109.70626803454164,109.70626803454164,119.15257423073663
geothermal,0.583,0.583,0.583,0.583,0.583,0.583,0.6161764182476204
central_gas_boiler,6.116434019939473,8.161471024382534,10.013680431654022,11.50818549268001,11.82053352827578,11.82053352827578,11.82053352827578
central_wood_boiler,0.911,0.911,0.911,0.911,1.865042638330889,3.8622396944330153,5.492670206127987
uiom,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTES,0.0,0.0,0.0,0.0,0.0,0.0,0.0
