,Switch Electricity-Heat pump water (Thousand households),Switch Electricity-Heat pump air (Thousand households),Switch Electricity-Performance boiler (Thousand households),Switch Natural gas-Performance boiler (Thousand households),Switch Oil fuel-Performance boiler (Thousand households),Switch Wood fuel-Performance boiler (Thousand households)
2019,206.88147937478047,,297.1320048996691,495.7745184367396,,243.6092255765838
2020,209.40761204640188,,293.4256144701381,492.7042496777106,,242.0796193520324
2021,227.7228607879948,,307.1380707280702,478.8681034943181,,216.0330464008164
2022,231.1467536561975,,305.424871870361,466.09666101793107,,219.1923199856136
2023,232.27740647929755,,302.59536619392344,462.42317718536674,,216.62439642760614
2024,256.3116245672738,,275.5606476571129,440.51218009329295,,233.56272084940971
2025,258.73880424656346,,288.735313147419,430.6205476264316,,219.848637783513
2026,260.9020967489907,,289.55727752380847,426.51080667077076,,212.95654788841102
2027,262.94772000377094,,290.3986119819197,422.4012912054064,,206.15545463592449
2028,264.79950009820016,,291.1264476545751,418.27154359367285,,199.68223725764352
2029,268.7748561285599,,293.2982422155014,416.19602915305666,,194.65266921236477
2030,276.7707479956239,,296.96219589453847,417.6321585906234,,193.33520304409254
2031,282.47638033284494,,299.98930507828123,410.3795100145353,,190.7151118393159
2032,287.86717264300864,,302.9355715381036,403.3426083853706,,188.04987357338698
2033,292.92557527298214,,305.7800903254979,396.5132098519721,,185.33630931752558
2034,297.6302626715431,,308.4931067376545,389.88312864600624,,182.58294275660216
2035,301.111677754358,,306.07496309246915,386.541919383798,,182.45923767992824
2036,302.4420933610081,,307.7934949607215,384.7370000609973,,178.32113680029107
2037,303.4577436756922,,309.1867415868712,382.793168201703,,174.40231536394452
2038,312.32276540457497,,236.3824984360481,325.2477799347872,,223.0466293333048
2039,350.0526001111723,,188.93222381455433,276.35730407111566,,276.41476129531856
2040,351.1101385469568,,180.23792234882401,276.28394557143855,,276.1333904312613
2041,372.2961649842495,,186.95463130172288,263.9115382239433,,251.83755098446434
2042,374.93249765381205,,185.75099702718353,252.0597841480063,,252.2654522244913
2043,376.5427852702108,,184.8290987242629,245.93819763755647,,247.86871704461018
2044,391.766581731998,,169.80332136922,228.63953661137327,,257.75414572318385
2045,396.97917512625503,,170.72372787900397,223.24961769738144,,246.4831227775944
2046,399.58563816820816,,171.50159769612418,218.8171410659756,,237.92182087666797
2047,402.02856149422774,,172.35996973350004,214.58688468978607,,229.44771715996256
2048,404.21116831094116,,173.24983419637078,210.5445654385211,,221.28394608506886
2049,409.20850223808134,,175.0818493921066,207.88380089319122,,214.75093862465891
