,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049
Stock (Million),28.335360105731453,28.618146824270543,28.900085182626274,29.18117772598538,29.461426991789345,29.740835509912177,30.019405802471006,30.297140384290632,30.57404176239351,30.850112436403062,31.125354898500202,31.567950433269356,32.0092181813965,32.44916212629169,32.88778623935955,33.3250944801289,33.76109079623935,34.19577912342939,34.62916338564047,35.06124749513943,35.49203535231927,35.909639445927574,36.32599072730021,36.74109295480542,37.154949875644974,37.56756522571988,37.978942729755126,38.38908610128954,38.79799904273125,39.20568524536128,39.61214838939673
Stock existing (Million),27.599774505731453,27.51476842427054,27.428913982626266,27.342213725985374,27.254670191789348,27.166285909912173,27.077063402470998,26.987005184290627,26.896113762393504,26.804391636403057,26.711841298500207,26.618465233269355,26.523761381396493,26.427733726291688,26.33038623935955,26.231722880128903,26.131747596239354,26.030464323429396,25.92787698564046,25.823989495139447,25.718805752319277,25.612329645927577,25.50460072730021,25.395622754805416,25.285399475644976,25.173934625719884,25.061231929755127,24.94729510128954,24.83212784273125,24.715733845361285,24.598116789396727
Stock new (Million),0.7355856000000001,1.1033784000000002,1.4711712000000001,1.8389640000000005,2.2067568,2.5745496000000005,2.9423424000000002,3.3101352000000004,3.677928,4.045720800000001,4.4135136,4.9494852,5.485456800000001,6.0214284,6.5574,7.093371600000001,7.6293432,8.165314799999999,8.7012864,9.237258,9.773229599999999,10.2973098,10.82139,11.3454702,11.8695504,12.3936306,12.9177108,13.441791,13.965871199999999,14.489951399999999,15.0140316
Surface (Million m2),2420.462389175223,2447.4624163920253,2474.3866602477005,2501.235319525447,2528.0085558610153,2554.7065096358942,2581.3293034721964,2607.8760191390274,2634.34639742719,2660.7401337527217,2687.0568869406175,2729.087650553393,2770.996486811336,2812.7829283439037,2854.4464606649894,2895.9865703087517,2937.402763161223,2978.6953826258755,3019.8639951447517,3060.9082377606474,3101.825034504051,3141.4977844802706,3181.047136730769,3220.4733817931524,3259.7770424687756,3298.9585918139305,3338.018568065483,3376.957746233441,3415.7766836721353,3454.475950693602,3493.056132284726
Surface existing (Million m2),2351.3935021581083,2343.859085866355,2336.248886213473,2328.563101982663,2320.8018948096737,2312.965405075996,2305.0537554037414,2297.0660275620157,2289.0019623416206,2280.861255158596,2272.643564837934,2264.348490254881,2255.931488316995,2247.392091653733,2238.7297857789913,2229.944057226924,2221.0344118835665,2212.0011931523895,2202.8439674754372,2193.5623718955035,2184.153330443079,2174.616802638838,2164.9568771088766,2155.173844390799,2145.268227285963,2135.2404988506582,2125.09119732175,2114.8210977092476,2104.4307573674823,2093.920746608489,2083.291650419153
Surface new (Million m2),69.06888701711385,103.60333052567076,138.13777403422768,172.6722175427846,207.20666105134154,241.74110455989845,276.27554806845535,310.8099915770122,345.3444350855692,379.8788785941261,414.4133221026831,464.739160298512,515.0649984943408,565.3908366901699,615.7166748859987,666.0425130818277,716.3683512776565,766.6941894734855,817.0200276693143,867.3458658651433,917.6717040609722,966.8809818414323,1016.0902596218924,1065.2995374023524,1114.5088151828127,1163.7180929632727,1212.927370743733,1262.136648524193,1311.3459263046532,1360.5552040851132,1409.7644818655733
Surface Electricity-Heat pump water (Million m2),151.83466694051637,179.37446493783943,207.1718748186703,235.24200692389272,263.61326395182067,292.281269052584,321.2413920180799,350.51107853068095,380.06942363178126,409.9084772364018,440.0760801750412,485.332797719371,531.0252048374786,577.1275950214462,623.6118411741235,670.4482036247916,717.7488472270405,765.3581360238919,813.2435597472311,858.926715850568,905.0080779535468,951.422621138305,997.7335036287315,1043.9144304028378,1089.9522142785627,1135.834084673275,1181.6924868755048,1227.3780552862552,1272.9011071511047,1318.2686924343234,1363.5197823467172
Surface Electricity-Performance boiler (Million m2),736.3341236889127,736.9178130254733,737.9997162263682,739.5789970222303,741.686930013673,744.2669836117258,749.683833044286,756.1167497545674,763.4975035837277,771.7929935989679,781.0752184774949,790.7443963992826,801.5695458318977,813.4575384661844,826.3178733942879,840.0545415164321,853.1308148632847,866.9469131846987,881.4217517280133,887.7794921583676,893.821856684243,898.1756924331944,902.3236172320919,906.2046984665368,909.7689788977194,913.0040343234376,914.3427438814765,915.237016934995,915.7127503197802,915.7784671398167,915.4388729242257
Surface Heating-District heating (Million m2),80.25963780310207,86.47358526412482,92.6801756275189,98.87940179617948,105.07125580612806,111.2557329109443,117.43281808596902,123.60291870312227,129.76613346786363,135.92255803848818,142.0721009689859,148.30206550572967,154.52473040055068,160.74018494882156,166.94852813022155,173.14987178743928,179.34434565802638,185.53173088652613,191.71219532853743,197.89039255636004,204.05657528229744,210.21060616307008,216.3573452033781,222.4969912451459,228.6296292690737,234.75561319918347,240.87196689076885,246.98084799341044,253.08262019365156,259.17754571665733,265.26571166196277
Surface Natural gas-Performance boiler (Million m2),991.5988921857453,991.105131079313,988.9210057514086,985.0532050903486,979.4426632664357,972.2506937219393,962.2471512938076,950.5166742154065,937.2796328733014,922.6718990193718,906.7292628396796,888.974378217774,869.6006053903224,848.8085674770705,826.7653200458452,803.6400740966524,780.0271226675768,755.5751454608198,730.3996082634962,703.5403321405322,676.5483137246907,649.0613456622918,622.2041877677983,596.0436021650802,570.6202099299187,545.9337963206178,522.8585138666185,500.63726783015295,479.20633609579266,458.5271209089443,438.5168441871304
Surface Oil fuel-Performance boiler (Million m2),308.18123427139733,289.49024608269156,271.043053227709,252.8353608062635,234.86253740532894,217.1196812638886,199.6016034640639,182.30402433412303,165.2213550279578,148.3477038379101,131.51951205019697,114.74803306577957,98.04122329960657,81.41384126963872,64.88097116537368,48.457886843791655,32.15990783519798,16.002127002243952,,,,,,,,,,,,,
Surface Wood fuel-Performance boiler (Million m2),152.25383428554878,164.10117600258374,176.57083459602555,189.64634788653228,203.33190541762892,217.5321490748125,231.12250556599,244.82457360112767,258.5123488425578,272.0965020215824,285.5847124292186,300.98597964545644,316.2351770514802,331.2352011607416,345.92192675513803,360.2359924396451,374.99172491009676,389.2813300676947,403.0868800774732,412.77130505481927,422.39021085927305,432.62751908340925,442.4284828987695,451.81365951355133,460.80601009350113,469.43106329741715,478.25285655111423,486.72455818862704,494.8738699118061,502.7241244938604,510.3149211646903
Prices Electricity (euro/kWh),0.1699519275,0.17176297852125,0.1735984787312869,0.1754587581941593,0.17734415142978044,0.1792549974740825,0.17192151082522622,0.17192151082522622,0.17192151082522622,0.17192151082522622,0.17192151082522625,0.17366414130259067,0.17366414130259067,0.17366414130259064,0.17366414130259067,0.17366414130259064,0.178650923796888,0.17865092379688796,0.17865092379688796,0.17865092379688796,0.178650923796888,0.18830003949528387,0.1883000394952839,0.1883000394952839,0.18830003949528387,0.18830003949528387,0.19506389529479165,0.19506389529479162,0.19506389529479162,0.19506389529479165,0.19506389529479162
