,hour,elec_spot_price_2020,CH4_spot_price_2020,hour,elec_spot_price_2025,CH4_spot_price_2025,hour,elec_spot_price_2030,CH4_spot_price_2030,hour,elec_spot_price_2035,CH4_spot_price_2035,hour,elec_spot_price_2040,CH4_spot_price_2040,hour,elec_spot_price_2045,CH4_spot_price_2045,hour,elec_spot_price_2050,CH4_spot_price_2050
0,0,34.75000000000001,13.9,0,32.51770214875117,22.499999999999996,0,36.120740529564166,77.35068414466896,0,28.68551381626413,79.55773019158963,0,7.407407407407407,112.63229819376379,0,7.017543859649122,102.32003418118097,0,7.017543859649122,412.4361584554038
1,1,30.10612952133421,13.9,1,32.51770214875117,22.499999999999996,1,36.120740529564166,77.35068414466896,1,28.68551381626413,79.55773019158963,1,6.0,112.6322981937638,1,6.0,102.32003418118097,1,7.017543859649122,412.4361584554038
2,2,30.10612952133421,13.9,2,32.51770214875117,22.499999999999996,2,36.120740529564166,77.35068414466896,2,28.68551381626413,79.55773019158963,2,6.0,112.6322981937638,2,6.0,102.32003418118097,2,6.0,412.4361584554038
3,3,24.385964912280706,13.9,3,32.51770214875117,22.499999999999996,3,36.120740529564166,77.35068414466896,3,28.68551381626413,79.55773019158963,3,6.0,112.6322981937638,3,6.0,102.32003418118097,3,6.0,412.4361584554038
4,4,24.385964912280706,13.9,4,32.51770214875117,22.499999999999996,4,36.120740529564166,77.35068414466896,4,28.685513816264127,79.55773019158963,4,6.0,112.63229819376379,4,6.0,102.32003418118097,4,6.0,412.4361584554038
5,5,24.385964912280706,13.9,5,32.51770214875117,22.499999999999996,5,36.120740529564166,77.35068414466896,5,28.68551381626413,79.55773019158963,5,6.0,112.6322981937638,5,6.0,102.32003418118099,5,6.0,412.4361584554038
6,6,24.385964912280706,13.9,6,32.51770214875117,22.499999999999996,6,36.120740529564166,77.35068414466896,6,28.68551381626413,79.55773019158963,6,6.0,112.6322981937638,6,6.0,102.32003418118097,6,6.0,412.4361584554038
7,7,24.385964912280706,13.9,7,32.51770214875117,22.499999999999996,7,36.120740529564166,77.35068414466896,7,28.68551381626413,79.55773019158963,7,6.0,112.63229819376379,7,6.0,102.32003418118097,7,7.017543859649122,412.4361584554038
8,8,24.385964912280706,13.9,8,32.51770214875117,22.499999999999996,8,36.120740529564166,77.35068414466896,8,28.68551381626413,79.55773019158963,8,6.0,112.6322981937638,8,6.0,102.32003418118097,8,6.0,412.43615845540387
9,9,24.385964912280706,13.9,9,32.51770214875117,22.499999999999996,9,36.120740529564166,77.35068414466896,9,28.68551381626413,79.55773019158963,9,6.0,112.63229819376379,9,6.0,102.32003418118097,9,6.0,412.4361584554038
10,10,24.385964912280706,13.9,10,32.51770214875117,22.499999999999996,10,36.120740529564166,77.35068414466896,10,28.68551381626413,79.55773019158963,10,6.0,112.6322981937638,10,6.0,102.32003418118097,10,6.0,412.4361584554038
11,11,24.385964912280706,13.9,11,32.51770214875117,22.499999999999996,11,36.120740529564166,77.35068414466896,11,28.68551381626413,79.55773019158963,11,6.0,112.6322981937638,11,6.0,102.32003418118097,11,6.0,412.43615845540387
12,12,24.385964912280706,13.9,12,32.51770214875117,22.499999999999996,12,36.120740529564166,77.35068414466896,12,28.68551381626413,79.55773019158963,12,6.0,112.6322981937638,12,6.0,102.32003418118097,12,6.0,412.43615845540387
13,13,24.385964912280706,13.9,13,32.51770214875117,22.499999999999996,13,36.120740529564166,77.35068414466896,13,28.68551381626413,79.55773019158963,13,6.0,112.6322981937638,13,6.0,102.32003418118097,13,6.0,412.4361584554038
14,14,24.385964912280706,13.9,14,32.51770214875117,22.499999999999996,14,36.120740529564166,77.35068414466896,14,28.68551381626413,79.55773019158963,14,6.0,112.6322981937638,14,6.0,102.32003418118099,14,6.0,410.4361584554038
15,15,24.385964912280706,13.9,15,32.51770214875117,22.499999999999996,15,36.120740529564166,77.35068414466896,15,28.68551381626413,79.55773019158963,15,6.0,112.6322981937638,15,6.0,102.32003418118099,15,6.0,412.4361584554038
16,16,24.385964912280706,13.9,16,32.51770214875117,22.499999999999996,16,36.120740529564166,77.35068414466896,16,28.68551381626413,79.55773019158963,16,6.0,112.6322981937638,16,6.0,102.32003418118097,16,18.950546579012826,412.4361584554038
17,17,24.385964912280706,13.9,17,32.51770214875117,22.499999999999996,17,36.120740529564166,77.35068414466896,17,28.685513816264127,79.55773019158963,17,20.31930499591752,112.6322981937638,17,6.0,102.32003418118097,17,719.572207816498,412.4361584554038
18,18,24.385964912280706,13.9,18,32.51770214875117,22.499999999999996,18,36.120740529564166,77.35068414466896,18,42.69216603573044,79.55773019158963,18,197.60052314695403,112.6322981937638,18,175.50883189680872,102.32003418118097,18,723.572207816498,412.4361584554038
19,19,30.10612952133421,13.9,19,32.51770214875117,22.499999999999996,19,36.120740529564166,77.35068414466896,19,42.69216603573044,79.55773019158963,19,197.60052314695403,112.63229819376379,19,179.5088318968087,102.32003418118097,19,723.572207816498,412.4361584554038
20,20,30.10612952133421,13.9,20,32.51770214875117,22.499999999999996,20,36.120740529564166,77.35068414466896,20,42.69216603573044,79.55773019158963,20,197.60052314695403,112.6322981937638,20,179.5088318968087,102.32003418118099,20,723.572207816498,412.4361584554038
21,21,30.10612952133421,13.9,21,32.51770214875117,22.499999999999996,21,36.120740529564166,77.35068414466896,21,34.580654488941654,79.55773019158963,21,197.60052314695403,112.63229819376379,21,175.50883189680872,102.32003418118097,21,723.572207816498,412.4361584554038
22,22,24.385964912280706,13.9,22,32.51770214875117,22.499999999999996,22,36.120740529564166,77.35068414466896,22,34.580654488941654,79.55773019158963,22,193.60052314695406,112.6322981937638,22,175.50883189680872,102.32003418118097,22,723.572207816498,412.4361584554038
23,23,30.10612952133421,13.9,23,32.51770214875117,22.499999999999996,23,36.120740529564166,77.35068414466896,23,42.692166035730445,79.55773019158963,23,197.60052314695403,112.63229819376379,23,179.50883189680872,102.32003418118097,23,723.572207816498,412.4361584554038
24,24,30.10612952133421,13.9,24,32.51770214875117,22.499999999999996,24,36.120740529564166,77.35068414466896,24,42.69216603573044,79.55773019158963,24,197.60052314695403,112.6322981937638,24,179.5088318968087,102.32003418118099,24,723.572207816498,412.4361584554038
25,25,24.385964912280706,13.9,25,32.51770214875117,22.499999999999996,25,36.120740529564166,77.35068414466896,25,42.69216603573044,79.55773019158963,25,197.60052314695403,112.6322981937638,25,179.5088318968087,102.32003418118097,25,723.572207816498,412.4361584554038
26,26,24.385964912280706,13.9,26,32.51770214875117,22.499999999999996,26,36.120740529564166,77.35068414466896,26,34.580654488941654,79.55773019158963,26,193.60052314695406,112.63229819376379,26,175.50883189680872,102.32003418118099,26,723.572207816498,412.4361584554038
27,27,24.385964912280706,13.9,27,32.51770214875117,22.499999999999996,27,36.120740529564166,77.35068414466896,27,34.580654488941654,79.55773019158963,27,193.60052314695406,112.6322981937638,27,175.50883189680872,102.32003418118097,27,723.572207816498,412.4361584554038
28,28,24.385964912280706,13.9,28,32.51770214875117,22.499999999999996,28,36.120740529564166,77.35068414466896,28,34.580654488941654,79.55773019158963,28,197.60052314695403,112.63229819376379,28,179.50883189680872,102.32003418118097,28,723.572207816498,412.4361584554038
29,29,24.385964912280706,13.9,29,32.51770214875117,22.499999999999996,29,36.120740529564166,77.35068414466896,29,42.692166035730445,79.55773019158963,29,197.60052314695403,112.6322981937638,29,179.5088318968087,102.32003418118099,29,723.572207816498,412.4361584554038
30,30,24.385964912280706,13.9,30,32.51770214875117,22.499999999999996,30,36.120740529564166,77.35068414466896,30,139.5749652484029,79.55773019158963,30,197.60052314695403,112.63229819376379,30,179.50883189680872,102.32003418118097,30,723.5722078164981,412.43615845540387
31,31,24.385964912280706,13.9,31,32.51770214875117,22.499999999999996,31,36.120740529564166,77.35068414466896,31,139.5749652484029,79.55773019158963,31,197.60052314695403,112.63229819376379,31,179.50883189680872,102.32003418118097,31,723.572207816498,412.4361584554038
32,32,34.75000000000001,13.9,32,32.51770214875117,22.499999999999996,32,36.120740529564166,77.35068414466896,32,139.5749652484029,79.55773019158963,32,197.60052314695403,112.63229819376379,32,179.50883189680872,102.32003418118097,32,723.572207816498,412.4361584554038
33,33,34.75000000000001,13.9,33,32.51770214875117,22.499999999999996,33,36.120740529564166,77.35068414466896,33,139.5749652484029,79.55773019158963,33,197.60052314695403,112.63229819376379,33,179.50883189680872,102.32003418118097,33,723.572207816498,412.4361584554038
34,34,34.75000000000001,13.9,34,32.51770214875117,22.499999999999996,34,36.120740529564166,77.35068414466896,34,135.57496524840283,79.55773019158963,34,197.60052314695403,112.63229819376379,34,179.50883189680872,102.32003418118097,34,719.572207816498,412.4361584554038
35,35,34.75000000000001,13.9,35,32.51770214875117,22.499999999999996,35,36.120740529564166,77.35068414466896,35,113.05572185120633,79.55773019158963,35,197.60052314695403,112.63229819376379,35,179.5088318968087,102.32003418118097,35,618.6542376831057,412.43615845540387
36,36,34.75000000000001,13.9,36,32.51770214875117,22.499999999999996,36,36.120740529564166,77.35068414466896,36,113.05572185120631,79.55773019158963,36,197.60052314695403,112.63229819376379,36,179.50883189680872,102.32003418118097,36,618.6542376831057,412.4361584554038
37,37,34.75000000000001,13.9,37,32.51770214875117,22.499999999999996,37,36.120740529564166,77.35068414466896,37,139.57496524840283,79.55773019158963,37,197.60052314695406,112.6322981937638,37,179.50883189680872,102.32003418118097,37,719.572207816498,412.4361584554038
