,2020,2025,2030,2035,2040,2045,2050
CTES,0.0,0.0,0.0,0.0,0.0,0.0,0.0
battery1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
battery4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ccgt,0.0,0.0,0.0,0.0,0.44720002951603105,0.26915303883262726,0.36541348312537986
central_gas_boiler,0.017519548944802954,0.00765814495631958,0.006946962664942578,0.005630811510162418,0.0,0.004489963801899325,0.0
central_wood_boiler,0.0,0.0,0.0,0.0,0.05496871641322095,0.0,0.1400581273096618
coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0
electrolysis,0.0,0.03991587041052332,0.12741425294027564,0.0384412271342992,0.07835619053692686,0.133476664605319,0.11254539016658738
geothermal,0.0,0.0,0.0,0.0,0.0,0.0,0.002415567496856828
h2_ccgt,0.0,0.0,0.0,0.0,0.0,0.0,0.13134079916058983
hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lake,0.0,0.0,0.0,0.0,0.0,0.0,0.0
methanation,0.0,0.0,0.0,0.0,0.05899570579615677,0.08645775509966146,0.03254584485065422
methane,0.0,0.0,0.0,0.0,0.0,0.0,0.0
methanization,0.0,0.0,0.041058988580472994,0.036753399954582704,0.02219659920075157,0.020771097452821508,0.020771097452821474
natural_gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nuclear,0.0,0.0,0.0,0.0,0.0,2.005807098963558,2.7445267212628335
ocgt,0.03794425793257983,0.0,0.0,0.3386213610547217,0.28654562066756367,0.16025980942426366,0.11519633834320116
offshore_f,0.0,0.0,0.0,0.0,0.6849420877154471,0.06385957719578102,3.3359169226972623
offshore_g,0.0,0.0,0.0,0.537558551509343,0.9264487126984169,0.5526917406473453,0.5284508748294793
onshore,0.0,0.0,0.9854845211794354,1.3208153824565958,1.118582493702629,1.099782787926115,1.0809830821496003
phs,0.0,0.0,0.0,0.0682792657422843,0.0227597552474281,0.0227597552474281,0.02275975524742806
pv_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pv_g,0.0,0.0,0.8470390610363495,0.9525360146147915,0.8887145060978878,0.8177644305611853,0.0
pyrogazification,0.0,0.0,0.0,0.0,0.19960213768477125,0.0998010688423856,0.09980106884238564
river,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uiom,0.0,0.0,0.0,0.0,0.0,0.0,0.0
investment_heater,0.6831493616942008,3.3885905685285045,3.6181531728365215,3.5390403684471288,3.5244245911475653,3.643130297554021,3.740354804719876
investment_insulation,0.2689330222359852,1.5357785880432187,2.2015519318080896,1.891844556320294,1.6078865625806842,1.2614685130817929,1.008510287391406
