,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049
Stock (Million),28.33536010601379,28.61814682477888,28.900085183403576,29.18117772707653,29.46142699316439,29.740835511594984,30.019405804480204,30.29714038655428,30.574041764953858,30.850112439261718,31.125354901572294,31.567950436510422,32.0092181848531,32.449162129969565,32.88778624325086,33.32509448419452,33.76109080044007,34.19577912773748,34.62916339007447,35.06124749962422,35.49203535686825,35.90963945055058,36.3259907319474,36.741092959495454,37.15494988036259,37.56756523046837,37.97894273453148,38.389086106076405,38.7979990475002,39.20568525009282,39.61214839406216
Stock existing (Million),27.599774506013787,27.51476842477888,27.428913983403575,27.342213727076526,27.254670193164394,27.166285911594983,27.077063404480203,26.98700518655427,26.896113764953856,26.804391639261716,26.711841301572292,26.61846523651042,26.523761384853096,26.427733729969564,26.330386243250853,26.231722884194518,26.13174760044007,26.030464327737477,25.927876990074466,25.823989499624222,25.718805756868242,25.61232965055058,25.5046007319474,25.39562275949546,25.285399480362578,25.173934630468374,25.06123193453148,24.947295106076407,24.832127847500196,24.71573385009282,24.598116794062154
Stock new (Million),0.7355856000000001,1.1033784000000002,1.4711712000000001,1.8389640000000005,2.2067568,2.5745496000000005,2.9423424000000002,3.3101352000000004,3.677928,4.045720800000001,4.4135136,4.9494852,5.485456800000001,6.0214284,6.5574,7.093371600000001,7.6293432,8.165314799999999,8.7012864,9.237258,9.773229599999999,10.2973098,10.82139,11.3454702,11.8695504,12.3936306,12.9177108,13.441791,13.965871199999999,14.489951399999999,15.0140316
Surface (Million m2),2420.462333685543,2447.4746885165905,2474.42490556541,2501.311505500774,2528.1353589220516,2554.8945821186403,2581.6059349345373,2608.2567900524323,2634.852683416594,2661.3951939843396,2687.8675163054713,2730.063387680564,2772.151159534706,2814.1335802118524,2856.013437064361,2897.7935646989827,2939.4247602890136,2980.9118012581666,3022.2577687402,3063.466110884961,3104.519791877569,3144.3030789555332,3183.9396250909263,3223.4311289187426,3262.7791310496136,3301.9850056399564,3341.049857740737,3379.977164684395,3418.768593296029,3457.425865004096,3495.950770505401
Surface existing (Million m2),2351.393446668429,2343.871357990919,2336.287131531183,2328.6392879579894,2320.9286978707096,2313.1534775587415,2305.3303868660823,2297.4467984754206,2289.5082483310252,2281.5163153902145,2273.454194202789,2265.324227382052,2257.086161040366,2248.7427435216823,2240.2967621783623,2231.751051617155,2223.0564090113576,2214.217611784681,2205.237741070885,2196.1202450198184,2186.8480878165965,2177.4220971141012,2167.849365469034,2158.1315915163905,2148.2703158668014,2138.266912676683,2128.1224869970047,2117.840516160203,2107.422666991376,2096.8706609189826,2086.186288639828
Surface new (Million m2),69.06888701711385,103.60333052567076,138.13777403422768,172.6722175427846,207.20666105134154,241.74110455989845,276.27554806845535,310.8099915770122,345.3444350855692,379.8788785941261,414.4133221026831,464.739160298512,515.0649984943408,565.3908366901699,615.7166748859987,666.0425130818277,716.3683512776565,766.6941894734855,817.0200276693143,867.3458658651433,917.6717040609722,966.8809818414323,1016.0902596218924,1065.2995374023524,1114.5088151828127,1163.7180929632727,1212.927370743733,1262.136648524193,1311.3459263046532,1360.5552040851132,1409.7644818655733
Surface Electricity-Heat pump water (Million m2),160.03228659009685,195.74498875398237,232.78718303108616,270.1692000578144,307.6817068511024,347.14079437852155,386.88308753628667,426.8402319591449,467.00584171987924,507.3644138480503,548.0737513623329,604.1130753420795,660.666312707823,717.7083119011924,775.2118485938978,833.147370095783,891.4054431899482,949.8203467909129,1008.363446537093,1060.9932015182271,1111.119599796837,1161.2427878707335,1211.6113013408503,1261.9273778367844,1312.2982616019308,1361.9553129832323,1411.838300908203,1461.7658067138002,1511.7319726051226,1561.7290457412632,1611.8126301349223
Surface Electricity-Performance boiler (Million m2),723.0269322803252,709.6736229890391,698.4605127542724,687.3800928686061,676.3272459175008,663.1877772201707,651.6798141829561,640.5838659978784,629.8940033052248,619.590438403769,609.5669921293711,599.3173108964511,589.4147791614505,579.8521675118332,570.6210430173626,561.7129375026674,552.1975426261732,542.9186460538842,533.8635026453658,524.2076790464413,516.4070826853699,508.1545925314973,499.5666041040669,491.1135232937512,482.88392670039394,475.4194800900567,466.9195802782264,458.47830699499934,450.08037843751714,441.7127014802369,433.3388630827678
Surface Heating-District heating (Million m2),80.25965256756275,86.47106652498448,92.67215075174728,98.86279872510926,105.04265272943202,111.21166536965973,117.3672894273484,123.50776382899431,129.63218516832507,135.7401134287537,141.82784363702126,147.98395213864111,154.1174953105969,160.22737828925762,166.3124159603892,172.37132460657412,178.41196627929173,184.4324226633299,190.4314397870724,196.41309688852013,202.3825139291958,208.33095319300514,214.2583427704235,220.16687650913588,226.05748382122687,231.93217704858603,237.78558602432116,243.61931453572063,249.4333266885543,255.22774378828143,261.00290019561714
Surface Natural gas-Performance boiler (Million m2),984.5493442486227,978.535480006394,971.4806257425818,963.3527667224224,955.0785081805586,944.9183590632196,934.0518161921774,923.0215638323409,911.8319597149482,900.4837444790684,888.968171531499,876.1774728684518,862.7194925826807,848.6298791884608,833.944229768728,818.6976640706407,803.3877085810211,787.989227399326,772.497904587753,753.018784778722,735.6283146737992,717.2624873687936,699.057870661324,680.9802715889322,662.7738979385875,644.9875978862102,627.700437709962,610.4402587243172,593.2180564883754,576.0448298682549,558.8664278460082
Surface Oil fuel-Performance boiler (Million m2),308.18097994002255,289.4799594707933,271.01432799506773,252.78230568233457,234.7803654277785,217.0032908126432,199.45094683094882,182.11682990321054,164.99806097591556,148.08938044881134,131.2220350105276,114.41215922719685,97.67201081576265,81.02250195187543,64.48640015487811,48.08834520863211,31.849506562514815,15.806443279061595,,,,,,,,,,,,,
Surface Wood fuel-Performance boiler (Million m2),164.41313805891295,187.56957077139677,208.01010529065553,228.76434144448694,249.22487981567866,271.4326952744255,292.17298076482007,312.1865345308631,331.49063253230116,350.127103375888,368.2087226347194,388.0594172077434,407.5610689563928,426.6933413692329,445.4374995691058,463.7759232146851,482.1725930500651,499.9447150716519,517.1014751829151,528.8333486530508,538.9822807923671,549.3122579915042,559.4455062142616,569.2430796901394,578.7655609874745,587.6904376318707,596.8059528200245,605.6734777155585,614.3048590764596,622.7115441260594,630.9299492460862
Prices Electricity (euro/kWh),0.1743338984,0.17676212842125,0.1779804496312869,0.1807244061941593,0.18276467142978042,0.1846755174740825,0.17731786046028478,0.17731786046028478,0.17731786046028478,0.17731786046028478,0.17731786046028478,0.1804338885314676,0.1804338885314676,0.18043388853146758,0.1804338885314676,0.1804338885314676,0.18617397400298397,0.18617397400298394,0.18617397400298394,0.18617397400298394,0.18617397400298397,0.19651628268980176,0.1965162826898018,0.19651628268980179,0.19651628268980179,0.19651628268980176,0.20585518848023962,0.20585518848023962,0.20585518848023962,0.20585518848023962,0.20585518848023962
Prices Heating (euro/kWh),0.07554741999999999,0.076506872234,0.07747850951137178,0.07846248658216619,0.07945896016175971,0.08046808895581405,0.08149003368555288,0.0825249571133594,0.08357302406869906,0.08463440147437153,0.08570925837309605,0.08679776595443436,0.08790009758205566,0.08901642882134778,0.09014693746737887,0.09129180357321458,0.0924512094785944,0.09362533983897255,0.09481438165492749,0.09601852430194506,0.09723795956057975,0.09847288164699912,0.099723487243916,0.10098997553191373,0.10227254822116903,0.10357140958357787,0.1048867664852893,0.10621882841965247,0.10756780754058205,0.10893391869634743,0.11031737946379103
Prices Natural gas (euro/kWh),0.0918150406,0.09290306447807999,0.09316641783489202,0.0965204787098149,0.09732851321086097,0.09798799615066928,0.09812416484933727,0.09803763997071727,0.09795198034101728,0.09786717730783727,0.09778322230351726,0.10116639212902878,0.10224309878398878,0.10329734883066878,0.10432948374206878,0.10533984038650879,0.11324198852670071,0.11320233639988071,0.1131620386109007,0.1131211120258407,0.1130795732750207,0.12362116169618345,0.12496599699508344,0.12628251734658347,0.12757115455248344,0.12883233462038346,0.12859464331230938,0.12933089789450938,0.13005036460870936,0.13075330558410936,0.13143997937210938
Prices Oil fuel (euro/kWh),0.10588271939999999,0.10756056866120002,0.10851988578441879,0.11258446862406923,0.11411791200326563,0.11551802543092214,0.1169423608208771,0.11839133721307829,0.11986538089686455,0.1213649255363803,0.1228904122981597,0.12590568998091786,0.12921881514758773,0.13255925225964105,0.13592747381373282,0.1393239604807104,0.14274920124702672,0.1446318935586003,0.14654434346716408,0.148487065779146,0.15046058420712527,0.15246543152390854,0.15677854971927216,0.1611240901594156,0.1655026137491735,0.16991469109703422,0.1743609026830129,0.17802883902942904,0.1817321008746382,0.18547129934976941,0.18924705615852044
Prices Wood fuel (euro/kWh),0.06238232,0.063174575464,0.06397689257239278,0.06478939910806217,0.06561222447673457,0.06644549972758908,0.06728935757412946,0.06814393241532091,0.06900936035699547,0.06988577923352932,0.07077332862979514,0.07167214990339352,0.07258238620716662,0.07350418251199763,0.07443768562989997,0.07538304423739971,0.07634040889921469,0.0773099320922347,0.07829176822980609,0.0792860736863246,0.08029300682214092,0.08131272800878211,0.08234539965449364,0.0833911862301057,0.08445025429522805,0.08552277252477743,0.0866089117358421,0.08770884491488729,0.08882274724530635,0.08995079613532174,0.0910931712462403
Consumption standard (TWh),337.0362140477301,332.63618293358337,327.71797166644825,322.8522409664178,318.5533939987985,311.70187655538825,304.49074775321907,297.2642308859911,290.4140383636613,283.2386874177415,276.4419888270761,270.13371009767883,264.09055155507843,258.2891797659283,252.708467785479,246.70102621573136,240.92371866438967,235.42934588449415,230.1876176753506,225.62600740556542,221.4080724698108,217.2765791158924,213.30216609318651,209.47338928789256,205.77423680197833,202.23842455405827,198.83448038550713,195.53911565567023,192.34562801548387,189.24843353334717,186.23756074138416
Consumption standard (kWh/m2),139.24456057720934,135.90995833145612,132.4420761080095,129.0731843100771,126.00329838930128,122.00185429839152,117.94625338934237,113.97046181178172,110.22021845528137,106.42488874179885,102.84807087778316,98.9477794972306,95.26556683128524,91.78284271299015,88.48294076838552,85.13409278737154,81.9628799210024,78.97897072470424,76.16412473357695,73.65056417757712,71.31797743698918,69.10166534838837,66.99315665795487,64.98460209328488,63.06716714097107,61.24752965523007,59.512575044289136,57.85220021565698,56.261669301824185,54.736801575099854,53.27236364786116
Consumption (TWh),293.3453682042816,290.9861520453477,288.70530479756997,285.00100591981357,282.7895495440472,279.00182573743245,275.84561935546606,272.06482019683136,268.4533509690939,264.52791932831656,260.7868044669119,256.26997276772124,252.77801279984556,249.4271405496109,246.2032604691478,242.60865696132305,237.32746827702232,234.31471327659085,231.43002150510307,228.9041152377331,226.59456549387755,221.87013303615043,219.52841577303178,217.27884503792671,215.10858364947694,213.0441983362134,210.5049016895008,208.6417148144518,206.83540765812398,205.0830128872359,203.37805905123508
Consumption (kWh/m2),121.19394056325434,118.89240506168986,116.67571893098139,113.94062886331906,111.8569654690575,109.20287188760283,106.85039712014017,104.30906237240629,101.88552576722901,99.3944529268858,97.02368248616982,93.86960534474835,91.18478692275687,88.63372453372793,86.20521783056287,83.7218564899825,80.73942612284708,78.60504734749031,76.57520940100768,74.72062916720441,72.98860393376215,70.56257856346683,68.94867416550417,67.40607642850742,65.92802485538701,64.52003808991356,63.0056151966098,61.72873503242549,60.49997302061159,59.31667688469524,58.17532122222453
Consumption existing (TWh),290.80120364845624,287.5379951366233,284.3469898153343,279.75073081237156,276.63336259550624,271.9380047191106,267.82800655356914,263.118020236761,258.5739237569099,253.71240978300065,249.03174245941034,243.3049039019986,238.55975650428417,233.95145063834454,229.46586281029948,224.60524977196434,218.17849667079514,213.89005163743352,209.72515828817677,205.91451831486495,202.3156820813145,196.61409512181544,193.05776771865658,189.58917089916633,186.195459896379,182.9031931263503,179.3115292804456,176.2171384734416,173.1753155730582,170.1830778700343,167.23393832038747
Consumption new (TWh),2.5441645558253754,3.4481569087243997,4.35831498223564,5.2502751074420075,6.156186948540949,7.063821018321846,8.017612801896917,8.946799960070337,9.879427212183998,10.815509545315905,11.755062007501579,12.965068865722628,14.218256295561389,15.475689911266358,16.737397658848323,18.00340718935871,19.148971606227178,20.424661639157335,21.7048632169263,22.989596922868145,24.27888341256306,25.256037914334996,26.470648054375204,27.68967413876038,28.91312375309795,30.141005209863124,31.1933724090552,32.42457634101021,33.66009208506577,34.899935017201585,36.14412073084762
