Occupancy status,Income owner,Income tenant,Housing type,Heating system,Performance,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049
Owner-occupied,C1,C1,Multi-family,Electricity-Heat pump water,A,3369.3643297516805,7403.904762489723,11654.075863866376,15917.040107102943,20190.002674955114,24477.522831080212,29185.244179934438,33563.17091818436,37960.300392631194,42376.3198269379,46813.651562691186,53839.01411405375,60886.36759865482,67955.51980689976,75046.26845922737,82158.39703493411,89295.78843017934,96454.74604750749,103635.08121238295,110765.04744009789,117818.53547641957,124744.5071605476,131679.77641668127,138618.16477080362,145567.36206441274,152517.96501642122,159108.7439045282,165778.1010761755,172450.15557698018,179124.7988182664,185803.65780013098
Owner-occupied,C1,C1,Multi-family,Electricity-Heat pump water,B,4227.080082904476,5057.878277065899,6937.513284108672,8800.273608379137,10644.249580019477,12482.2665662945,15652.938404738512,17489.12625420145,19329.709140007446,21175.04228211278,23035.786385083295,24966.06027372353,26913.024458335058,28876.458983746295,30856.092592407727,32851.59099276852,34879.404093334,36923.230845239035,38983.06541911146,40841.65635155941,42437.29172932645,44048.96332788646,45660.227543387526,47251.39187520349,48843.60539396999,50413.28636441893,51054.704290900205,51914.768514991665,52770.54628600815,53621.65267163974,54472.04063699749
Owner-occupied,C1,C1,Multi-family,Electricity-Heat pump water,C,2995.108645864633,3270.3319712795783,4053.6573646512315,4834.747902208753,5604.1695252553445,6384.745284117951,9047.835447088873,10963.468374004868,12859.557707658876,14735.371966784276,16600.16252076068,18514.106877056856,20415.42145066518,22303.243945102462,24176.743014063544,26035.11955258984,27898.554137174488,29744.432025796465,31571.201550008158,33183.111222298,34500.95596387203,35808.75927291867,37061.74193537901,38256.520449978205,39421.83437566116,40526.08401056551,40394.93327690702,40300.33021345265,40199.87846972438,40093.65420166438,39982.42071923256
Owner-occupied,C1,C1,Multi-family,Electricity-Heat pump water,D,398.9875467944067,534.9500957722524,963.8576173279511,1386.6595539292375,1791.2588057999826,2193.5301497672403,3585.574527462699,4673.329140555175,5705.6123094600425,6684.30567822022,7615.9486054499175,8533.855701198645,9405.772471514329,10232.899115586737,11016.400909320762,11757.413648051705,12465.744522817256,13132.297839669116,13757.650059892869,14306.980960701034,14700.505023870224,15064.13120333008,15380.054001242312,15650.107208940488,15887.981401137675,16082.851032806673,15804.02341076773,15530.029854394128,15260.786554175378,14996.211153642711,14736.222724176829
Owner-occupied,C1,C1,Multi-family,Electricity-Performance boiler,B,727.90332782344,935.8757072015658,1143.8480865796914,1351.820465957817,1559.7928453359427,1767.7652247140684,1975.737604092194,2183.70998347032,2391.682362848446,2599.6547422265717,2807.6271216046975,3032.6797580491116,3257.7323944935256,3482.7850309379396,3707.8376673823536,3932.8903038267676,4157.942940271181,4382.995576715595,4608.048213160009,4833.100849604423,5058.153486048837,5278.212964421042,5498.272442793246,5718.331921165451,5938.391399537655,6158.45087790986,6378.510356282064,6598.569834654269,6818.629313026473,7038.6887913986775,7258.748269770882
Owner-occupied,C1,C1,Multi-family,Electricity-Performance boiler,C,38868.024087089565,38591.246880431536,37963.06973989167,37318.797378617026,36630.193879773346,35934.43919851132,35548.34090543702,36232.254445038685,36926.55093025563,37631.54058190541,38348.640379844335,39140.08193976418,39945.40921966366,40765.29958094509,41600.46705167345,42451.68888078345,43314.55146203885,44193.77450365201,45089.114614300306,45997.94027938074,46830.0651148477,47656.22084171624,48437.756750314824,49192.946751663105,49943.378064762845,50660.51056301208,50039.94625724752,49203.111804221095,48340.05639949622,47451.375403437945,46533.73943743043
Owner-occupied,C1,C1,Multi-family,Electricity-Performance boiler,D,20724.42303166639,20426.955998770565,19822.63093721197,19225.3274064779,18635.85740291291,18054.237900903,17552.434055072776,17475.434898049996,17419.734536433094,17384.144940329585,17367.020035970494,17388.29618662735,17426.63917604907,17481.442393563306,17552.159090362184,17638.310112606654,17734.53276707342,17844.753886573297,17968.286422165304,18090.600177203643,18213.670262593405,18335.949179828913,18446.588425012713,18552.62228945483,18659.901543194766,18758.75491556173,18433.91905623328,18015.033373538565,17587.895028547926,17153.10364862615,16709.537202694868
Owner-occupied,C1,C1,Multi-family,Electricity-Performance boiler,E,19077.330934790753,18362.53835390946,17360.496680537144,16403.559421658552,15492.513986969641,14623.998655774305,13996.140826366653,14046.977666341329,14089.08223937334,14122.804521076821,14148.46695382617,14190.735404468705,14223.366470447681,14246.585870681494,14260.569289700987,14265.49177389054,14242.981651589695,14208.064244020707,14160.05814042399,14088.137725128083,13948.039394735888,13777.734385024827,13574.974603453442,13348.47959681046,13109.050429104484,12845.002522470015,12060.173499940272,11231.240907572068,10427.648735509745,9649.63564719149,8896.311427235167
Owner-occupied,C1,C1,Multi-family,Electricity-Performance boiler,F,19801.432286795836,19600.406753497788,19296.009785472466,18985.756466402898,18681.965717962303,18372.03071610287,18194.46776021231,18269.54378901282,18336.601328273755,18395.31104376603,18445.720730995792,18517.140422045573,18577.219955239154,18625.337444841884,18660.841898456634,18683.109184963992,18674.545240411535,18646.176364605475,18597.005229330283,18437.894145007478,18214.030402954228,17957.699194244764,17673.151374650042,17363.077039171538,17034.493805727496,16679.697084767733,15923.494036985994,15163.162085408892,14398.152467228776,13629.40256743362,12857.853165124032
Owner-occupied,C1,C1,Multi-family,Electricity-Performance boiler,G,14200.428187982425,13818.934049176292,13369.703743113463,12929.757789483188,12506.969129655336,12092.461722699063,11886.237868141412,11930.873444953515,11959.087952556334,11971.54631268709,11970.208667616193,11976.385683326516,11967.31140752778,11943.146758028804,11904.026024170016,11850.094902802783,11764.888629995568,11662.41071909393,11542.589145266174,11300.96982194161,11016.771039206302,10710.467966016142,10391.493755798521,10062.293376029667,9727.782122853077,9384.042221932234,8823.813712500247,8277.07348457584,7743.1006700312655,7221.996070370845,6713.8487221156465
