,2020,2025,2030,2035,2040,2045,2050
CTES,0.0,0.0,0.0,0.0,0.0,0.0,0.0
battery1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
battery4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ccgt,0.0,0.0,0.0,0.0,0.20581451798689918,0.28161198813522353,0.565213505849087
central_gas_boiler,0.017519548944802954,0.00765814495631958,0.006936054506361748,0.005596542444182906,0.00019683841519921162,0.0,0.0
central_wood_boiler,0.0,0.0,0.0,0.0,0.052086606720400754,0.07126684388700329,0.07181783418490276
coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0
electrolysis,0.0,0.039915870410523094,0.12656386038976294,0.0379509133692074,0.09659541763438324,0.0907932795580042,0.1371574555097328
geothermal,0.0,0.0,0.0,0.0,0.0,0.0,0.002419633862664129
h2_ccgt,0.0,0.0,0.0,0.003995185081058041,0.0,0.0,0.0
hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lake,0.0,0.0,0.0,0.0,0.0,0.0,0.0
methanation,0.0,0.0,0.0,0.04014101506946012,0.07381866519897592,0.02490656861582914,0.027445575041527736
methane,0.0,0.0,0.0,0.0,0.0,0.0,0.0
methanization,0.0,0.0,0.058466792830164246,0.02077109745282153,0.020771097452821508,0.02077109745282152,0.020771097452821616
natural_gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nuclear,0.0,0.0,0.0,0.0,1.7435797780106492,0.8768527214300947,0.7845524349637689
ocgt,0.03794425793257983,0.0,0.0,0.28036048519475976,0.2621136224390531,0.1842593572710989,0.0
offshore_f,0.0,0.0,0.0,0.0,0.0,0.911402785440551,2.6318122267876207
offshore_g,0.0,0.0,0.0,0.5304471814262446,0.31674731335344924,0.30343860270834644,0.3004916739226451
onshore,0.0,0.0,0.603888912821972,0.8665783386203427,0.6814353122556248,0.6699826179320012,0.6585299236083771
phs,0.0,0.0,0.0,0.0682792657422843,0.0227597552474281,0.0227597552474281,0.02275975524742806
pv_c,0.0,0.0,0.0,0.0,0.0,0.0,0.07009016547935495
pv_g,0.0,0.19510774288107022,0.36958496447649625,0.6350240097431943,0.4997295409716518,0.13414276992604587,1.0111122814459546
pyrogazification,0.0,0.0,0.0,0.06921182499670592,0.13039031268806534,0.0998010688423856,0.09980106884238564
river,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uiom,0.0,0.0,0.0,0.0,0.0,0.0,0.0
investment_heater,0.6831493616942008,3.3885905685285045,3.3481478061764096,3.344989283727811,3.410436933088024,3.602236698969191,3.5244344320832424
investment_insulation,0.2689330222359852,1.5357785880432187,2.2078305251251686,1.9029389660389746,1.6175218643527862,1.2731331668091455,1.0177997221280752
