Occupancy status,Income owner,Income tenant,Housing type,Heating system,Performance,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049
Owner-occupied,C1,C1,Multi-family,Electricity-Heat pump water,A,3369.3643297516805,7403.904762489723,11654.075863866376,15917.040107102943,20190.002674955114,24477.522831080212,28774.01816230392,32849.23730303925,36927.567560853604,41008.845011429774,45094.07074853543,51739.88729216879,58389.63431874044,65043.13769567937,71700.21315551031,78360.66265233935,85025.36732849837,91693.21938722448,98364.03144956488,105003.75353129924,111614.55738399929,118084.31901686863,124559.86113494805,131036.12836284649,137513.68814225393,143992.27970067554,150477.91100470244,157002.4035087286,163529.8817350651,170060.35081283093,176595.19011761827
Owner-occupied,C1,C1,Multi-family,Electricity-Heat pump water,B,4227.080082904476,5057.878277065899,6937.513284108672,8800.273608379137,10644.249580019477,12482.2665662945,14287.963174800512,15080.56922379368,15862.644581360104,16634.096873358747,17400.24634930621,18182.53416639824,18959.230498909135,19729.8957651678,20494.088331682062,21251.350638241915,22007.285327087255,22755.751321900167,23496.457906415653,24107.21687475451,24601.19747334047,25093.025841060382,25595.55423790403,26090.476233562797,26579.71121864455,27062.97910956681,27560.209228020118,28167.78992407487,28772.517626023247,29374.524539187685,29977.568579215753
Owner-occupied,C1,C1,Multi-family,Electricity-Heat pump water,C,2995.108645864633,3270.3319712795783,4053.6573646512315,4834.747902208753,5604.1695252553445,6384.745284117951,7164.148782811979,7410.62342890327,7653.579016461611,7893.166256708692,8131.283602336076,8375.263115159692,8617.97062623691,8859.422533502606,9099.626046250756,9338.57808970016,9573.300335279493,9806.478186313048,10037.993138513624,10217.312913711005,10356.641127086856,10489.680315444506,10619.503005323906,10744.444916600469,10867.908015417252,10986.25711471348,11099.884094749823,11250.904583283298,11399.935048923664,11546.960429017026,11693.269975205485
Owner-occupied,C1,C1,Multi-family,Electricity-Heat pump water,D,398.9875467944067,534.9500957722524,963.8576173279511,1386.6595539292375,1791.2588057999826,2193.5301497672403,2591.534299979243,2688.5556532596233,2781.9106294015105,2871.684306810122,2958.569968682897,3045.3105519408505,3129.2205488340614,3210.3088365706926,3288.576237382093,3364.016131234719,3433.1595894795705,3499.3794745683135,3562.622242823685,3617.4980336310773,3651.924228231505,3678.7690011888926,3701.0829308144803,3718.876825340455,3734.0331347888987,3744.6222685574494,3749.3875614791077,3765.7180087190964,3778.700798119104,3788.309912494644,3794.9478641874844
Owner-occupied,C1,C1,Multi-family,Electricity-Performance boiler,B,727.90332782344,935.8757072015658,1143.8480865796914,1351.820465957817,1559.7928453359427,1767.7652247140684,1975.737604092194,2183.70998347032,2391.682362848446,2599.6547422265717,2807.6271216046975,3032.6797580491116,3257.7323944935256,3482.7850309379396,3707.8376673823536,3932.8903038267676,4157.942940271181,4382.995576715595,4608.048213160009,4833.100849604423,5058.153486048837,5278.212964421042,5498.272442793246,5718.331921165451,5938.391399537655,6158.45087790986,6378.510356282064,6598.569834654269,6818.629313026473,7038.6887913986775,7258.748269770882
Owner-occupied,C1,C1,Multi-family,Electricity-Performance boiler,C,38868.024087089565,38591.246880431536,37963.06973989167,37318.797378617026,36630.193879773346,35934.43919851132,35230.831848718866,35026.616542990516,34813.500212098705,34592.19414480855,34360.12043764415,34156.08757552859,33943.013013419426,33721.70006612579,33492.969735251136,33257.67628597107,33015.27415144984,32766.843714783077,32513.25586574233,32329.173657127038,32209.67306825171,32084.067611278955,31925.34611412235,31754.702325193608,31577.439237584334,31385.84040078095,31161.22692589492,30852.42158976084,30531.593360739324,30198.85549295042,29852.03500226861
Owner-occupied,C1,C1,Multi-family,Electricity-Performance boiler,D,20724.42303166639,20426.955998770565,19822.63093721197,19225.3274064779,18635.85740291291,18054.237900903,17485.976799817956,17194.645627281727,16905.776641510005,16619.62138378993,16334.537391189773,16066.582797476683,15800.206477526388,15535.757526729574,15273.582844880768,15014.034890607967,14754.126982575595,14497.068498398132,14243.197375497684,14025.939064374383,13848.525695011493,13668.703604717693,13477.941526428034,13285.900656445394,13094.634047933638,12900.452838761783,12693.148304232493,12447.418477466686,12201.10566203357,11954.2685598258,11705.81951160773
Owner-occupied,C1,C1,Multi-family,Electricity-Performance boiler,E,19077.330934790753,18362.53835390946,17360.496680537144,16403.559421658552,15492.513986969641,14623.998655774305,13806.114840810642,13250.107939172945,12713.60180485552,12196.056021896851,11694.433707716309,11218.868830107574,10757.378099696136,10309.750750969386,9875.747865154424,9455.137645481878,9038.97909375724,8633.107037800075,8237.210944528006,7870.902723326852,7530.115718869893,7189.173717163188,6846.9848306770455,6510.31641890527,6180.860434618768,5856.144013625621,5529.05561388511,5196.9696575776925,4873.088830626963,4557.382939758924,4249.549137736929
Owner-occupied,C1,C1,Multi-family,Electricity-Performance boiler,F,19801.432286795836,19600.406753497788,19296.009785472466,18985.756466402898,18681.965717962303,18372.03071610287,18061.54791590821,17757.140843787223,17448.145503117645,17134.80811037146,16815.708753908613,16513.501042815995,16204.323703224203,15888.314870692851,15565.582165947679,15236.249862386838,14890.937345672228,14534.349521001255,14166.45820939569,13774.845991032795,13373.805065627628,12957.25576344239,12527.42587038796,12087.889894972157,11641.134034289535,11185.025492052939,10714.896003742686,10240.876794470227,9760.485208722941,9274.217193324788,8782.719267434913
Owner-occupied,C1,C1,Multi-family,Electricity-Performance boiler,G,14200.428187982425,13818.934049176292,13369.703743113463,12929.757789483188,12506.969129655336,12092.461722699063,11694.951467204326,11323.171442069832,10959.025273510146,10602.423197285603,10252.36166226566,9921.677596696289,9596.05054079937,9275.410482304962,8959.666837145654,8648.736571856974,8333.98809399021,8021.515620678674,7711.259929966762,7393.277702221792,7076.617762211903,6756.403490239507,6437.696523370894,6122.325798505299,5811.62613338669,5504.267920576328,5196.433107616244,4895.7028397842705,4599.681377121039,4308.4630734567345,4022.2230278842335
