,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049
Stock (Million),28.335360106047535,28.618146824829363,28.900085183479067,29.181177727269006,29.46142699343872,29.740835511962693,30.019405805157906,30.297140387613766,30.574041766332265,30.85011244091891,31.12535490348918,31.5679504387013,32.00921818729899,32.449162132661066,32.8877862461875,33.32509448737395,33.76109080383876,34.19577913135303,34.62916339389373,35.06124750363789,35.49203536104975,35.90963945490031,36.325990736471475,36.741092964199915,37.15494988521537,37.56756523550704,37.97894273978719,38.389086111556665,38.79799905321268,39.20568525604532,39.61214840027082
Stock existing (Million),27.59977450604753,27.51476842482936,27.42891398347907,27.342213727269005,27.25467019343872,27.166285911962696,27.077063405157908,26.987005187613768,26.896113766332267,26.80439164091891,26.71184130348918,26.618465238701297,26.52376138729899,26.427733732661068,26.330386246187498,26.23172288737396,26.131747603838768,26.03046433135303,25.927876993893726,25.823989503637886,25.718805761049747,25.612329654900307,25.504600736471467,25.39562276419992,25.285399485215375,25.173934635507038,25.061231939787195,24.947295111556663,24.83212785321268,24.71573385604532,24.59811680027082
Stock new (Million),0.7355856000000001,1.1033784000000002,1.4711712000000001,1.8389640000000005,2.2067568,2.5745496000000005,2.9423424000000002,3.3101352000000004,3.677928,4.045720800000001,4.4135136,4.9494852,5.485456800000001,6.0214284,6.5574,7.093371600000001,7.6293432,8.165314799999999,8.7012864,9.237258,9.773229599999999,10.2973098,10.82139,11.3454702,11.8695504,12.3936306,12.9177108,13.441791,13.965871199999999,14.489951399999999,15.0140316
Surface (Million m2),2420.462333687574,2447.4744809933136,2474.424069953049,2501.309698082465,2528.132134162088,2554.8894056367735,2581.5821390659153,2608.191632826735,2634.7156648811238,2661.1545027239413,2687.4892601594956,2729.5119194725166,2771.387000191992,2813.1146712884124,2854.6952408658017,2896.128719451325,2937.372062484504,2978.427743132206,3019.2979652095255,3059.9849663793784,3100.482527632197,3139.6784988052905,3178.695464902452,3217.53616605541,3256.2033489771547,3294.699593441515,3333.0276111072985,3371.191854417843,3409.1943561820212,3447.037134775618,3484.7221424241093
Surface existing (Million m2),2351.3934466704595,2343.8711504676426,2336.286295918822,2328.6374805396795,2320.9254731107458,2313.1483010768748,2305.3065909974594,2297.381641249722,2289.371229795554,2281.2756241298143,2273.075938056813,2264.772759174005,2256.3220016976506,2247.723834598243,2238.978565979804,2230.086206369497,2221.003711206848,2211.73355365872,2202.277937540211,2192.6391005142355,2182.8108235712252,2172.797516963858,2162.6052052805594,2152.236628653058,2141.6945337943416,2130.981500478242,2120.1002403635657,2109.05520589365,2097.8484298773687,2086.4819306905056,2074.9576605585366
Surface new (Million m2),69.06888701711385,103.60333052567076,138.13777403422768,172.6722175427846,207.20666105134154,241.74110455989845,276.27554806845535,310.8099915770122,345.3444350855692,379.8788785941261,414.4133221026831,464.739160298512,515.0649984943408,565.3908366901699,615.7166748859987,666.0425130818277,716.3683512776565,766.6941894734855,817.0200276693143,867.3458658651433,917.6717040609722,966.8809818414323,1016.0902596218924,1065.2995374023524,1114.5088151828127,1163.7180929632727,1212.927370743733,1262.136648524193,1311.3459263046532,1360.5552040851132,1409.7644818655733
Surface Electricity-Heat pump water (Million m2),160.96344380423673,198.55821183051174,239.21511607844647,281.41669415740296,324.90326635085034,370.0884647686063,435.38758667878176,493.06351449690317,551.7849738685071,611.5061289575272,672.4697844604192,749.9583231156213,828.585035687554,908.2989685493859,989.0518154380738,1070.7913051260841,1153.961658742425,1237.1868208848575,1320.4470687755602,1393.9615421322153,1461.4927613301156,1528.93999084705,1595.3538853870043,1660.6142434363107,1725.1900773836587,1788.5775225515479,1833.1809191269238,1881.3022051465314,1929.1709150974557,1976.7955084975188,2024.2375604963308
Surface Electricity-Performance boiler (Million m2),722.6091603757616,708.422586281289,695.6586425584421,682.5441655815462,668.9961041948658,655.2345321058909,648.7909294556115,655.9811120815112,662.4327293485584,668.1674684941352,673.1994884062982,677.1613748536477,680.451647547838,683.0877649056874,685.0864360632112,686.4655909668244,685.9760790477934,685.6377573779093,685.4195272735335,682.1345608685787,679.6052718069484,676.5615653317825,672.952094186367,669.1952657880869,665.4710086370969,661.474026562042,645.744960434649,625.9965432990163,606.6158005924383,587.5864023264062,568.8327345099642
Surface Heating-District heating (Million m2),80.25965256756275,86.47099103355329,92.67183633330721,98.8619053192199,105.04068972292328,111.20798600027739,117.36330715148405,123.50518724544384,129.6363713910966,135.75646231331388,141.86201636500093,148.04050239601585,154.202416321951,160.3470123235139,166.47343924728244,172.58080969637084,178.67788781891247,184.76354751527967,190.83732566594412,196.90385499765736,202.966397398238,209.01690739045853,215.05649707000907,221.08750254379243,227.1110814772933,233.1259077548677,238.99998344546657,244.8677455151347,250.72723055882184,256.57819358913764,262.4203548004811
Surface Natural gas-Performance boiler (Million m2),984.1843767302096,977.4251811545903,968.8494509306297,958.6891190704807,947.881161537985,935.3788895686014,889.5735378402265,844.0182892392669,798.7242863520138,753.6880117151618,708.7279899288696,662.5110980833065,616.3577265356128,570.2683766915628,524.2440330272073,478.2858324083013,432.3955559261433,386.58752291746686,340.8836448530335,296.39811425864184,258.2264786569185,219.2959689544352,182.30337684528084,146.95553352082177,112.52592679318454,79.86367365208197,79.86367365208197,79.86367365208197,79.86367365208197,79.86367365208197,79.86367365208197
Surface Oil fuel-Performance boiler (Million m2),308.18097994002255,289.4794812405301,271.01249297236114,252.7775654630373,234.77089182512444,216.98712298170247,199.42237737867006,182.06734625776156,164.92812261756728,148.00031610099447,131.11646609534543,114.29408607904287,97.54656266651475,80.89594653641262,64.3662669057912,47.983238965155195,31.770305723961222,15.763129587108848,,,,,,,,,,,,,
Surface Wood fuel-Performance boiler (Million m2),164.26472026978058,187.118029452839,207.0165310798626,227.02024849077748,246.54002053033918,265.9924102116948,291.0444005611411,309.5561835058478,327.20918130338003,344.0361151428081,360.11351490356225,377.54653494488264,394.2436114325208,410.21660228184976,425.4732501842361,440.02194228858906,454.59057522526956,468.48896484958334,481.71039864145405,490.58689412228546,498.1916184399768,505.8640662815642,513.0296114137908,519.6836207663982,525.9052546859208,531.6584629209756,535.2380744481773,539.1616868050786,542.8167362812237,546.2133567104738,549.3678189652518
Prices Electricity (euro/kWh),0.1743338984,0.17676212842125,0.1779804496312869,0.1807244061941593,0.18276467142978042,0.1846755174740825,0.17739601325183832,0.17739601325183832,0.17739601325183832,0.17739601325183832,0.17739601325183832,0.17910535667488225,0.17910535667488225,0.17910535667488223,0.17910535667488225,0.17910535667488225,0.1848780681058487,0.18487806810584867,0.18487806810584867,0.18487806810584867,0.1848780681058487,0.19237281523814984,0.1923728152381499,0.19237281523814986,0.19237281523814986,0.19237281523814984,0.20042191322432262,0.20042191322432262,0.20042191322432262,0.20042191322432262,0.20042191322432262
Prices Heating (euro/kWh),0.07554741999999999,0.076506872234,0.07747850951137178,0.07846248658216619,0.07945896016175971,0.08046808895581405,0.08149003368555288,0.0825249571133594,0.08357302406869906,0.08463440147437153,0.08570925837309605,0.08679776595443436,0.08790009758205566,0.08901642882134778,0.09014693746737887,0.09129180357321458,0.0924512094785944,0.09362533983897255,0.09481438165492749,0.09601852430194506,0.09723795956057975,0.09847288164699912,0.099723487243916,0.10098997553191373,0.10227254822116903,0.10357140958357787,0.1048867664852893,0.10621882841965247,0.10756780754058205,0.10893391869634743,0.11031737946379103
Prices Natural gas (euro/kWh),0.0918150406,0.09290306447807999,0.09316641783489202,0.0965204787098149,0.09732851321086097,0.09798799615066928,0.09812416484933727,0.09803763997071727,0.09795198034101728,0.09786717730783727,0.09778322230351726,0.10017012483520879,0.10008784053796878,0.10000637907950878,0.09992573224004878,0.0998458918667088,0.1066800873058807,0.10660183575848071,0.1065243667270007,0.1064476723796807,0.10637174498288071,0.11688029987806346,0.11680588343114345,0.11673221115306345,0.11665927559562343,0.11658706939090345,0.11504375071888936,0.11497298141912937,0.11490291981432937,0.11483355882646937,0.11476489144442936
Prices Oil fuel (euro/kWh),0.10588271939999999,0.10756056866120002,0.10851988578441879,0.11258446862406923,0.11411791200326563,0.11551802543092214,0.1169423608208771,0.11839133721307829,0.11986538089686455,0.1213649255363803,0.1228904122981597,0.12444228998091787,0.12602101514758773,0.12762705225964105,0.12926087381373283,0.13092296048071042,0.13261380124702674,0.1343338935586003,0.1360837434671641,0.137863865779146,0.13967478420712526,0.14151703152390854,0.14339114971927217,0.14529769015941557,0.14723721374917348,0.1492102910970342,0.1512175026830129,0.153259439029429,0.1553367008746382,0.15744989934976944,0.15959965615852045
Prices Wood fuel (euro/kWh),0.06238232,0.063174575464,0.06397689257239278,0.06478939910806217,0.06561222447673457,0.06644549972758908,0.06728935757412946,0.06814393241532091,0.06900936035699547,0.06988577923352932,0.07077332862979514,0.07167214990339352,0.07258238620716662,0.07350418251199763,0.07443768562989997,0.07538304423739971,0.07634040889921469,0.0773099320922347,0.07829176822980609,0.0792860736863246,0.08029300682214092,0.08131272800878211,0.08234539965449364,0.0833911862301057,0.08445025429522805,0.08552277252477743,0.0866089117358421,0.08770884491488729,0.08882274724530635,0.08995079613532174,0.0910931712462403
Consumption standard (TWh),336.9655832336836,332.42344301574195,327.2271788791769,321.99200554504796,317.23809957622535,312.4180263253322,305.06686926694584,298.25608379849115,291.542392247183,284.26428435979756,277.1225234354348,270.2598318439053,263.4979236688364,256.8078933717004,250.19838499803498,243.1359484264506,236.19256591397507,229.42010739747107,222.80654296046933,217.18869261148112,212.13372856754972,207.1337480455448,202.324886143927,197.69018942569275,193.17693381138776,188.82611134046,186.30864537846165,183.68434489685922,181.08284779823603,178.49980613890108,175.93112813255684
Consumption standard (kWh/m2),139.21537986518328,135.82304763432182,132.24377456261402,128.7293635777653,125.48319579085974,122.28240707251514,118.17050662479681,114.35359275163529,110.65421446922515,106.81990995593318,103.11576963064338,99.0139775231806,95.07799655933373,91.28952189285687,87.64451680038259,83.95205185234755,80.40948197559875,77.02725302854111,73.79415530623443,70.977045638385,68.41958523454534,65.97291669333764,63.65028936489704,61.4414816875405,59.325820014302515,57.31208748631907,55.89772036618868,54.486470313502494,53.11602357603099,51.78354603090761,50.486414968561085
Consumption (TWh),293.283658447851,290.8001318104456,288.2810092911389,284.2629820222846,281.6610087180919,279.0395389168222,275.25129846063265,271.043833893537,266.8353044413517,262.1662842838707,257.5246389135307,252.48598623462811,248.167608104102,243.84092399775602,239.51211365735688,234.78470021931122,228.62549835821366,224.11133889087463,219.66296379998278,215.89539933980478,212.57607816585727,207.84751242794567,204.74909538503533,201.75982005596774,198.83595496596843,196.0193159484726,193.91375905185862,192.70019745556846,191.48904765230694,190.27818500040365,189.0651014959158
Consumption (kWh/m2),121.16844553454935,118.81641016842127,116.50428590302586,113.6456562097065,111.41071501448413,109.21785432323837,106.62116625900808,103.92021448200954,101.27669865787628,98.51599522519977,95.82350438797558,92.50224717224225,89.54635642258184,86.68005129207063,83.90111498722194,81.06846171664338,77.83334677896963,75.24484668383873,72.7529930239062,70.55439870191766,68.5622564459988,66.20025346768331,64.41293217477778,62.70630993507011,61.063740085037125,59.49535318445177,58.17946374210701,57.16085164451284,56.16841624329003,55.200503377457714,54.25543092637931
Consumption existing (TWh),290.7394938920256,287.35197490172123,283.92269430890326,279.01270691484257,275.504821769551,271.9757178985003,267.2340548970203,262.09745396280795,256.95634834252127,251.35129723015257,245.7701510713842,239.5028660740291,233.92129919703237,228.32695146434526,222.72598271996384,216.7218961236431,209.41144618192857,203.61872302557083,197.88725200221606,192.8320392381672,188.22049718166735,182.47352635652015,178.14630016486558,173.92404875788245,169.76302190659408,165.7050166180008,162.51106463774516,160.05536431566884,157.59785795151566,155.1364019738672,152.66846937613496
Consumption new (TWh),2.5441645558253754,3.448156908724343,4.35831498223564,5.2502751074420075,6.156186948540949,7.063821018321903,8.01724356361234,8.946379930729051,9.878956098830429,10.814987053718141,11.754487842146489,12.983120160599015,14.246308907069618,15.513972533410765,16.78613093739304,18.062804095668128,19.214052176285094,20.492615865303804,21.775711797766718,23.063360101637585,24.355580984189913,25.37398607142552,26.602795220169753,27.83577129808529,29.07293305937435,30.314299330471812,31.402694414113455,32.64483313989962,33.89118970079127,35.141783026536444,36.39663211978083
Consumption existing (kWh/m2),123.64561715680065,122.59717213738033,121.52735510407182,119.81800913475774,118.70472574903094,117.57815863854616,115.92126441689197,114.08529138425301,112.23883003258848,110.18015296859615,108.12227913577142,105.75138945126629,103.67372166784291,101.5814078001074,99.47660335126803,97.18095000303096,94.28685108686227,92.06295337371822,89.85571195579526,87.94517948391173,86.22849728852177,83.98091627585165,82.3757844149618,80.81083949710957,79.26574925969146,77.7599507930091,76.65253818841931,75.88960396503708,75.12356741651166,74.35310111817071,73.57666726319597
Consumption new (kWh/m2),36.83517522433775,33.282297887807395,31.55049379292691,30.406021201071894,29.71037184473318,29.220603716450857,29.01901243039371,28.784080863476117,28.606096103394943,28.469566651725312,28.364164989932366,27.93635929509292,27.65924485009662,27.439377376949448,27.262751882594422,27.11959633340852,26.821469907229247,26.72853941853501,26.652604661216884,26.590730421747953,26.54062545070222,26.243132865330093,26.181527643094608,26.12952537833687,26.08587089067171,26.049521369286246,25.890003945461473,25.86473752907102,25.84458381343813,25.82900195524742,25.817526677659192
Heating intensity (%),0.8503580422942222,0.8595920059993668,0.8703870503326299,0.8771092062686918,0.8865500220005683,0.896099552865642,0.91238569372115,0.9238375267812764,0.9351321847899698,0.9469076553381277,0.9584876869413007,0.9694089723865659,0.9827570878691311,0.9958366969678599,1.0086602764290538,1.0217432780048095,1.0269345399272412,1.0394908367068094,1.0517285561340308,1.0629738181424822,1.0735853483434274,1.074568591174665,1.0847506606814663,1.094670385500972,1.1043682693709234,1.1138352176617599,1.1137600611363543,1.122358172616608,1.1308144195004468,1.1391382072052656,1.1473421331291709
Energy poverty (Million),3.4949450327254357,3.4125557502227566,3.3123533350765157,3.22012475091671,3.128658049322373,3.035709721567965,2.800276103274151,2.6410447824751597,2.5426152823417048,2.3840910488593683,2.2638360714022103,2.156996708058852,2.0387933382956613,1.9098535956810407,1.7944127827916054,1.673377460562076,1.6231323592665359,1.5224542542943298,1.41849209104507,1.3074815271766942,1.2121109764127538,1.212148606729673,1.1203647821724183,1.0336961094403339,0.9704912412630069,0.9024671662290837,0.8757133987833328,0.8117245541787309,0.7610818124592414,0.7055281056656497,0.6575140710955739
Consumption Electricity (TWh),39.91514743769803,39.88350344731623,40.1126047645447,40.324284230024425,40.64806459000247,41.05033509296676,43.07327343094004,45.11127338412349,47.17473091401648,49.14095730708461,51.15158820472138,53.32376241442114,55.65296956981429,58.014026511576965,60.405740323219284,62.77820312325242,64.60606174971119,66.93955457008984,69.29080371529614,71.08957055567633,72.68756173893209,73.53180045712186,75.0228919063165,76.47329434103368,77.90961491151255,79.2965235132929,78.61313457724364,78.69442023193162,78.80062522286828,78.92978786556263,79.07973121205268
