,2020,2025,2030,2035,2040,2045,2050
river,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lake,0.0,0.0,0.0,0.0,0.0,0.0,0.0
phs,0.0,0.0,0.0,1.5,0.5,0.5,0.4999999999999991
offshore_f,0.0,0.0,0.0,2.3583709732418723,0.0,6.195294840463147,21.546334186294985
offshore_g,0.0,0.0,0.25007269068346416,4.849927309316535,3.4000000000000004,3.4000000000000004,3.4000000000000004
onshore,0.0,0.0,11.6,11.600000000000001,11.59999999999999,11.600000000000001,11.600000000000001
onshore_V110,,,,,,,
pv_g,0.0,7.6939829314371355,8.106017068562867,19.999999999999993,9.682197767837245,7.073758892917354,40.6154585411673
pv_g_ns,,,,,,,
pv_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0
methanization,0.0,0.0,2.1691973969631233,0.7706359173421626,0.7706359173421622,0.7706359173421622,0.7706359173421697
ocgt,1.1706390441699899,0.0,0.0,12.660564283056633,5.95637003089986,6.157223695367893,10.162972919415132
ccgt,0.0,0.0,0.0,1.1168607432042519,8.523360450974739,7.242034221619132,9.971832897581681
coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nuclear,0.0,0.0,0.0,0.0,6.5,3.5,3.5
h2_ccgt,0.0,0.0,0.0,0.0,0.0,0.0,0.26827358230487075
battery1,0.0,0.0,0.0,0.5495885920629907,0.2951744395983571,0.21648328686656015,0.4139417967700245
battery4,0.0,0.0,0.0,0.0,0.0,0.0,2.5556403966501757
electrolysis,0.0,0.547945205479452,1.800638132959874,0.7893095667675039,0.7172069996732149,3.3758834493376595,3.7352266914443977
hydrogen,0.0,0.0,2.2831050228310503,0.365296803652968,0.365296803652968,0.8219178082191778,2.564383561643836
methane,0.0,0.0,0.0,0.0,0.0,0.0,0.0
methanation,0.0,0.0,0.0,0.9363874281050601,0.2907215570941779,0.28659416857001174,0.3022064707345835
pyrogazification,0.0,0.0,0.0,0.22241655027400814,0.8735989766126229,0.5480077634433154,0.5480077634433156
natural_gas,111.04313335770216,0.0,0.0,0.0,0.0,0.0,19.904204128376094
geothermal,0.0,0.0,0.0,0.0,0.0,0.0,0.010333530303582306
central_gas_boiler,4.754024335507325,2.150076188331555,1.660014517514595,1.8309755991952255,0.0,0.3971895086234678,0.9398851764623863
central_wood_boiler,0.0,0.0,0.42650349363976203,0.0,2.093950549925019,0.9817464793454218,0.6019268817462606
uiom,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTES,0.0,0.0,0.0,0.0,0.0,0.0,0.0
