,2020,2025,2030,2035,2040,2045,2050
river,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lake,0.0,0.0,0.0,0.0,0.0,0.0,0.0
phs,0.0,0.0,0.0,0.24338682613853013,1.7566131738614699,0.5,0.4999999999999991
offshore_f,0.0,0.0,0.0,0.0,0.0,0.0,14.039794518782214
offshore_g,0.0,0.0,0.0,1.2211549514765234,7.278845048523476,3.4000000000000004,3.4000000000000004
onshore,0.0,0.0,2.3999725481320713,20.800027451867933,11.59999999999999,11.600000000000001,11.600000000000001
onshore_V110,,,,,,,
pv_g,0.0,0.0,15.800000000000002,6.201668055652238,18.131554038078864,9.196314335569113,7.980361035880414
pv_g_ns,,,,,,,
pv_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0
methanization,0.0,0.0,0.9496881166788771,0.6555771573256546,1.713238519772998,1.1626013552124865,0.7706359173417567
ocgt,1.1706390441699899,0.0,0.0,10.030180695123661,8.171519109394142,3.6991236798213514,7.682338220386573
ccgt,0.0,0.0,0.0,0.0,9.165137608991273,7.482647682447656,5.398887453998331
coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nuclear,0.0,0.0,0.0,0.0,0.0,4.259919753979894,9.240080246020106
h2_ccgt,0.0,0.0,0.0,0.0,0.0,0.0,0.0
battery1,0.0,0.0,0.0,0.9065558781210296,0.43051885418375846,0.2740774266232462,0.10978663466405947
battery4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
electrolysis,0.0,0.5479452054794521,1.7492445519260267,0.8004473300307149,0.46746002708778445,1.8716923372650194,3.53382597378629
hydrogen,0.0,0.0,0.4861610153797124,2.162240811104306,0.365296803652968,0.8219178082191778,0.7305936073059365
methane,0.0,0.0,0.0,0.0,0.0,0.0,0.0
methanation,0.0,0.0,0.0,0.0,1.1333400290234916,0.4657125176882224,0.23793060640715424
pyrogazification,0.0,0.0,0.0,0.0,0.0,0.0,1.2391053930246736
natural_gas,109.70626803454164,0.0,0.0,0.0,0.0,0.0,7.658457413069925
geothermal,0.0,0.0,0.0,0.0,0.0,0.0,0.0
central_gas_boiler,4.678434019939473,2.0595129649548367,1.9486609062692803,1.637530779375858,1.4409485139083333,1.4360775384671172,1.225338198141321
central_wood_boiler,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uiom,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTES,0.0,0.0,0.0,0.0,0.0,0.0,0.0
