Occupancy status,Income owner,Income tenant,Housing type,Heating system,Performance,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049
Owner-occupied,C1,C1,Multi-family,Electricity-Heat pump water,A,3369.3643297516805,7403.904762489723,11654.075863866376,15917.040107102943,20190.002674955114,24477.522831080212,29185.244179934438,33563.17091818436,37960.300392631194,42376.3198269379,46813.651562691186,53839.01411405375,60886.36759865482,67955.51980689976,75046.26845922737,82158.39703493411,89295.78843017934,96454.74604750749,103635.08121238295,110765.04744009789,117818.53547641957,124744.48826965895,131679.73751116876,138618.1049739783,145567.28033470138,152517.8605573556,159108.51897095965,165777.71732837334,172449.60570430072,179124.07545421005,185802.7525860109
Owner-occupied,C1,C1,Multi-family,Electricity-Heat pump water,B,4227.080082904476,5057.878277065899,6937.513284108672,8800.273608379137,10644.249580019477,12482.2665662945,15652.938404738512,17489.12625420145,19329.709140007446,21175.04228211278,23035.786385083295,24966.06027372353,26913.024458335058,28876.4589837463,30856.092592407727,32851.59099276853,34879.404093334,36923.230845239035,38983.06541911146,40841.65635155942,42437.29172932645,44048.90055585397,45660.100335546325,47251.19975308456,48843.34717253309,50412.96176043255,51054.09154775668,51913.71177718092,52769.03672937513,53619.68199340289,54469.597936370286
Owner-occupied,C1,C1,Multi-family,Electricity-Heat pump water,C,2995.108645864633,3270.3319712795783,4053.6573646512315,4834.747902208753,5604.1695252553445,6384.745284117951,9047.835447088873,10963.468374004868,12859.557707658876,14735.371966784276,16600.16252076068,18514.106877056856,20415.42145066518,22303.243945102462,24176.743014063544,26035.11955258984,27898.554137174488,29744.43202579646,31571.201550008154,33183.111222298,34500.95596387203,35808.6852173196,37061.59673381169,38256.30737238271,39421.55522818815,40525.74225672877,40394.59247627287,40299.95560571108,40199.47626000365,40093.230690102806,39981.98164217627
Owner-occupied,C1,C1,Multi-family,Electricity-Heat pump water,D,398.9875467944067,534.9500957722524,963.8576173279511,1386.6595539292375,1791.2588057999826,2193.5301497672403,3585.574527462699,4673.329140555175,5705.6123094600425,6684.30567822022,7615.9486054499175,8533.855701198645,9405.772471514329,10232.899115586737,11016.400909320762,11757.413648051705,12465.744522817258,13132.297839669116,13757.650059892869,14306.980960701034,14700.505023870224,15064.105137082302,15380.004576728254,15650.0370882133,15887.892596830112,16082.746147479584,15803.988136003874,15530.061808160162,15260.88341610816,14996.370663626934,14736.442680953442
Owner-occupied,C1,C1,Multi-family,Electricity-Performance boiler,B,727.90332782344,935.8757072015658,1143.8480865796914,1351.820465957817,1559.7928453359427,1767.7652247140684,1975.737604092194,2183.70998347032,2391.682362848446,2599.6547422265717,2807.6271216046975,3032.6797580491116,3257.7323944935256,3482.7850309379396,3707.8376673823536,3932.8903038267676,4157.942940271181,4382.995576715595,4608.048213160009,4833.100849604423,5058.153486048837,5278.212964421042,5498.272442793246,5718.331921165451,5938.391399537655,6158.45087790986,6378.510356282064,6598.569834654269,6818.629313026473,7038.6887913986775,7258.748269770882
Owner-occupied,C1,C1,Multi-family,Electricity-Performance boiler,C,38868.024087089565,38591.246880431536,37963.06973989167,37318.797378617026,36630.193879773346,35934.43919851132,35548.34090543702,36232.254445038685,36926.55093025563,37631.54058190541,38348.640379844335,39140.08193976418,39945.40921966366,40765.29958094509,41600.46705167345,42451.68888078345,43314.55146203885,44193.77450365201,45089.1146143003,45997.94027938074,46830.0651148477,47656.234520130376,48437.78699492673,49192.995773769675,49943.44860032371,50660.604751871426,50039.93852241952,49203.13131357356,48340.139232179055,47451.557325429625,46534.05819657732
Owner-occupied,C1,C1,Multi-family,Electricity-Performance boiler,D,20724.42303166639,20426.955998770565,19822.63093721197,19225.3274064779,18635.85740291291,18054.237900903,17552.434055072776,17475.434898049996,17419.734536433094,17384.144940329585,17367.020035970494,17388.29618662735,17426.63917604907,17481.442393563306,17552.159090362184,17638.310112606654,17734.53276707342,17844.753886573297,17968.286422165304,18090.600177203643,18213.670262593405,18335.965664243435,18446.622902835046,18552.6757780355,18659.975275688703,18758.84979631514,18434.069362980357,18015.31260384888,17588.313129890317,17153.66995856003,16710.261829232524
Owner-occupied,C1,C1,Multi-family,Electricity-Performance boiler,E,19077.330934790753,18362.53835390946,17360.496680537144,16403.559421658552,15492.513986969641,14623.998655774305,13996.140826366653,14046.977666341329,14089.08223937334,14122.804521076821,14148.46695382617,14190.735404468705,14223.366470447681,14246.585870681494,14260.569289700987,14265.49177389054,14242.981651589695,14208.064244020707,14160.058140423987,14088.137725128081,13948.039394735888,13777.789298542177,13575.082570058486,13348.63835230163,13109.258650011117,12845.258113777067,12060.579194414056,11231.849603047338,10428.45068694901,9650.62072881562,8897.470115490476
Owner-occupied,C1,C1,Multi-family,Electricity-Performance boiler,F,19801.432286795836,19600.406753497788,19296.009785472466,18985.756466402898,18681.965717962303,18372.03071610287,18194.46776021231,18269.54378901282,18336.601328273755,18395.31104376603,18445.720730995792,18517.140422045573,18577.219955239154,18625.337444841884,18660.841898456634,18683.109184963992,18674.545240411535,18646.176364605475,18597.005229330283,18437.894145007478,18214.030402954228,17957.746637629243,17673.24609340181,17363.218865433468,17034.68334962872,16679.934137012577,15923.846643922589,15163.634649807082,14398.753249072419,13630.139940919817,12858.73557040484
Owner-occupied,C1,C1,Multi-family,Electricity-Performance boiler,G,14200.428187982425,13818.934049176292,13369.703743113463,12929.757789483188,12506.969129655336,12092.461722699063,11886.237868141412,11930.873444953515,11959.087952556334,11971.54631268709,11970.208667616193,11976.385683326514,11967.311407527779,11943.146758028803,11904.026024170016,11850.09490280278,11764.888629995567,11662.410719093928,11542.589145266173,11300.96982194161,11016.771039206302,10710.517231053624,10391.58877533599,10062.430810759568,9727.959475601723,9384.256419683203,8824.158065304033,8277.53877294817,7743.680196619414,7222.683553636785,6714.63826341985
